"chaptername","chaptername href","chapterbody","chapterbody 2","chapterbody 3","chapterbody 4","chapterbody 5","chapterbody 6","chapterbody 7","chapterbody 8","chapterbody 9","chapterbody 10","chapterbody 11","chapterbody 12","chapterbody 13","chapterbody 14","chapterbody 15","chapterbody 16","chapterbody 17","chapterbody 18","chapterbody 19","chapterbody 20","chapterbody 21","chapterbody 22","chapterbody 23","chapterbody 24","chapterbody 25","chapterbody 26","chapterbody 27","chapterbody 28","chapterbody 29","chapterbody 30","chapterbody 31","chapterbody 32","chapterbody 33","chapterbody 34","chapterbody 35","chapterbody 36","chapterbody 37","chapterbody 38","chapterbody 39","chapterbody 40","chapterbody 41","chapterbody 42","chapterbody 43","chapterbody 44","chapterbody 45","chapterbody 46","chapterbody 47","chapterbody 48","chapterbody 49","firstcharacter","chapterbody 50","chapterbody 51","chapterbody 52","chapterbody 53","chapterbody 58","chapterbody 61","chapterbody 62","chapterbody 63"
"033 The Benefits of Meditation","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=1000309&chapter_id=c033","ccording to the Buddha’s discourse and the [Candrapradipasamadhi Sutra], besides being able to liberate oneself, awaken one’s mind to see the true Buddha-nature, and achieve Buddhahood in the present body, meditation also offers many other benefits.","","1. It improves one’s appearance to be more and more dignified. The appearance is affected by the mind. If the mind is at peace, then the appearance looks peaceful.","2. It changes one’s behavior so as not to be extreme or resentful, and one therefore becomes naturally wise.","3. It transforms one’s heart to be soft, compassionate, respectful, and humble.","4. It allows one to recognize that the world is a big illusion, thus, breaking through all sufferings.","5. It concentrates one’s mind so as not to be tempted by the outside world and wander.","6. During a time of food shortage, one can subsist on ambrosia, dharma joy, qi, or meditative joy received through meditation.","7. It gradually fades away all one’s worldly desires.","8. It gradually relinquishes one of all strong attachments.","9. Every second and minute of meditation results in virtuous fruition, not wasteful at all.","10. If one’s meditation is firm, it will naturally provide a boundary protection that is unable to be penetrated by devious demons.","11. As if one is in the buddha land, it enables one to obtain blessings from the guru, receive divine grace from one’s principal deity and be supported by one’s dharma protector.","12. It gradually leads one to reach maturity on the path to liberation and enlightenment.","13. Sufferings are removed, happiness is obtained.","14. Gradually, the body produces light.","15. Embraced by benevolent gods. Good fortune increases. Has the capability to do all significant benevolent deeds.","16. Removes lifetimes of accumulated bad karma.","17. Six Supernatural Powers are developed:","The psychic power of clairvoyance","The psychic power of the heavenly ear","The ability to appear anywhere one wishes","The ability to read other people’s minds","The ability to perceive one’s own and others’ past lives Eradication of leakage","(Possessing dharma power and real attainment.)","18. All the buddhas and bodhisattvas have revealed themselves in their entirety to bless one.","19. All the dakinis have come to offer their assistance.","20. Obtaining buddha’s wisdom.","21. Has the ability to control one’s birth and death.","22. Attain perfect Buddhahood.","","This is my Zen poem:","Hundred thousand kalpas of lifetimes is nothing more than emptiness.","A short absence from the human world showed a difference.","In a state of meditation, people do not know.","Because of cause and effect, body is in a state of bliss.","","And:","In the mirror, capability and talent are superb.","In cultivating meditation, one’s personal deity naturally arrives.","When the two bodies are in yogic union.","The illusory body thereby enters the palace of heaven.","","And:","Dharma body originally abides in the Tathagata realm.","Enjoyment body however abides in the Pure Land of Ultimate Bliss.","From the Pure Land, as a guest of the human world.","The emanation body appears for deliverance.","(My intentions for writing these poems are only for expressing my mind, no other purpose.)","A","","","","","","","",""
"034 Pre-Meditation Preparations","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=1000309&chapter_id=c034","omeone asked: “Should everyone cultivate meditation?”","I answered, “Yes, but there are many ways. One needs to choose a method.”","“How so?”","“It depends on the individual. Before meditation, there are many preliminary practices that must be completed first.”","I say:","Those who are arrogant need to practice full prostration.","Those who are stingy need to cultivate the Great Mandala Offerings.","Those with strong desires need to cultivate the Skeleton Visualization Method.","Those who are hateful need to cultivate the bodhicitta of placing oneself in someone else’s shoes.","Those who are obsessed with fame and status need to cultivate the Illusive Practice.","That is why, it is best to first make the appropriate adjustments based on one’s temperament prior to starting meditation.","","●","","Someone else asked, “To cultivate meditation, one needs to have a long-term commitment. Nowadays, people do not have the determination. What can one do?”","I say, “Perseverance is brought about through training!”","For example:","My writing.","My cultivation.","Are examples of my commitment.","By having studied in a military school, I had to follow the prescribed order to exercise my physique. Consequently, it disciplined my perseverance.","Someone asked,","“Can we as lay Buddhists go dancing, sing karaoke, attend parties, play mahjong, drink some alcoholic beverages, or visit casinos?”","I answered:","“All physical activities that can confuse one’s mentality or cause addiction so that one is unable to extricate oneself are not good.","When it is unavoidable, then one is allowed to engage in these activities. However, the engagement should be limited. It is not good if one is often doing these activities.","In short, one must have control. At the end of the enjoyment, one must retrieve the playful heart and get back on track with cultivation.”","","Someone asked,","“How do we live an orderly life?”","I answered:","“Follow the Eightfold Path. The Eightfold Path will keep one away from a disorderly life.","Right View","Right Contemplation","Right Speech","Right Action","Right Livelihood","Right Effort","Right Mindfulness","Right Concentration","(Meditation is part of the path.)”","Someone asked,","“What if karmic obstacles appear?”","I answered,","“One should consult a seasoned cultivator or an experienced meditation cultivator.","One can also consult one’s root guru and should be appropriately respectful to the root guru.","Avoid the case of the blind leading the blind.”","","","S","","","","","","","",""
"035 How to Have the Capability to Differentiate","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=1000309&chapter_id=c035","omeone asked, “Aside from asking a spiritually wise guide or one’s root guru, how do we ourselves develop the capability to differentiate?”","I answered:","“The capability to differentiate comes from experiences. For example, by reading a lot of Master Lu’s books, one will gradually become knowledgeable, thus developing the capability to differentiate.”","“The point is what are we differentiating?”","“Time, place, timing, situation.”","“Could Master Lu please explain in detail.”","My answer:","Time — The time one is engaged in samadhi. The length of time of concentration and the sensations experienced during meditation.","Place — Choose a cave that harbored a greatly accomplished practitioner, a place that has blessing power. Or, one can find a spiritually efficacious spot using feng shui and geomancy.","Timing — One must know the best time for meditation cultivation, what level of the inner fire should be exercised, when is best to use the “gentle fire,” and when is best to use the “fierce fire.”","Situation — The situations that arise during meditation are as numerous as the number of hairs on a cow. One must know how to treat the various situations. For example, how to remedy the eight tactile sensations, the various kinds of negligence and troubles, etc.","","Someone asked, “In what way is one considered to be in the unexcelled state of Perfect Enlightenment?”","I answered:","“This also needs the ability to differentiate. One must know what is the sensation of bliss, what is brightness, and what is emptiness. Be careful not to be complacent. Obtaining bliss is not absolute, and neither is obtaining the brightness nor the emptiness. Obtaining the unexcelled state of Perfect Enlightenment is however considered absolute. Perfect attainment is not bliss, brightness, or emptiness. Do not be complacent. Gradual improvement is not the unexcelled state of Perfect Enlightenment.”","Someone asked,","“Then, what is the unexcelled state of Perfect Enlightenment?”","I answered:","“Liberation","Bodhi","Awaken the mind","Realize the Buddha-nature","Still quiescence","Nirvana”","","“Who can authenticate?”","“Only a buddha knows a buddha!”","“Are there any scriptures that can validate this?”","I answered:","“It is validated in the [Diamond Sutra] and the [Lankavatara Sutra].”","My suggestion:","1. A cultivator of meditation must have guidance from a master. This master must be enlightened and can see the Buddhanature. Differentiate carefully.","2. The cultivator has to be able to give up worldly attachments.","Has to have the willpower and perseverance to yearn for samadhi.","3. Has no worries and is not irritable; diligently striving for the love of dharma.","4. Has wisdom.","5. Capable of differentiating.","6. Recognizes the sequential stages of cultivation. Moreover, of course, one must differentiate. Do not deviate from it.","","","","","","","","","","","","S","","","","","","","",""
"036 The Mistakes Made During Meditation","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=1000309&chapter_id=c036","omeone asked,","“What are the main mistakes and deviations that arise during meditation? Master Lu, please instruct us.”","I answered, “There are actually many mistakes and deviations. I will point out some common ones.”","“What are the most common ones?”","I laughed out loud and said, “Number one is practicing in a joking manner.”","Someone asked,","“What do you mean by that?”","“It’s like fishing for one day followed by drying the net in the sun for three days. Having heard how good meditation is, following suit, one sits for meditation. Meditate for awhile, then rest several times. Not following the cultivation sequence, one just sits with the thoughts running wild.”","“In what way is considered the real cultivation of meditation?”","“Firstly, do not slack in practice.”","“What is the second?”","“Many people wish to practice meditation, but do not know how to start. After listening to Guru Master’s dharma discourse, one cannot remember what was heard every time. After reading Master Lu’s books, one simply can never grasp the main points. One wishes to cultivate meditation, but never knows where to begin.”","“What can be done?”","“Finish reading this book, [Pith Teachings to Samadhi]. Focusing on the main points is a start to meditation. This is the second important point.”","“What is the third mistake?”","“Falling asleep as soon as one sits down to meditate. Haha! This is drowsiness. Sleeping is not meditation!”","“What can be done?”","“To not fall asleep, one must arouse the mind, be more alert and advance in the practices according to the sequence of stages. In Vajrayana, one first cultivates the qi, then inner fire and light drops, followed by the opening of the channels and five chakras.”","","“I know the fourth mistake! It must be “arousal” caused by an overly excited mind! Right?”","“An excited mind can cause thoughts to run wild. This is a major hindrance to entering into samadhi. Relax a little and keep calm. No matter what method of the meditation applied, one should always relax and keep calm. This is the correct way.”","“Any other mistakes?”","“If one falls asleep or becomes too excited then goes along with it without taking any action to stop it, this is failure to respond in the moment. Letting sleep or excitement take over is also a mistake.”","“What else?”","“In summary, one must have faith in the cultivation of meditation. One must have enough diligence, be able to implement one’s perseverance. One does not necessarily have to use ascetic practices, such as the ancient ways of depriving oneself of food, hanging upside down, copying animals, submerging oneself in water, subjecting oneself to needle piercings, etc. Do not be too extreme. In addition, always remember the root guru’s teachings. When one doesn’t understand something, one needs to quickly seek answers. Do not fall into the devil’s trap.”","","","","","","","","","","","","","","","","","","","","","","","","","S","","","","","","","",""
"037 How to Calm the “Mind”","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=1000309&chapter_id=c037","omeone asked,","“My mind is very distracted. Every time during meditation, distracting thoughts run non-stop. Master Lu, how can you help me?”","I repeated the words of the Bodhidharma,","“Give me your mind!”","“I can’t find my mind.”","“I have already calmed your mind.”","(This is an imitation of Bodhidharma. A mind not able to be found is the same as not having a mind. Without a mind, then it can’t be distracted.)","Someone asked, “What can be done when the mind is distracted?”","I answered, “Stop.”","“What if it can’t be stopped!”","“Use visualization.”","“How do we visualize?”","“Cease it with visualization and it will stop!”","","Also:","Someone asked, “Why does the mind get distracted?”","I answered:","“When one looks at what one is not supposed to be looking at, listening to what one is not supposed to be listening to, this will cause a distracted mind.”","“What can we do about this?”","“Don’t look. Don’t listen. Don’t speak. These “three monkeys” are very important. As long as one doesn’t look, doesn’t listen, and doesn’t speak, a chaotic mind will become calm. People often say, out of sight, out of mind (pure)!”","“Are there any other reasons?”","“Too many worldly affinities, too many outside temptations, too many mundane tasks, too many social engagements. These all cause the mind to be distracted. Disturbances come one after another. How can it not be distracted? The mind jumps from one disturbance to another. Could the mind not be distracted?”","","“How can we avoid these worldly affinities, temptations, mundane tasks, and engagements?”","“Minimize them as much as possible. Eliminate the ones that are not necessary. Going into a retreat is the best option, if there is an opportunity. If one can go into retreat, the mind will naturally calm down!”","“If in retreat, the mind is still distracted, what can one do?”","“It is then solely from the cultivator’s own mind. Recalling old memories that linger in the mind. The only method is to discard them like trash. Totally forget them.”","“What can be done if these memories cannot be trashed?”","“Use visualization to stop them. For example, visualizing impermanence, visualizing impurity, this is the method of ‘throwing out the trash’!”","“If one is still not able to throw them away, then what?”","“Then go ‘Jia Sai’!” (Translator’s note: Taiwanese for ‘eat poop’)","“Master Lu! How can you say that?”","I answered,","“Rotten wood cannot be carved!”","","","","","","","","","","","","","","","","S","","","","","","","",""
"038 How to Distinguish the Four Levels of Meditation","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=1000309&chapter_id=c038","omeone asked,","“How do you distinguish among the four levels of meditation?”","","I answered, “","The difference is very minute. Sometimes it even overlaps. In fact, the difference is barely distinguishable.”","“Can you give more details?”","“Yes.”","I said:","I am accustomed to distinguishing the four levels of meditation according to the four realms of heaven. For example:","The Desire Realm of Heaven —","A little bit of enlightenment (slightly enlightened)","Willingness for more exploration","The appearance of dharma joy","The appearance of dharma happiness","Has lightly touched upon meditation","(This is the initial level of meditation.)","","Next:","Has pure trust in meditation (pure faith)","Has dharma joy","Has dharma happiness (bliss)","Able to enter deeper into meditation","(This is the second level of meditation.)","The Heaven of Form Realm —","Has realized the intrinsic equality of all beings. (Fair and Impartial Wisdom of the Nature)","Has only a single thought","Development of wisdom (prajna)","Brightness appears","Able to enter the most peaceful, deep meditation","(This is the third level of meditation.)","The Formless Realm of Heaven —","No sufferings, n","Everything is equally the same","Emptiness","Empty of emptiness","Neither thought nor absence of thought","(This is the fourth level of meditation.)","","Someone asked,","“Do these four levels of meditation only occur in Buddhism?”","I answered,","“No, it can apply to any cultivators of any religion who cultivate meditation. That is, cultivators of meditation of all religious will all experience the same.”","“What is buddha’s highest level of meditation?”","“Absolute universal enlightenment, wonderful enlightenment, attaining the unexcelled state of Perfect Enlightenment.”","“Are there any other unique feelings in the fourth level of meditation?”","I answered:","Tranquil","Free from afflictions","Happy","S","Unhindered","Not easily tempted","Conducts no evil practices and no wicked deeds.","","","Demonic thoughts do not easily arise","Has the right views","The stream of primordial qi (dharma stream) fills the entire body, flowing to every part of the body. In other words, the body is first entirely filled with qi (genuine qi) as a sign of the merging of heaven and human. Then, there is the gradual emergence of light until one’s entire body emits light. Finally, there is absolute enlightenment and one enters into the still quiescence."
"039 How to Avoid Deviations","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=1000309&chapter_id=c039","omeone asked,","“Master Lu! This book has been emphasizing meditation. If a cultivator sits for meditation once a day, four times a day, or six times a day, would you say they have deviated from the Buddhadharma?”","I answered, “I follow the middle way.”","“Nowadays, many Buddhist cultivators practice differently from Master Lu. Some of them emphasize conducting good deeds first. What is your opinion of this?”","“The Buddhism in China advocates the teachings of Mahayana. Most cultivators like to think of themselves as bodhisattvas promoting good deeds. It is understandable. However, by placing too much focus on doing good deeds and neglecting to raise one’s level of spirituality by not cultivating meditation, one is still not able to be liberated in the end.”","“Master Lu, what do you make of this?”","“Advocating Humanistic Buddhism and promoting ‘pureland in the human world’ are both catchy propositions. But doesn’t it diminish one’s mind to renunciate? Lacking and not promoting the mind to renunciate is of course straying away from the original intent of Buddha’s doctrines. These are my thoughts.”","“What do you think about some of the great masters establishing the biggest Buddhist temples or becoming the biggest mountain tops [Editor’s note: metaphor for becoming the biggest Buddhist organizations]?”","“Building onto the mountain tops or establishing the largest temples are all okay. But compared to the Buddha’s time of living in caves, under the trees, or in the burial grounds, is quite a big difference. Therefore, my suggestion is to find a balance. Build the temples but also must cultivate meditation.”","“Mahayana cultivators criticize Hinayana cultivators as selfish and ignorant. What do you think?”","“They should not. The Four Noble Truths is the dharma spoken by the Buddha. Hinayana cultivators follow the precepts. They emphasize renunciation. That is the cornerstone of Buddhism that should not be overlooked. Hinayana cultivators place importance on cultivation of the self for renunciation. If one doesn’t cultivate on the self, then how can one attain liberation from the cycle of reincarnation in the end.”","“There are some Buddhists who say that Hinayana Buddhism was not taught by the Buddha. Is this true?”","“When the Buddha initially turned the dharma wheel, it was at Sarnath Park, not far from Varanasi. What was taught was sufferings, origins of suffering, cessation, and the path. Hinayana dharma placed importance on cultivation of the self. This is the original stepping stone for Buddhism. One should not criticize or slander it.”","","“Modern day Buddhism does not place importance on precepts. What do you think of this?”","“That is not right.”","“Mahayana Buddhists save sentient beings by promoting conducting good deeds. Would that be right?”","“Yes, but one must also cultivate the self. Cultivation of the self and","deliverance of sentient beings must be done simultaneously!”","“Do you like Hinayana Buddhism or Mahayana Buddhism?”","“Whether Hinayana, Mahayana, or Vajrayana, these three are all important. If there is no Hinayana then there will be no precepts and meditation. How will we be able to extricate from the cycle of reincarnation?”","“Why are there deviations from the Buddhadharma?”","“When the great masters do not clearly clarify Buddha’s doctrine but only suit their speech to the audience, deviations occur naturally!”","","","","","","","","","","","","","","","","","","","","","","","","","","","S","","","","","","","",""
"040 The Approaches of Meditation","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=1000309&chapter_id=c040","omeone asked,","“Master Lu! In your opinion, is it necessary to cultivate all the meditation approaches?”","I answered,","“It is not necessary. Cultivate according to each individual’s idiosyncrasies.”","People asked, “What do you mean?”","I answered:","Let me use the simplest analyses as follows:","Method of breath counting -- is for the cessation of scattered thoughts.","Contemplation on impurity -- is for the cessation of greed.","Contemplation on compassion -- is for the cessation of anger and hate.","Contemplation on causes and conditions -- is for the cessation of ignorance.","(Every cultivator must understand their own idiosyncrasies and cultivate accordingly, which will naturally lead to fruition.)","Some others also say:","An impatient temperament needs to cultivate “breath counting.”","A slow temperament needs to cultivate “impurity.”","Someone with high wisdom needs to cultivate “compassion.”","Someone with great compassion needs to cultivate “causes and conditions.”","","●","","Someone asked,","“How is cultivating these approaches beneficial?”","I answered:","The method of using breath counting can “calm and abide the mind.”","Contemplation on compassion can increase one’s good fortune and virtues.","Contemplation on impurity can increase the will to renunciate from worldliness.","Contemplation on causes and conditions can help one understand emptiness.","(I personally feel without the mind to renunciate from this world, then cultivation will not be effective. The best result from cultivation is to become a buddha, a mediocre result from cultivation is to become bodhisattva or an arhat, and the lowest result from cultivation is to become a heavenly being. All of these will not be possible without the mind to renunciate from this world.)","I don’t particularly like:","Humanistic Buddhism","Pureland in the human world","Heaven in the human world","(Because this is the idea of utopia, or Great Unity. It is impossible in reality.)","(Editor’s note: Great Unity or “Datong” is a neo-Confucian philosophy of a great community.)","","The contemplation on impurity stresses importance on:","Death is a common factor, no one can avoid it.","Think of the body swelling.","Think of bruises from hemorrhaging.","Think of the body infested by insects.","Think of the body going bad.","Think of the body producing puss.","Think of body decaying.","Think of the bones and ashes of the dead.","This is the visualization of death. It will help one to give up everything such as health, youth, beauty, body figure, sexual desires, greed, and various other strong attachments.","Think about it:","In the past, there have been many saints, buddhas, sages, emperors, magnates, etc., not one could avoid death.","Nowadays, there are many neighbors, parents, children; no matter if they are elders, middle-aged, adolescents, or youths, all are walking towards death.","No one can avoid death.","S","The future will become the present and the present will become the past.","Therefore, why are you still having such strong attachment to greed, hatred, ignorance, doubt, and arrogance.","Then, I would no longer have strong attachments to money, beauty, status, food, and etc!","","","Death is unavoidable.","I personally often contemplate on impurity.","Breaking through all afflictions."
"041 The Benefits of Enlightenment","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=1000309&chapter_id=c041","omeone asked,","“Master Lu often brings up the topic of enlightenment. Meditation can lead to seeing the Way. Seeing the Way is enlightenment. Then, can you please tell us how to reach enlightenment?”","I answered:","Cultivation in Buddhism has five paths:","Path of Accumulation","Path of Application","Path of Seeing","Path of Cultivation","Path of Absolute","I personally feel that to see the path of enlightenment requires both wisdom and meditation.","I say,","“Among Buddhist scriptures, many belong to enlightening sutras, such as the Prajnaparamita Sutra, in which the profound meaning of enlightenment is hidden. If one can understand this sutra, then one has reached enlightenment. Also, if, during meditation, one reaches the Formless Realm of the fourth level of meditation, one is approaching ‘Seeing the Way.’ By also having confirmation from one’s guru, it will naturally lead to fruition.”","Someone asked,","“What are the benefits of enlightenment?”","I answered,","“Breaking away from wrong views.”","","“What are wrong views?”","“In Buddhism, there are a lot of terminology that most people do not understand, such as: the view of attachment to views, the view of attachment to precepts, the view of self, wrong views, views of attachment to extremes. These terms are quite bothersome.”","I say:","The wrong views I am talking about are more direct:","1. Attachment to I or mine","2. Preconceptions/biases","3. No cause and effect or reincarnation","4. Stubborn misinterpretation","5. Views that are misled","And so on and so forth. Only an enlightened practitioner can break through the obstacle of afflictions and obstacle of what is known.","","I say:","Path of Accumulation cannot break through these obstacles.","Path of Application cannot break through these obstacles.","Only the Path of Seeing (enlightenment) can one break through.","Therefore, we can say:","Enlightened! Anger has all vanished!","Enlightened! Worries have all vanished!","Enlightened! No longer stubborn!","Enlightened! Attachments have disappeared!","Enlightened! Equality, completion, dharma realm.","Enlightened! Unhindered.","Enlightened! Omnipresent.","","My instruction for everyone is to thoroughly comprehend the three dharma seals! Because the three dharma seals are the truth.","“Impermanence”","“No self”","“Emptiness”","Someone asked, “Besides breaking away from wrong views, what other benefits does enlightenment have?”","I answered:","Even more steadfast in faith.","Even more diligent in cultivation.","S","Upholding precepts.","Supreme wisdom.","","","","The mind to renunciate becomes more genuine.","Comprehending Buddhism.",""
"042 Ten Types of Mindfulness that Aid in Meditation","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=1000309&chapter_id=c042","omeone asked,","“We aspire for deep meditation. How can we enhance our everyday meditation practice?”","I said,","“The ten types of mindfulness!”","Someone asked,","“Which ten types of mindfulness?”","I answered:","Mindful of the buddha -- When contemplating the buddha, visualize buddha’s elegance to purify oneself.","Mindful of the dharma -- When contemplating the dharma, comprehend the wisdom of the buddha to obtain the buddha wisdom.","Mindful of the sangha -- When contemplating on the sangha, understand the precepts of the sangha to keep one’s conduct from deviating.","Mindful of the precepts -- When contemplating on the precepts, uphold all precepts so that one’s mind is calm and immovable.","Mindful of giving -- When contemplating on giving, one’s deed must be beneficial to both oneself and others at the same time, increasing one’s merits.","Mindful of heaven -- When contemplating on heaven, one obtains heaven’s support and protection from possession by demons.","Mindful of death -- When contemplating on death, visualize everything is emptiness to terminate greed.","Mindful of the body -- When contemplating on the body, understand the frailness of the body to remove greed, anger, and ignorance.","Mindful of the breath -- When contemplating on the breath, understand that if a breath does not come, then everything is gone.","Mindful of tranquility -- When contemplating on tranquility, understand the original states of life, instantly enlightened.","","Someone asked,","“What does being mindful of heaven have anything to do with the Buddhadharma?”","I answered,","“The heavens guard the Buddhadharma, as well as protect practitioners of the Buddhadharma. How can we not respect the heavens?”","Someone asked,","“How are these ten types of mindfulness different from the four foundations of mindfulness?”","I answered:","The four foundations of mindfulness are:","Contemplating on the impurity of the body is equivalent to mindfulness of the body. Purify oneself by contemplating the impurity of one’s body.","Contemplating on the sufferings resulting from emotions is equivalent to the mindfulness of tranquility. It will strengthen our mind to renunciate.","Contemplating impermanence of the mind is equivalent to mindfulness of the precepts. It will strengthen our immovable mind.","Contemplating “no-self” is equivalent to mindfulness of death, no “I” or “mine.” Enlightenment follows.","Someone asked,","“Does the four foundations of mindfulness have any other meanings?”","I answered:","Contemplate on the impurity of the body -- emptiness of self","Contemplate on the suffering from emotions -- emptiness of phenomena","Contemplate on the impermanence of the mind -- emptiness of the mind","Contemplate on no-self -- emptiness of nature","","I added:","Manjushri Bodhisattva said:","Emptiness of the body","Emptiness of the mind","Emptiness of dharma","Emptiness of nature","Someone asked,","“Why do we have to learn this?”","I answered,","“Purification!”","“In the cultivation of meditation, why do you say we should start with counting the breath?”","S","“The counting of the breath is the foundation. For cultivating the qi, we begin with the counting of the breath. Pay attention to the inhalations, exhalations and the length of breath, filling the entire body. The breathing method is for concentration.”","Happiness","Dharma joy","Non-leakage","Inner fire","From the breathing, it produces:","Enjoyment","Great happiness"
"043 The Immaculate Light Treatise","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=1000309&chapter_id=c043","omeone asked,","“In December 2015 in Hong Kong, Grand Master Lu held a Grand Ceremony of the White Lotus King, the second king of Shambhala. The splendor of the occasion was unprecedented. White Lotus King wrote the [Immaculate Light Treatise]. What are its main points?”","I answered,","“Emptiness.”","Someone asked,","“What kind of emptiness is it?”","“Immaculate.”","“In what way is it immaculate?”","“This is the original meaning of the Kalachakra Dharma. It indicates that as the wheel of time rolls past, it obliterates everything - mountains, rivers, the earth, and people. All is destroyed to nothingness; everything becomes nothing. This is emptiness.”","“The world is contaminated, i.e. people have karma. How can it be empty? How can it be immaculate?”","“What’s past is already past. What’s present will also become the past. The future will become the present and that eventually will be the past too. This is using time to obliterate everything; thus, emptiness.”","“Are rocks empty in nature?”","“Yes.”","“The rock is hard. How can it be empty?”","“No self-nature; thus, emptiness.” (Rocks can be worn away by the wind.)","“Is the sky empty in nature?”","“Yes.”","“How can the sky be empty?”","“It similarly has no self-nature.”","I clarified:","“The sky has changes in the clouds; weather; light and dark; rain, wind, thunder, and lightning; and temperature. Everything changes; therefore, emptiness from no self-nature.”","","Someone asked,","“Then how do you explain rocks?”","I answered,","“Rocks can be worn away by wind, rain and tremors. The blue sea becomes the mulberry field, the mulberry field becomes the blue sea. (Chinese idiom meaning ‘swift changes of the world.’) Thus, emptiness from no self-nature.”","“What is bright light?”","“Being immaculate is bright light.”","I clarified, “Bright light is the Buddha-nature.”","Someone asked, “Master Lu, do you recognize anything in this world that has self-nature?”","I answered,","“No. The [Heart Sutra] very clearly stated that there is no eye, ear, nose, tongue, body, or mind.”","Someone asked,","“How can you prove that there is none?”","I answered,","“It’s proven in the [Diamond Sutra], which states that everything is in a combined form.”","(In this short chapter, the words were few, but they contain a deep meaning.)","","","","","","","","","","","","","S","","","","","","","",""
"044 Realize the Nature of Emptiness Through Meditation","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=1000309&chapter_id=c044","omeone asked,","“What does it prove by our realization on the nature of emptiness through meditation?”","I answered,","“The verification of the Buddha’s words.”","“What does this verification refer to?”","“Proofs of no self-arising, no arising because of others, no arising from the combination of self and others, and no arising without a cause.”","“These terms are difficult to understand. Please elaborate.”","I clarified, “Please place attention on the fourth phrase ‘not arising without a cause.’ All things have causes and conditions. It is because of causes and conditions do they come into existence. The fourth phrase proves: not arising from the self, not arising from others, and not arising from the combination of self and others.”","Someone asked,","“What else does this confirm?”","“Neither arising nor ceasing,","neither impermanent nor permanent,","neither the same nor different,","neither coming nor going.","These eight negations are proof of the nature of emptiness.”","","“What do you mean by that?”","“The first phrase is about the intrinsic nature of birth and death. The second phrase is about the intrinsic nature of impermanence. The third phrase is about the intrinsic nature of non-attachment. The fourth phrase is about the intrinsic nature of Buddha-nature.”","“What else does this confirm?”","“I am empty. People are empty. Sentient beings are empty. Life is empty.”","“What is its deeper meaning?”","“Upon reflection of oneself, an individual is a composite; sentient beings are a compound; people are of a combined form; the concept of time is empty; space is also empty.”","“Can you give an example?”","“We feel that life is like a dream. When the time comes, the dream becomes empty. Life is a big illusion. It seems real, but, when it is time, we realize that it is only an illusion. Life is like a bubble. When we realize impermanence, the bubble bursts. Life is like a shadow. Looks like something is there, but actually it is just a shadow. It is not real. Therefore, this is all emptiness.”","","“Dew and electricity are also analogies, right?”","“Correct.”","“Why is it that meditation can prove all of this?”","“During meditation in samadhi, one can come to understand that there is no I, on the inside and no I, on the outside. Therefore, one can prove it.”","I continued,","“One can also prove it by understanding nothing to gain, nothing to dwell on.”","Someone asked,","“If it is as you said, then doesn’t it make life very negative and without meaning?”","I answered,","“It actually becomes even more positive.”","Someone asked,","“How so?”","I answered,","“If one wishes to understand the reasoning, one must be even more diligent. If one wishes to save sentient beings from attachments, one must be dedicated in leading people away from delusion and illusions. This calls for positivity. This kind of positivity is having bodhicitta. Bodhicitta is escaping suffering and attaining happiness.”","","","","","","","","","","","S","","","","","","","",""
