"chaptername","chaptername href","chapterbody","chapterbody 2","chapterbody 3","chapterbody 4","chapterbody 5","chapterbody 6","chapterbody 7","chapterbody 8","chapterbody 9","chapterbody 10","chapterbody 11","chapterbody 12","chapterbody 13","chapterbody 14","chapterbody 15","chapterbody 16","chapterbody 17","chapterbody 18","chapterbody 19","chapterbody 20","chapterbody 21","chapterbody 22","chapterbody 23","chapterbody 24","chapterbody 25","chapterbody 26","chapterbody 27","chapterbody 28","chapterbody 29","chapterbody 30","chapterbody 31","chapterbody 32","chapterbody 33","chapterbody 34","chapterbody 35","chapterbody 36","chapterbody 37","chapterbody 38","chapterbody 39","chapterbody 40","chapterbody 41","chapterbody 42","chapterbody 43","chapterbody 44","chapterbody 45","chapterbody 46","chapterbody 47","chapterbody 48","chapterbody 49","chapterbody 50","chapterbody 51","chapterbody 52","chapterbody 53","chapterbody 54","firstcharacter","chapterbody 55","chapterbody 56","chapterbody 57","chapterbody 58","chapterbody 59","chapterbody 60","chapterbody 61","chapterbody 62","chapterbody 63","chapterbody 64","chapterbody 65","chapterbody 66","chapterbody 67","chapterbody 68","chapterbody 69","chapterbody 70","chapterbody 71","chapterbody 74","chapterbody 75"
"035 The Suffering of Others","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=1000044&chapter_id=c035","any people suffering from illnesses have come to me. My heart hurts to see them in pain. Seeing others suffering, I suffer. I have been wondering, how is this little body able to hurt so much that it leads people to cry to heaven and earth for help? How does this vile bag of skin send people to tears? How does this body make an entire family sad and gloomy?","Life has both good and bad, positive and negative, and sometimes, the good is tinged with some bad or the bad is tinged with some good.","A young girl, whose feet were devoid of strength, had been wheelchair-bound for many years.","","An entrepreneur in the prime of his life, was diagnosed with a heart valve problem, and now waiting for doctors to pronounce how much longer he would live.","","A lung that has become chronically edematous.","","An ovarian tumor that has grown bigger than the ovary itself.","","Gallstones.","Bladder stones.","Kidney stones.","Do you know how painful they are?","Strokes in the brain.","Heart attacks.","Tumors on the face.","Tumors the size of ping pong balls throughout the body.","A person with pruritus and ulcerations covering his skin.","","Oh heaven!","Blindness! Deafness! Muteness! Nasal allergies! Teeth falling out!","Pains and aches, hurting here, and hurting there.","Problems with the heart, liver, spleen, lungs, and kidneys.","Brain surgery.","Surgery of the abdomen.","Surgery of the large and small intestines.","Surgery of the anus.","Feet that cannot move even a single step.","A patient with multiple tubes exiting his body.","A tongue covered with ulcers…","","All these people have come before me. Could I have said to them the following?","","“The human body is just an illusory composite of causes and conditions!”","“The physical body is not real!”","You must perform the “impure body visualization.”","You must perform the “skeleton visualization.”","Detest your flesh body and abandon it.","Do not dwell on the pain and suffering, and focus your thoughts on the wonderful sceneries of the Western Paradise of Ultimate Bliss!","","But, at such times, I cannot say these things. At such times, I can only try my best to help them. After all, they are human.","","I use the light of my hands.","I use the light of my heart.","I use the light of my body.","The light of the Yidam.","The light of the dharma protectors.","","I use these lights to bless them, so they may heal quickly from their diseases. I look forward to the appearance of miracles, the appearance of invisible powers, and the appearance of divine interventions.","","","","","M","I use the eighty-four thousand dharma-doors to treat the eighty-four thousand kinds of illnesses. Helping them end their pain and suffering comes first.","I care about their pain, their suffering. I care about each person.","I said: “At this time, may the boundless power of Buddhadharma manifest. This is of utmost importance! Utmost importance!” At such times, talk of impermanence, non-self, and emptiness are irrelevant.","","●","","Sheng-yen Lu","","","","","","","","","I care about those afflicted with illnesses.","","",""
"036 How Nice to Be Awakened!","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=1000044&chapter_id=c036","he previous article “The Suffering of Others” addresses the mundane world, while this article “How Nice to Be Awakened!” belongs to the category of “enlightened writing.”","","An awakened person should know:","","Everyone will get sick.","Everyone will encounter accidents.","Everyone’s body will undergo transformation.","Everyone’s thoughts will change.","Everyone’s fate has ups and downs.","Everyone will die.","","No individual can escape birth, old age, sickness, and death. Alas! That is human life!","","If you think –","","I am always sick, why me? Accidents, why me again?","Why can’t I preserve my youth? Why does my body become old?","Why do I have such ill luck?","Why must I die?","You sigh and lament, blame this and that, burst into tears, and cry “What a bitter life!”","","However, people who are awakened think differently:","","These are the laws of nature.","Everyone experiences them.","Life has both good and bad, positive and negative, and sometimes, the good is tinged with some bad or the bad is tinged with some good.","In the end, there is death.","Hahaha!","","Life is a dream.","Life is a drama.","Like a dream, magic, a bubble, a shadow.","Everything, just let it go!","","I chatted with myself:","","“Yo! Grand Master Lu, are you really a person so awakened?”","","I replied honestly: “Not all the time. Sometimes I will also behave like an ordinary person and sigh!”","","“How can you claim to be enlightened?”","","I replied: “When I encounter difficult situations, I think of the laws of nature, and after some thought, take things coolly again!”","","“What do you mean by taking things coolly?”","","“Let it go! How else is one to do it?”","","The faint, faint, faint moonlight.","Lotus pond! Lotus pond!","The water sings slowly!","Swimming slowly!","I do not take things to be so very important!","I say: “When I look at any problem from the view of an enlightened person, all problems fade and disappear.”","T","The fishes! The fishes!","","","“Which problems are you referring to?”","","I replied:","Is Grand Master Lu a true or false living buddha? Regardless of it.","What happens after I die? Regardless of it.","I only care, as to my next meal. What am I going to eat?","●","","The future of True Buddha School. Regardless of it.","My situation? Regardless of it.","A cult? Regardless of it.","","","I am in the play “True Buddha School,” and this play also lasts a moment!","",""
"037 A Fantasy-Comedy","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=1000044&chapter_id=c037","n Christmas night 2014, we had dinner at the “Shin Kong Mitsukoshi” Mall in Taichung, and [Night at the Museum 3] was playing in the cinema. So naturally we went to watch this fantasy-comedy.","I replied: “Are you kidding! Don’t you know there is no gain and no loss? Hahaha!”","This is the story:","","An artifact, the tablet of Ahkmenrah discovered in a Pharaoh’s mausoleum in Egypt, has magical powers when exposed to moonlight. It brings antique objects to life.","","Thus, the story moves from the American Museum of Natural History to the British Museum. Under the magical power of the tablet of Ahkmenrah, museum animals and people are revived.","","Of course:","","The story is make believe.","The characters are farfetched.","The ancient eras were a thing of the past.","What is present is the now.","When this “fantasy-comedy” finally came to an end, we broke into laughter.","","I said:","","Time is make believe.","Space is make believe.","Process is make believe.","People are make believe.","Animals are make believe.","","An assembly of fabrication and concoction that may seem based in a little fact, in reality is all false. Only the “funny” dialogue was real. The audience laughed and the movie was over!","","When you watch such “fantasy-comedy” and look upon this human world, how does it make you feel?","","This time lasts only a moment!","This space also lasts only a moment!","People also last a moment!","All twists and turns of events also last a moment!","All houses and cars also last a moment!","","I am in the play “True Buddha School,” and this play also lasts a moment!","Who knows when it will end?","This play also has magical power!","Many people play necessary roles in this drama, and I am the principal male actor.","","I chatted with myself: “Will this main actor role that you play last forever?”","","“No.”","","“Why not?”","","“I will soon die!”","","“Will True Buddha School always be in the world?”","","“Who knows? I say, it does not necessarily come to an end soon!”","","","","","O","“Are you worried about it?”","“Why not?”","I replied: “With every beginning there is an end. Even the sun, the moon, the earth, have their lifespans. Everything will come to an end one day.”","","“Do you have regrets?”","","●","Then one discovers the body is just a composite phenomenon, and one does not “own” one’s body.","Sheng-yen Lu","","","","","","","I replied: “No!”","","",""
"038 Your Body Is Not Yours","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=1000044&chapter_id=c038","nce I had a minor skin ailment.","I replied: “The mind.”","I asked Dr. Liao:","","“Will my skin heal?”","","Dr. Liao replied: “It will.”","","I asked again: “Will the ailment come back?”","","Dr. Liao replied: “It will.”","","I asked: “How can this be? Why will it come back after it is healed?”","","Dr. Liao asked instead: “Have you had a cold before?”","","I replied: “Yes.”","","Dr. Liao asked: “Will you catch a cold again?”","","I replied: “Yes.”","","Dr. Liao said: “That’s it. Otherwise, how will we physicians make a living?”","","At this moment, I remembered a famous verse:","","I do not own my body,","I have no control over it.","Various parts of my body,","Can become corrupt beyond cure.","Being a composite it will disperse,","How can it be mine!","","Dr. Liao finally said to me: “Only after one dies, will all illnesses truly go away!”","","Some people cannot raise their hands; these immovable hands are no longer theirs.","","Some people can no longer move their legs; these immobilized legs are no longer theirs.","","When the internal organs become diseased, they undergo decomposition and no longer belong to the body.","","Then one discovers the body is just a composite phenomenon, and one does not “own” one’s body.","","I chatted with myself: “Many disciples have made you very happy, right?”","","I replied: “Yes.”","Thus one seems to have come, thus one seems to have gone.","“There are also many renegade disciples who have made you angry and displeased, right?”","Sheng-yen Lu","I replied: “Yes.”","","","","","O","“Is it possible to prevent some of these things from happening?”","“Since it is impossible to prevent such things from happening, treat them as natural events. There is no need to be too happy or angry. Right?”","I said: “Yes.”","","“Do you know where happiness and anger come from?”","","“Where is the mind then?”","I replied: “I don’t know.”","“Since the mind is not found anywhere in the body and no one can find it, the body-mind is not yours. Right?”","At that moment, I was enlightened!","","","","","","I replied: “Impossible.” A person cannot make everyone satisfied.","“Body-mind, what is this?”","",""
"039 The Woman Who Gave Me Peonies","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=1000044&chapter_id=c039","female student from mainland China presented me with a bouquet of peonies. The peonies were beautiful blossoms of blazing purple and flaming red.","●","When I received the flowers, I immediately offered them to my Yidams.","","I raised my head to look at the female student.","Long black hair.","A round face with fair complexion.","Head tilted slightly.","Big eyes, sweet smile.","Blushing cheeks.","Red lips.","Wow! So beautiful!","","I asked: “Where are you from?”","","She replied: “Xi’an.”","","I said: “I have been to Xi’an. You and the flowers are both beautiful.”","","She said: “Thank you!”","","I suddenly remembered a poem by the Tang poet Bai Juyi. The title of the poem is “Remembering Yuanjiu at the Time of the Peonies at Ximing Temple”:","","Two years ago I scripted the name for this place,","Today I came to view the flowers.","Since becoming the Collator of the State,","I have thrice seen the blossoming of peonies.","Not only are the flowers worthy of pity,","Old age has been secretly calling.","Moreover, I am searching for my viewing partner,","Who has traveled to the East Capital and not returned.","By the side of the red flowers,","Who knows my dwelling thoughts on the end of spring?","","This poem, this beautiful woman from Xi’an, and this bouquet of peonies, reminded me of many things…","","I am now seventy.","Flowers bloom, flowers wither.","Life is beautiful, life is sweet, and life is comfortable. All of a sudden! One’s prime is irretrievable.","Old relatives and friends have scattered.","Old schoolmates have scattered.","Old confidants have scattered.","","I asked: “What is your name?”","","She replied: “My name is Xiao Shi (Little Poem)!”","","I said: “Wow! Little Poem, I was just remembering a little poem!”","","She asked: “Which one?”","","","","","A","I said: “It is not worth discussing!”","Several days later, a woman appeared, looking very much like “Little Poem.” I asked her if she was “Little Poem.” She replied: “I am from Chengdu, and my name is Xiao Yue (Little Moon).”","I was dumbfounded!","","Suddenly I had this awakened thought: “Thus one seems to have come, thus one seems to have gone.”","","A monk listening to songs, that is interesting, nothing more!","Sheng-yen Lu","","","","","","","","Suddenly, “Little Poem” disappeared into the crowd. No matter how hard my eyes searched for her, she never reappeared. I have so many students, and when a person walks into the crowd, she disappears.","","",""
"040 Listening to Zhou Hui Singing","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=1000044&chapter_id=c040","t noon on December 28, 2014, I attended a lunch organized by Master Changren of Dzogchen Center Limited, Lotus Light Charity Society (of Hong Kong).","","At the banquet, I listened to their reports on –","","The campaign “A Drop of Life” which has built “3161” water cellars bringing water to people living in arid lands.","","The construction of four dams in Gansu and Qinghai in the Northwestern region of China.","","Their Yunnan Disaster Relief efforts:","","Building five solar power stations.","Funding twenty-six children to undergo cardiac surgeries.","Distributing supplies to people in need.","And many more.","","I was very touched after seeing their reports.","","During the banquet, the host invited a famous Taiwanese singer Miss Zhou Hui to perform for us. Zhou Hui’s songs are quite famous and popular.","She sang a total of four songs, each one was moving.","","It is said: When Zhou Hui first started singing, people referred to her as “dinosaur lady” because of her looks.","","Later, she tried very hard to change her image. She has now transformed into a slender lady with a very handsome face. I drank in the beauty of her singing","","I chatted with myself: “From what you see, touch, hear, smell, and taste, what have you learned?”","","I replied: “Bubbles.”","","“The same kind?”","","“All kinds of bubbles!”","","“Are you listening with indifference?”","","I replied: “For every event or thing first encountered, I will be deeply touched and moved when I savor its unique flavor.”","","I also said: “But, just this and nothing more. I would think, after all, these are all bubbles which will be gone sooner or later.”","","“You are both moved and indifferent, is this not a contradiction?”","","I replied: “It is not a contradiction.”","","“Why not?”","","I replied: “After hearing Zhou Hui’s singing, I was momentarily moved to write this article. But, that is all there is to it. She and I had a photo taken together. Just photo, that was all. People take pictures of me, but this monk never keeps any photo for himself. What follows then are bubbles!”","","“You have seen through it all?”","","I replied: “Thus is life. She may not be familiar with the True Buddha School at all and may have no idea where this monk is from.”","","“How would you describe it?”","I replied: “Interesting!”","“Complicated?”","I replied: “It is not complicated, just interesting. A monk listening to songs, that is interesting, nothing more!”","A","","","","“Have you come to any realization from this?”","","I replied: “There was a woman, singing songs!”","","","","","","●","The past is past, the future I don’t think about, and the present also will very quickly become the past.","Sheng-yen Lu","","","","",""
"041 Living Amidst Misconceptions","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=1000044&chapter_id=c041","irAsia, since its inception, has had a safe flight record. Thus, the airline has printed on their brochures that “AirAsia planes will never get lost.”","","At the end of 2014, an AirAsia Airbus A320-216, flight QZ8501, departed at 5 a.m. from the Surabaya, Indonesia airport. It was carrying 162 people on board, and the plane was scheduled to arrive at 8:30 a.m. in Singapore. But, traffic controllers lost contact with the plane over the Java Sea.","","On December 30, 2014, an official announcement was released: “The airplane has crashed into the sea!” This was a tragic flight accident.","","As a matter of fact, 2014 was the year with the highest number of deaths caused by aircraft accidents and aviation safety issues. The highest number of aircraft crashes! The highest death toll on record!","","What I want to say in the previous paragraphs is that AirAsia has had a very safe and smooth flight record in the past, and this gradually gave rise to the “misconception” that “AirAsia planes will never crash!”","","According to the teachings of the Buddha: “Everything is impermanent.”","","In the human world, all material phenomena are undergoing change and beyond the control of humankind.","","That is:","","Everything will break down.","Everything will undergo transformation.","Everything is in flux.","Nothing is forever.","Nothing is eternal.","","Take mechanical things for example, they will malfunction, age, break down, fail, and make mistakes.","","How can one claim: “Our planes will never crash!”","","I chatted with myself: “Grand Master Lu, you are already seventy and will be seventy-one next year. Do you have any physical illness?”","","I replied: “Who can say that he or she is always healthy? I catch colds and have minor skin ailments. Sometimes I have gastrointestinal discomfort and minor aches and numbness in the body. But, overall, I am fine.”","","“Grand Master Lu, have you had any serious illnesses?”","","I replied: “Every six months, I go for a physical checkup. So far, I have had no serious problems. But, I cannot guarantee that every year I will be so healthy. I cannot even guarantee how long I will live.”","","“How long will you live?”","","I replied: “I cannot say!”","","“Will you live to ninety-nine?”","","I replied: “The past is past, the future I don’t think about, and the present also will very quickly become the past. It is good that I am at peace this moment!”","","“Do you have plans for the future?”","","I replied: “I only have plans for today. Live a day, be happy a day; live a day, be grateful a day; live a day, cultivate and practice a day.”","","“If tomorrow you get sick, or die?”","","I replied: “I do not care what happens tomorrow!”","","“Will you be in fear?”","I replied: “No big deal. I don’t think about it!”","●","Once the plane crashes, the Yidam will bring me to the Pure Land, so I have no fear.","A","","","","Sheng-yen Lu","","","","","","","","","","","","","","",""
"042 If Sitting on a Plummeting Plane","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=1000044&chapter_id=c042","his year (2014), the world has suffered many aircraft accidents:","●","Two Malaysia Airline flights.","One AirAsia flight.","One TransAsia flight.","One Air Algerie flight.","Many small airplane crashes…","","A student with the surname Feng was once on a plane that almost crashed. The plane was cruising at 20,000 to 30,000 feet altitude. Suddenly, the plane lost its power. There was darkness inside the plane. The sound of the engine completely stopped. The airplane started falling from a high altitude at a very fast speed. All one could hear was the screaming and crying of passengers inside the plane.","","Student Feng thought to himself:","","“I am finished!”","“I am going to die, everything is over!”","Fear and horror coursed through his body.","The plane shook turbulently.","The passengers shook violently.","Suddenly, the power came back, the engine sound resumed, lights inside the plane returned, and the airplane started ascending slowly.","Oh heavens! Everything was back to normal!","","After this harrowing experience, student Feng has refused to fly. He chooses to drive no matter how long the distance. He has also stopped travelling overseas.","","Student Feng said: “I have developed a fear of flying!”","","He asked me: “What should I do?”","","I replied: “Take a flight once a week or fly often, this is the only method!","","Only this approach will help you overcome your fear of flying.”","","I asked myself: “Are you afraid of flying?”","","I replied: “No!”","","“Why are you not afraid?”","","I replied: “Every time I fly, after I am seated, I first visualize my Yidam sitting on my crown, and I chant the Yidam mantra until I can feel the Yidam’s arrival. Then I am at ease throughout the flight.”","","“What happens if you encounter terrifying air turbulence?”","","“I chant the Yidam mantra!”","","“If the plane you are on crashes, what will you do? Are you not afraid?”","","I replied: “There is nothing to fear!”","","“Really?”","","“Really,” I said affirmatively.","","“Why are you not afraid?”","I replied: “I have turned over my divine self to my Yidam. Once the plane crashes, the Yidam will bring me to the Pure Land, so I have no fear.”","","","T","","I replied: “This is life. It is simply a matter of early or late arrival!”","“You are truly unafraid of a death flight?”","","I replied: “Haha! After all, to die suddenly is more pleasant than a prolonged death!”","","In all my life, I have never placed a “price tag” on anything.","Sheng-yen Lu","","","","","","","","“Your life ends, and all comes to naught?”","","",""
"043 Price Tag","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=1000044&chapter_id=c043","Vajrayana rinpoche came to Taiwan. This rinpoche is a dharma king with the honorific title H.H. and he wanted to visit me at Lei Tsang Temple at Caotun, Taiwan.","","When I heard this, I was very pleased.","","I would certainly welcome him with the highest standard of etiquette.","","1. Order a custom made tall and wide dharma throne for him.","2. Receive him in the best lounge.","3. Have him seated at the highest dharma throne during major ceremonies.","4. Roll out the red carpet for him.","5. My students will offer khata and offering. I myself will also make offering to him.","6. Serve him a high level banquet.","7. Etc…","","However, their center also sent us the following requests:","","1. We should be responsible for the first class airfare of His Holiness and entourage.","2. We should be responsible for the accommodation of His Holiness and entourage.","3. We should be responsible for the cost of their stay in Taiwan.","4. Offerings in the range of half a million to one million should be presented in advance.","","I realized that all their requests had to do with:","","Money.","Money.","Money.","","After talking things over, the result was: “His Holiness will not be visiting!”","","When I heard that, I relaxed!","","Originally, I thought that my offering coupled with offerings from my students would certainly add up to a high amount, and that would be acceptable.","","But, they have given us a “price tag” prior to other considerations.","","I myself am not someone who would do such things. In all my life,","I have never placed a “price tag” on anything. Everything is “as one pleases.” But every visiting rinpoche wants to talk about the “price","tag” first.","","I am really not used to this!","","In this life, I have dedicated myself to “practice” and “dharma teaching.” For any ceremony or ritual I conduct, I only receive offerings made “at one’s discretion!”","","I never put constraint on others that they have to meet a certain price tag. People with money, people without money, both are equal.","","Make more offerings.","Make less offerings.","It is “as one pleases!”","One hundred NT dollars is fine, and a ten-dollar coin is also fine.","","I chatted with myself: “Why don’t you care about money? Money is a good thing in this world. Why do you not care?”","I replied: “I am content with myself and I do not have desires.”","“You can achieve enjoyment of the highest degree!”","I replied: “In the United States, I only buy gasoline because my car needs fuel. In Taiwan, I only buy water because Taiwan’s water is undrinkable. These are my only two expenditures, nothing else.”","A","","","","“Don’t you need money for retirement?”","","I replied: “Offerings from students are enough!”","","","I replied: “In this world, is there a thing one really owns?”","","●","“Don’t you want to establish your own magnificent temple?”","I replied: “What is meant by my own?”","“Under your own name and belonging to you?”","Despite being such a saint, Shakyamuni Buddha also faced much criticism from the outside world.","","","Sheng-yen Lu",""
"044 The Buddha Also Encountered Resentment and Enmity","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=1000044&chapter_id=c044","hakyamuni Buddha was a great sage who had attained great awakening and enlightenment. He was also a saint who lived the quiet life of a spiritual practitioner. However, he also encountered resentment and enmity.","","Here are some examples:","","Six religious leaders and their groups attacked the Buddha and his teachings.","Sundari was a woman who announced that she had sexual relations with the Buddha and members of the five hundred arhats.","Cinca-manavika was a young girl who falsely claimed that she had been impregnated by the Buddha.","Devadatta was a disciple and cousin of the Buddha, also one of the eight prince monks, who later rebelled against the Buddha and departed with many of Buddha’s disciples to form their own sangha.","After the Buddha’s death, a group of opposing students announced that with the death of Shakyamuni, they would now be free.","Due to many other factors, the Buddha also developed a negative reputation that spread amongst the outside world.","Despite being such a saint, Shakyamuni Buddha also faced much criticism from the outside world.","","Therefore, we can conclude that:","","In this world, no matter how decent, holy, or gentlemanly you are, no matter how cautious you are in words and deeds to not offend anyone –","Still, there will be people doubting, criticizing, attacking, and destroying you.","","Some of these people may be your acquaintances.","Some may be complete strangers.","Many of them, you do not know.","They also do not know you.","But, people like to gossip and spread rumors.","They criticize you.","","These were the Buddha’s responses:","","“Ignore them.”","“Make no objections.”","“Reject their accusations with silence.”","","I chatted with myself: “Grand Master Lu, how do you handle such criticism?”","","I replied: “I emulate the Buddha.”","","“Do you get even a little angry?”","","I replied: “It is just as well!”","","“How do you resolve these annoyances in your mind?”","","I replied: “It is very simple. Even when you do your best not to offend anyone and yield to your surroundings, someone will still look you up to challenge you. This happens to everyone. When I think about it this way, the annoyance disappears. Even a saint like the Buddha cannot escape it.”","","“You have achieved great things through practice and meditation, why is there still such heavy gunfire against you?”","","I replied: “As virtue rises, vice also rises.”","","“Will you fight back?”","","I replied: “That is the job of the herukas and dharma protectors!”","","“When faced with such frustrations, injustice, and irrationality, how should a practitioner deal with this?”","I replied: “I am thankful! This is just too flattering! This human world, it is so fun!”","●","One hundred years from now, what else will be here?","S","","","","Sheng-yen Lu","","","","","","","","","","","","","","",""
"045 Question from a Student","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=1000044&chapter_id=c045","student asked me: “Grand Master often speaks of ‘no self.’ If the ‘self’ does not exist, why do I suffer? Why do I have emotional afflictions?”","The Lei Tsang Temple is emptiness.","This was my reply:","","To an enlightened person, there is no self.","To an unenlightened person, there is a self.","An enlightened person says: Suffering is not real. Emotional afflictions are not real.","An unenlightened person says: Suffering and emotional afflictions are so real!","","Truly I tell you, in conventional truth: There exist suffering and emotional afflictions.","","In ultimate truth: There is the unborn, the void.","","In the former: It is the magical-self experiencing the unreal.","In the latter: Everything is the unborn, the void.","","There is this verse:","","Although in ultimate truth the self does not exist,","Confused sentient beings think they exist.","Although pain and suffering do not really exist,","Confused sentient beings think they exist.","It is vital to understand the two truths,","Ultimate truth and conventional truth.","","I have often made this analogy:","","One hundred years from now –","Will your pain and suffering still exist?","Will your emotional afflictions still exist?","Will your husband or wife still exist?","Will your children still exist?","Will your love and hatred still exist?","","The dynasties of Tao Tang Shi, Yu, Shang, Zhou, Qin, Han, Three","Kingdoms, Wei, Jin, Southern and Northern Dynasties, Sui, Tang,","Song, Yuan, Ming, and Qing are no longer in existence today.","","What has remained in existence?","","One hundred years from now, what else will be here?","","Let me ask you: What’s all the fuss about?","","[Diamond Sutra] tells us:","","Not to hold onto the notion of a self.","Not to hold onto the notion of others.","Not to hold onto the notion of sentient beings.","Not to hold onto the notion of a lifespan.","","They only appear to exist due to the converging of causes and conditions.","","","A","All phenomena are inherently empty; their essence is emptiness.","Hence:","Sheng-yen Lu is emptiness.","His two hundred and forty-six books are emptiness.","His forty years of dharma teaching are emptiness.","True Buddha School is emptiness.","","","“Grand Master Lu! Do you aid and deliver sentient beings?”","","I replied: “I am just waking them up, that is all!”","The five-million students are emptiness.","I asked myself: “Grand Master Lu! What are your plans for the future?”","I replied: “Nothing.”","●","They are inherently non-existent.","","I am the clouds. Wherever the clouds drift, that is where they will be!","Sheng-yen Lu"
"046 My Return to Taiwan","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=1000044&chapter_id=c046","y life in Seattle is quiet and peaceful.","","In contrast, life in Taiwan is different:","","Diverse and varied.","Hustle and bustle.","Disarray.","","The sound of people talking, the sound of cars, the sound of music and singing, neon lights, the tastes of foods…","","The air quality.","The chaotic traffic.","The odor of the sewers.","","When residing in Taiwan, one’s heart seems to be floating, undulating incessantly, and one’s thoughts seem to multiply…","","I of course know that everything that meets the eye, though seemingly of various combinations, is of the same essence.","","I have received many invitations to visit –","Zen Light Lei Tsang Temple in Yilan.","Fuyu Lei Tsang Temple in Hsinchu.","Xianghua Lei Tsang Temple in Taichung.","Emperor Lei Tsang Temple in Taoyuan.","Guashan Lei Tsang Temple in Changhua.","The many local chapters of various sizes in Taiwan…","Various cultivation groups.","Dharma ceremonies.","Consecration of shrines.","Dharma teachings.","","Many countries in Southeast Asia have also sent invitations. There are also a few regular events that have been already set: The Annual","Spring Ceremony in Taiwan Lei Tsang Temple, the Mahottara Heruka","Ceremony in Chiang Kai-shek Memorial Hall in Taipei, and the Tigerhead","Vajra Ceremony in Emperor Lei Tsang Temple in Taoyuan.","","Apart from these, there are also interviews with the Daden Culture","Publisher.","","There are numerous excursions wrapping themselves around me in layers.","","All I see, touch, smell, and hear are:","","Invitation!","Invitation!","Invitation!","","I have already seen through them. They are merely bubbles. But there are so many bubbles that I feel I cannot breathe. I am already a seventy-one-year old man. There is not enough time.","","I always give this reply: “When the condition is ripe, I will visit!”","","I chatted with myself: “Is it really very complicated to deal with all these invitations?”","I replied: “No, not at all.”","“You said you would go when the condition is ripe, are you being deceitful?”","I replied: “I am not lying!”","M","","","","“With so many invitations, how will you manage it?”","","I replied: “I am the clouds. Wherever the clouds drift, that is where they will be!”","","","I replied: “Of course I do. But, my students need to understand that there are three things even the Buddha cannot do!”","","●","“You won’t be able to accept all the invitations!”","I replied: “That is of course true. But, let’s just wait for the condition to ripen!”","“Do you feel regrets?”","Those who are enlightened will be forever enlightened, and those who are not will remain unenlightened.","","","Sheng-yen Lu",""
"047 A Few Enlightened Statements","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=1000044&chapter_id=c047","n January 4, 2015, Daden Culture organized an interview in an auditorium at Yamatoya, Taichung.","I replied: “Isn’t this interesting? Maybe I should burst into laughter?”","The interviewer was Miss Zhou Mingjing. I was the interviewee.","","Zhou asked: “What is enlightenment?”","","I replied: “Enlightenment is very simple. An enlightened person is an awakened person.”","","Zhou asked: “What about someone who is unenlightened?”","","I replied: “This person is living in a confused dream and has not awakened.”","","Below are a few enlightened statements:","","An enlightened person sees the world in its true reality.","An unenlightened person has misconceptions about true reality.","An enlightened person has no attachments.","An unenlightened person has attachments.","An enlightened person is awake.","An unenlightened person is asleep.","An enlightened person is like Teflon – nothing sticks.","An unenlightened person gets stuck to things.","Achieving enlightened awareness is awakening.","An unenlightened person’s awareness is grounded in delusions.","Enlightenment is absolute.","Un-enlightenment is walking at a crossroads.","Enlightenment is emptiness.","Un-enlightenment is existence.","Buddhas are enlightened beings.","Ordinary people are unenlightened beings.","Etc.","","If I continue writing, the list will never end. Those who are enlightened will be forever enlightened, and those who are not will remain unenlightened. If I had to summarize everything in one statement, what would it be?","","Quiescence.","Causes and conditions.","A quiet moon.","An earth full of causes and conditions, emerging and extinguishing.","The former is true reality.","The latter is illusion.","","True reality is illusion, and illusion is true reality. Form is emptiness, and emptiness is form. Form is none other than emptiness, and emptiness is none other than form.","","Because I have awakened, I no longer have obstacles in my mind and can overcome all fear and destroy all wrong perceptions.","","Unenlightened ordinary beings have not awakened, so they still have emotional afflictions, sufferings, and attachments.","","What is “aiding and delivering sentient beings”?","","It is really just waking them up!","","","","","O","I chatted with myself: “You are so busy every day. What are you doing?”","“What will the result be?”","I replied: “They will feel perplexed.”","","“So you did it all in vain!”","","“Why?”","I replied: “Because life is just one big joke!”","●","As causes and conditions converge, causes and conditions also disperse.","","","","","","I replied: “Aiding and delivering sentient beings!”","Sheng-yen Lu","",""
