"chaptername","chaptername href","chapterbody","chapterbody 2","chapterbody 3","chapterbody 4","chapterbody 5","chapterbody 6","chapterbody 7","chapterbody 8","chapterbody 9","chapterbody 10","chapterbody 11","chapterbody 12","chapterbody 13","chapterbody 14","chapterbody 15","chapterbody 16","chapterbody 17","chapterbody 18","chapterbody 19","chapterbody 20","chapterbody 21","chapterbody 22","chapterbody 23","chapterbody 24","chapterbody 25","chapterbody 26","chapterbody 27","chapterbody 28","chapterbody 29","chapterbody 30","chapterbody 31","chapterbody 32","chapterbody 33","chapterbody 34","chapterbody 35","chapterbody 36","chapterbody 37","chapterbody 38","chapterbody 39","chapterbody 40","chapterbody 41","chapterbody 42","chapterbody 43","chapterbody 44","chapterbody 45","chapterbody 46","chapterbody 47","chapterbody 48","chapterbody 49","chapterbody 50","chapterbody 51","firstcharacter","chapterbody 52","chapterbody 53","chapterbody 54","chapterbody 55","chapterbody 56","chapterbody 57","chapterbody 58","chapterbody 59","chapterbody 60","chapterbody 61","chapterbody 62","chapterbody 63"
"035 有关于“灌顶”的口诀","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=440&chapter_id=c035","密教的“灌顶”之中，其要义是一种“授权”的秘密意义。","灌顶法及其次第均很重要，这是密乘弟子均要明白的，不能紊乱。","灌顶表征“师承”。","灌顶表征“授权”。","灌顶表征“允许”。","成为密乘的弟子理应接受上师的灌顶，这样才算如法。","现代的灌顶，比往昔的灌顶，好像简单多了。","","在过去，有：","一、观地。二、乞地。三、净地。四、摄地。(建曼陀罗)","六种仪轨：","一、地神仪轨。二、五物仪轨。三、弟子预备。四、寝具预备。五、羯摩线预备。六、天预备。","","灌顶次第：","宝瓶灌顶。","秘密灌顶。","智慧灌顶。","圆满灌顶。","单单宝瓶灌顶又分为“水灌顶”、“本尊灌顶”、“诸尊灌顶”、“上师灌顶”、“法器灌顶”、“经续灌顶”、“冠灌顶”、“幡灌顶”、“杵灌顶”、“铃灌顶”、“禁行灌顶”、“名灌顶”、“随许灌顶”……。","这些灌顶属“生起次第”。","","后三项灌顶属“圆满次第”：","秘密灌顶。(内灌顶)","智慧灌顶。(无上密灌顶)","圆满灌顶。(顶极灌顶)","","我个人觉得灌顶极重要的口诀是：","迎请智慧尊。","智慧尊降曼陀罗。","再由曼陀罗迎至灌顶器。","又由灌顶器灌顶诸弟子。","这些“环节”均非常重要。","","我记得有一次，我在台湾雷藏寺的坛城，欲给一名弟子灌顶大黑天“摩诃伽拉”。","大黑天从虚空中下降。","大黑天语我：","“没有曼陀罗！”","一查，果然没曼陀罗，连金身也没有。","","于是－－","大黑天降入我身中。","我变身成“摩诃伽拉”，然后再给弟子灌顶。“摩诃伽拉”的眷属，一一降入我的身中。","(这是特殊状况)","","我灌顶的法器，说明如下：","宝瓶灌顶－－法器甚多。","秘密灌顶－－红花、白花。","智慧灌顶－－笔。","大圆满灌顶－－密传。","","我认为四灌顶的意义如下：","在","消除身业。","消除语业。","消除意业。","","我一直有一个感觉，密教的种种仪轨实在太多而且也太繁复了，穷其毕生所学，也是学习不完的，在我这儿，一直在做去芜存菁的工作，把仪轨尽量的简化。","但，其重要的环节，不能省去。","","记得：","弟子要有虔心。","“光明”与“幻身”双运。","上师要有悲心。",""
"036 “吽”字的清净法(修语)","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=440&chapter_id=c036","祖师的教导修“吽”字清净。“”","","其一：","口中诵“”字。不停的默诵，由心发音。(轻声)","蓝色的“”字，一一由右鼻孔呼出。","自己的房子，周遭的房子，虚空大地，湖海山河，全部遍满“”。","而后，口中仍然诵“”字，观山河大地的“”字，再一一由左鼻孔进入到自己的全身，自身从头至脚，全身布满“”字。","一声大“”。","外在世界，内在世界，全部清净。","","其二：","口中诵出猛烈的“”字，心中亦青色“”字，非常猛厉。","左鼻孔放出一一猛烈的“”字，其力如火爆、霹雳、闪电、烈火、雷音，将外在的世界一一摧毁，变成空无一物。","(由此证悟，一切器世界，无自性，无实质。)","再由青色“”字，由右鼻孔入自身，全身全是猛烈“”字。","一声大爆炸，自身不见。","外空。","内空。","(由此证悟，外无实质，自身也无实质。)","","其三：","观身外有一红色“”字。","再观自身化为黑色“”字。","二个“”字均变为须弥山大小。","互相接近缠绕，交缠来，交缠去。","接着，二个“”字，变小，变成像米粒“芥子”一般，由左右鼻孔飞入，而住于心。","行者专注“红黑”二字“”。","安住在三摩地之中。","(此乃入三摩地，轻轻安住之法。)","","其四：","自己的身子成一白色“”字。","自己的语成一白色“”字。","自己的意念成一白色的“”字。","心中念“”字。","","然后开始游走，先在室内房间游走，然后走了出去。","自己的都市。","其他的都市。","国内、国外、三界、六道……。","凡“”字所到之处，一碰触，所有的汙垢，全变成清净。","一切苦难全化为净土。","(这是大清净法)","这四则行法，全用毘卢七支坐。","行法宜专注。","","这样子的修法利益甚大。","一、语清净。","二、入于道。","三、证悟无实。","","承","我的口诀是：","其实佛性本自圆满清净，修身、修语、修意，全由无二基本自性而出生。","由这样的了知，一切法也如法性状态。","入于道的人，自然知道一切无实。","因无实故，一切清净。","","","","","殊胜的果，很超越。","",""
"037 大悲咒的深见(修语)","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=440&chapter_id=c037","们晓得，密教有言：","修身清净－－手印、身印。","修语清净－－咒。","修意清净－－观想、无念。","我这里想提到，众所周知的〈大悲咒〉，此咒有大功德。","","常诵持〈大悲咒〉，现生有十大功德：","一、安乐。二、除病。三、长寿。四、富裕。五、消业。六、离难。七、功德。八、无畏。九、成就。十、生佛国。","","还有：","佛身、光明、慈悲、妙法、禅定、虚空、无畏、妙语、常住、解脱、药王、神通。","其功德无尽。","","又有五部密法：","息灾－－化佛手等。","调伏－－金轮手等。","增益－－如意手等。","敬爱－－莲花手等。","钩召－－宝箭手等。","","我的深见是：","〈大悲咒〉包容一切佛、一切法、一切功德。","〈大悲咒〉九十九亿恒河沙诸佛所共赞。","","〈大悲咒〉出相，包含：","诸尊。","密迹。","龙天。","善神。","是一切咒的总摄、总持。","不但，离苦得乐，也能果位增长，莲品增上，往生佛国，即身成佛。","(我劝大家持诵〈大悲咒〉。)","","另外：","我要谈谈“转经轮”。","","观音菩萨对龙树授记：","“龙宫中的龙尊王佛，有一座转经轮。任何众生要见到、听到、想到、碰触到，即能从下三道解脱，如果你获得，就可利益众生。”","龙树去了龙宫，见了龙尊王佛，佛说：","“这转经轮，是燃灯佛赐的，有大威力，可令苦解脱，保护龙族。”","","后来：","龙树给了狮面空行母，传入西藏，因此西藏寺庙各地都有转经轮。","《宝箧经》曰：","“转动经轮，具大神力、消业，降伏魔、病、天灾、牢狱、刀兵、怨敌。转一次，等同念咒，无数亿万遍，功德不可思议，龙天护法护持，罪障全消亡。”","","我勉励大家：","持诵〈大悲咒〉。","修千手千眼观世音菩萨念诵法。","转动转经轮。","","我","我修此法的“深见”：","自身不见。","心不动。","宽广而住。","光明。","无念。","法力无边。","如果有圣弟子，知晓我这几句短短的文字，必然知晓千手千眼观世音菩萨及我莲生活佛卢胜彦的秘密。","","轻安。","口诀全在里面。",""
"038 明空的大智大慧(修意)","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=440&chapter_id=c038","先跟大家说明“大手印”法的四层修法大口诀：","一、专一。","二、离戏。","三、一味。","四、无修。","","什么是专一？","我答：","“没有任何念头，就算有念头，自会出生，自会消融，也等于没有念头。不执不惑，全是空性。这就是专一。”","","什么是离戏？","我答：","“念头无攀无执，也无所住，完完全全的任运，自然而开放。这就是离戏。”","","什么是一味？","我答：","“没有你的、我的、他的，平等而毫无差别，也没有所谓的成就或不成就。这就是一味。”","","什么是无修？","我答：","“没有什么要追求的了，就算修也等于是无修，无修也等于修，佛性与修不修毫无干涉，明了佛性。这即是无修。”","(这些是重要口诀)","","我说：","意念从何生？","意念从何住？","意念从何去？","先思维这三个问题，就会明白“心无所生”。再思维“意念”是住在哪里，就会明白“心无所住”。最后思维“意念”是如何消失，去了哪里，就会明白“意念”并没有所去之处。","","所以：","意念从空生！","意念住于空！","意念从空去！","","于是：","“根本就没有所谓生、所谓住、所谓去，无论如何找不到意念，找不到心。”","因为找不到意念，找不到心。","所以：","“明空”。","","我喜欢莲华生大士的一个偈：","佛心确实即为汝自性。","恒常在你之内无须寻。","仅只了知即为法身佛。","无法经由他人而示现。","","修意的大口诀是：","莫视念头具过失。","如同大海与波浪。","浪海原来同一味。","无是。","我","无非。","","我讲到这里，就已经没有什么话可以讲了，大家注意：","无心。","无我。","无生。","","我讲笑话吧！","儿子就说：“坐这种车子的人，肚子没有学问！”","无事。","有父子二人，看见一部进口的十分豪华的“劳斯莱斯”。","父亲淡淡的说：“说这种话的人，口袋一定没有钱！”"
"039 六道习气的断除","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=440&chapter_id=c039","个人信解，每一个人初生的时候，已经带着累世的业障。","因为有很多人，具有天生的智障，具有天生的残缺，具有耳聋口哑、四肢不全、智慧障碍、全身骨软、口歪眼斜、头大肢短……。","这些人刚出生。","并未行一切善及一切恶。","何以如此？","因累世业障之故也！","“习气”、“烦恼”、“业障”生来就有，而且根深蒂固。","有些是后天生成的，因为周遭环境的影响，渐渐的染上习气。","","我们常说：","龙生龙。","凤生凤。","老鼠生的会打洞。","酱缸文化，全部污染成一味。","这些全是后天环境所造成的。","","密教有修持“六道习气断除法”，其口诀如下：","行者毘卢七支坐。","观想六道种子字。","(阿)，白色，安于眉心，天道。","(苏)，绿色，安于喉际，阿修罗道。","(呢)，蓝色，安于心际，人道。","(支)，红色，安于脐际，畜生道。","(遮)，绿色，安于密处，饿鬼道。","(都)，烟色，安于足心，地狱道。","(记住，这些种子字，均呈现淡色。)","","再观想：","佛的三身种子字。","(嗡)，大白光，安于眉心。","(阿)，大红光，安于喉际。","(吽)，大蓝光，安于心际。","一切安立完成。","以如来的三字开始燃烧，把六道种子字，全部烧毁。","三字如火，火蔓延，把六道种子字全部烧掉而无余。","行者光明无尽。","行者口中轻轻的诵着“嗡阿吽”。","一直把六道种子字烧尽。","念“嗡阿吽”愈多愈好。","","如果六道的习气已经清除干净了，会产生吉祥的梦兆。","一、行者在虚空飞行自在。","二、行者看见自己全身如琉璃通透。","三、行者自见白光绕身。","四、行者自见穿白净天衣。","五、行者吃白吐黑。","六、行者在白光中沐浴。","七、行者看见自己化为本尊。","这时，行者会自己感觉到，对于贪、瞋、痴、疑、慢、妒，减轻及消失。","内心很安然、自在。","","我","我个人认为，行者如果修习“拙火”已经成功，以倒置的短阿字。","“”燃烧。","向上火窜。","这样六道习气自然全部断除，行者清净。","","我说：","密法是活的。","触类旁通。","","烧遍了全身。","",""
"040 觉受光明的口诀","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=440&chapter_id=c040","般上师教导“光明”出现，有一种是生活中，极短暂的闪光，这种“光明”很难去确认，也很难去掌握，但可以去意会。","前念已灭，后念未生－－在此间，偶现明体。","婴儿时－－由于未受妄念干扰，常见光明。","大乐时－－光明突然一闪。","打喷嚏时－－念头中断，光明一闪。","打呵欠时－－意念中断，光明一闪。","昏睡中－－深眠时，光明一闪。","临死时－－中阴出现，光明一闪。","被打昏时－－念一止，光明一闪。","受大惊吓－－意识暂停，光明一闪。","以上的光明出现，有的是无意义，有的是认不出，很难把握。","","我们(瑜伽士)是在：","无修。","无整。","无治。","无乱。","在禅修中，出现的长久光明中，才眞正觉受到明体光明的出现。","","我的觉受光明经历中，其重要口诀是:","思绪紊乱时，让其平静。","思绪平静时，让其稳定。","思绪稳定时，让其宽广。","在宽广中，出生光明。","(在这个口诀中，有点像对治的味道，其实不用对治，只是你自己要确认，紊乱也是心，平静也是心，稳定也是心，宽广也是心，光明也是心，既是明的，也是空的。)","要知道，一切念头的来来去去，都是自行生起，也一样自行消融。","","我比喻:","海是佛性。","浪是妄念。","浪起浪落。","总归佛性的海。","二者无差别。","","我比喻：","溪水长流。","如同妄念长流。","要直要曲随意而去。","只要确认是本然状态。","曲直无差别。","瑜伽士只要能安住在法尔本然的状态，就可以在究竟之中得到了悟，得到了光明。","","所谓的云、雾、霭，虽然出生在虚空之中，也会消融在虚空之中。","只要确认这一点，你就无所挂碍了。","如此，清新、无缚、自然，光明自然呈现。","不生不灭。","不垢不净。","不增不减。","无修、无整、无散乱，一切安住本然。","明明了了。","念头生时，不理会它，不跟随它，不管生起什么念头，都会自然消融。","一","这就是光明世界。","无所做，无所住。","无所思，无所造。","光明自生。","宜确认之！","","","","","无判别，无专注。","",""
"041 智慧光明","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=440&chapter_id=c041","教认为，我们每一个人的内在自有“佛性”，而我认为，佛性就是“空性”。而这“空性”很难去诠释，最后只有用“智慧光明”来表征。","","“光明”不是空想之物。","而是经由实修之后，出现的“眞实光明”。","佛性光明在心际，呈蓝色。","梵穴光明在顶际。","脐轮光明在脐际。(含藏在脐、心、喉、顶均有。)","眼通光明在眼际。","(这是连结眼睛到心的，非常的重要，我们由眼睛向内视之。内视法，到了最高的阶段，可以看见明点光明、串连的明点光明、一整片的光明，最后看见全身都是光明遍照，这个时候就是化虹的虹光大成就。)","","也就是：","明点光。","金刚链。","金刚幕。","化虹光。","(如果把人体的五大，一一的逐渐化光，最后肉体也化了，就是智慧光明的虹光化身。)","","密教把光明分别称为：","肉团心光。","白柔脉光。","远通水光。","界清净光。","明点空光。","本觉智光。","我们是有了“开悟”之后，悟后起修，才能看见这些光明的。","","我个人不是很喜欢去记这些名词，我个人保持着光明觉性。在光明觉性的禅修之中，种种光明自然出现，这是最重要的。","","我的口诀是:","气入中脉。","中脉先通。","升起拙火。","明点下降。","明点上提。","燃滴作用。","打开五轮。","五轮光现。","五轮化光。","五大放光。","身化虹光。","(这是我“卢胜彦”的口诀，这也是我的经历次第。我的经历也许和其他的上师的经历不一样，但，行者也可以作为修行成果的证量参考。〉","","在这当中我证明：","明相－－看不见自己，外在内在全是透澈光明，非常清净。","无念－－无念才能看见光明，有念看见的光明很短暂，只有无念中的光明才恒久。这些须定力湛然，慧眼内观，宽坦任运。","不执－－对光明也不执着，只是舒适、恬淡、坦然、宽阔无比。","不惑－－无生、无我、无自性、自然。此时亦进入无修、无整、无散乱。","","最后：","无修而修。","自然任运。","密","无禅修之人。","了悟：","全然的无有。","","","","","","","","",""
"042 守护“开悟”达到“坚固”","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=440&chapter_id=c042","看见有几位开悟者，虽然在理上已开悟了，但，一切行事仍然跟凡夫一模一样，等于是没有开悟，有的是，比没有开悟者更糟糕。","","这是怎么一回事？","因为：","不知道守护“开悟”。","不知道守护“坚固”。","世俗凡夫，永远是情绪的奴隶，永远是欲望的奴隶。","而开悟者，须要不受情绪的控制，更不能受欲望的控制。","","例如：","我们骑烈马(欲望)，以“开悟”为驾驽术，能令马驯服，不可去践踏田园。","又：","如牧羊人牧羊，羊任意行走吃草，但，牧羊人只是看住羊。","不能走远。","不能迷失。","不能越境。","在这两个例子中，包含了“任运”及“无散乱”。","","任运－－无所得、无所住、无所谓、宽松、坦然。","无散乱－－清清楚楚，明明白白，不是放浪形骇，而是不离不弃，拿捏适度。","","开悟者，因为明白人生最高的至理，即是：","不执着了！","不迷惑了！","不畏惧了！","不追求了！","……。","","开悟者知道本来清净，本来光明智慧，本来面目。自然会抛弃我执、分别、心不外驰。所以我们看见：","真开悟。","错悟。","理开悟。","事开悟。","在“眞开悟”中，烦恼、妄念、欲望，完全无有。","在“眞开悟”中，得见光明、清净、无生、无我、解脱。","在“眞开悟”中，放下一切，自然而住。","在“眞开悟”中，贪、瞋、痴、疑、慢，全部不见。","在“眞开悟”中，放松、安住、保持任运。","","我记得莲华生大士如此说：","心是无云晴空，","善业及恶业均消杳不见，","六道如何进入？","习气自然荡然无存！","","何有轮回？","以什么东西轮回？","基本上的道理没有变也没有迁移。","没有生也没有死。","","如来藏的自性，","我","生老病死全部解散及放逐，","不必净化的净化，","眞佛。","轮回没有涅槃没有，","如同觉醒，","只剩下法身无二，","没有文字没有声音，","空空空。","","","",""
"043 三种虚空的口诀","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=440&chapter_id=c043","华生大士曾如此说：","我们所看见的外在世界，仍然是由自心的觉受所生，仍然是空。","我们的身体也是如此，仍然是四大的假合，其本质也是空。","我们肉团心里的如来藏识，是佛性，而佛性亦即是空性。","我们见到的许多展现，完完全全是心的游戏，心是空，其本质是空。","这些展现，如同演一场戏，会出生，也会消融，仍然是空。","我说：","“空、空、空、空、空。”","","密教有一种三虚空的瑜伽，其口诀如下：","要选择较高处。","山顶平台。","大楼顶平台。","阳台。","高处平台。","(无闲杂人来往，较安静之处，不受干扰。)","","坐姿：","仙人坐姿、七支坐姿。","日期：","无云晴空之日。","无风无云之日。","天气晴朗之日。","","修法：","将自己的双眼，注视无云晴空的天际，将无云晴空，明明朗朗，宽宽坦坦，与行者自身合一。","天即是我。","我即是天。","自身化为虚空。","然后，向内观自己的心中的本觉智光，现起了光明。","本觉智光的佛性光明，经“晶管脉”直达眼睛。","“晶管脉内”也有白柔脉光。","","于是：","外界光明。","脉中光明。","本觉智光。","三种光明合在一起，入三虚空光明禅定。","","这个时候，就是一滴水，融入了大海。也就是子光明融入了母光明，形成了子母光明会。","在无修、无整、无散乱之中，渐渐的增长自己的光明，直到完全的契合，这也就是得证了。","","此法有条件：","一、行者已打开心轮，见证到如来藏中的本觉智光。","二、行者自己的脉，已证得光明，由中脉到三脉，由三脉至一切脉，连“晶管脉”中之光明，也已见证到了。","三、这个时候，才能由外在的界光明与脉中光明、本智光明，三光融合。三光融合入禅定，于是证得子母光明会。","(界光明可视为宇宙意识)","","我讲一个笑话：","一个青年问禅师：","“我有些东西放不下。”","莲","禅师把举到嘴的五花肉，抛入垃圾桶。","","青年说：","禅师答：","“我是想告诉你，人都是五花肉，把自己丢掉。”","(哈哈哈！)","","","","“你是要我不要贪吃肉，吃素而立地成佛吗？”","",""
"044 亲证佛性口诀","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=440&chapter_id=c044","个人认为要亲证佛性，其坐姿有四：","一、毘卢七支坐。","二、狮子坐。","三、象坐。","四、仙人坐。","(这是身的口诀)","","语的口诀：","禁口。","形如哑巴。","","意的口诀：","不散乱。","无修。","无整。","无分别，宽坦，轻松，自然，无住。","","观光口诀：","狮子坐－－看月光，双眼向上。","仙人坐－－看灯光，双眼向下。","象坐－－中午看光，左右斜视。","七支坐－－看内在光。","","有六种光明：","心光。","脉光。","水光。","界光。","明点光。","本觉智光。","(心光就是本觉智光，通过脉光、水光，在界光中出现。)","这即是“亲证佛性”了！","","另外，在本觉智光的周边，有一点又一点的光明，那就是明点光。","也就是佛性在中央，四周是明点光的集合。","由这些光点化成金刚链。","由金刚链变化成金刚幕。","由金刚幕中出现诸佛。","诸佛幻身与本觉智光合为一体。","这即是“成佛”。","","在修法过程是：","先看到明点光，再打开心光，在觉受增长之下，显现了金刚链，再增长为金刚幕，甚至整个佛及刹土全部出现，遍满整个虚空。","行者本身，将自身的五大，转化成虹光体，二者相互融入。","这是“虹光化身”。","","另外，我个人的经验是：","当行者已观看到了金刚幕，在金刚幕中出现了诸佛及刹土。","行者只须将自己的本觉智光(佛性)，运气将佛性由顶窍运出，融入整个虚空大光明海中。","这即是“子母光明会”。","","我","另外：","行者在死亡过程中，中阴身已出现，在一刹那之中，看见大光明海。","行者将自己的中阴身的光明，投入大光明海中，二者合一。","","另外：","行者在死亡过程中，中阴身已出现，看见了阿弥陀佛、观世音菩萨、大势至菩萨来迎接。","行者中阴身随之而去。","这即是“接迎成佛”。","关键时刻是：","这即是“中阴成佛”。","","“融入！”"
"045 卢胜彦的胜义口诀之一","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=440&chapter_id=c045","爱的圣弟子：","要修行金刚乘的仪轨及教言口诀的眞义，前者是“实修”，后者是“保任”之。","在入世的诸道之中，要记住，凡入世的教法只是一种“方便”，也只是一时，并且没有“自性”可言，全部是在幻生幻受。","入世全是轮回，不管你在哪一道，天道、阿修罗道、人道、地狱道、畜生道、饿鬼道，完全没有自在可言的。","所以“入世”的教言，可以视为“接引”、“初机”、“暂时”、“方便”。","例如：","做善人。","做善事。","将十恶变十善。(对治)","(这是一切宗教的共乘)","","这全是幻中做幻事，也就是幻生幻受的因果轮回现象。","","眞正的胜义口诀，是在觉悟：","“人生是大梦幻”。","“人生是一场戏”。","“人生是大轮回”。","“人生是大大空”。","“人生是无所得”。","“人生是无所住”。","","从这人生当中醒过来，也算是清楚明白觉醒的状态之中，完完全全的清醒，这才算是有一点点的觉悟。","像：","读书。","爱情。","事业。","富贵。","长寿。","子女。","美丽。","……。","(全是梦幻)","","这些由努力而获得的，也都是暂时的，就算是富贵多世，也一样会消杳。","就算是再长寿，也一样会死。","就算是地位再高，也一样会分崩离析。","就算是爱情，也一样是美梦一场。","就算是再有钱，也一样会暂时拥有。","一切都是空。","一切无所得。","一切无自在可言。","","我的胜义口诀是：","轮回是必然的，不要因此排斥它；因果是必然的，也不要去排斥它。","我们要在因果轮回的幻生之中，任随之，但保持着觉醒状态，渐渐的接受莲生活佛卢胜彦的胜义教言口诀，走上了禅修的道路。","这个觉醒禅修第一珍贵。","凡一切世间的努力，未曾给自己带来“自在”。","","反而是：","觉醒才会“自在”。","也就是借由“开悟”、“任随”、“保任”、“松坦”，才能感觉到“自在”。","亲","在追求中，无安乐。","无追求，才安乐。","有执着，无安乐。","会吗？","","","","","","无执着，才安乐。","",""
"046 卢胜彦的胜义口诀之二","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=440&chapter_id=c046","爱的圣弟子：","当初我开始对人间产生了“厌离”之心时，我开始寻求解脱。基督教、道教、佛门显教、佛门密教，甚至其他的道门等等等等。","","我生起的虔诚之心是非常“坚固”的，我要寻找到眞理，而且实践眞理，一直到我自己变成了眞理。","我寻找我的师父及上师，及在诸多的“经续”中寻找教言。","上师给我教言。","书籍给我教言。","当我在整整三十年的思维之中，才终于明白开悟。","就是“这个”！","这个是什么呢？","","我实实在在的告诉大家：","这个是本具的。","这个是恒常在的。","这个是没有分别心的。","这个非靠祈求而所得。","这个非靠加持而所得。","这个非靠修持而所得。","这个也非靠“见”、“修”、“行”、“果”而所得。","","原来“佛法”也是方便。","原来“佛法”是工具。","用“工具”把一层层的障碍除去。","障碍全除去了，发现“这个”就在那里。","佛法不是“这个”。","“这个”也不是佛法。","二者毫无干涉。","","像“小乘佛教”：","说一切有部－－工具。","经量部－－工具。","","大乘佛法：","唯识－－工具。(无着菩萨)","中观－－工具。(龙树菩萨)","自空派、他空派、自续派、应成派－－工具。","我是以这些“工具”为伴，一件一件打开了宝藏库的门。","","最后发现了：","“这个”。","","所以，释迦牟尼佛讲了一句：","“法尙应舍，何况非法！”","我的觉醒是不需要证明的，因为只有“佛陀”才能知道。","我的觉醒也不需要排斥驱逐，因为法尔本然，自性也不攀也不执，就算是安住，也是无住。","它并非“是”东西。","也非“不是”东西。","","我由于已觉醒了“这个”，就以“持续”及“遍满”的清明之心，在这人世间做弘法的事业，离开了所有的意念及造作。活在本然的状态之中，不贪、不瞋、不痴、不疑、不慢。","","但－－","亲","我仍然不断的对有情众生发出广大的慈悲菩提心。","我只是悲悯有情众生未发现“这个”，所以我以无为的方式，想成办有情众生的安乐。","这只是一个愿！","明知不可为！","但亦自在行！","我从开悟之后，便实施了“任成”及“任运”完全无作意的。","","","","愿也是虚空！","",""
"047 卢胜彦的胜义口诀之三","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=440&chapter_id=c047","爱的圣弟子：","我们要确确实实的受“四灌顶”。","","四重次第的灌顶：","一、宝瓶灌顶－－五蕴即是五方佛。","二、秘密灌顶－－密咒及气、脉、明点。","三、无上密灌顶－－大乐中的空性(乐空不二)。","四、大圆满灌顶－－眞如智慧的完全证悟。","","而我的灌顶师正是：","十六世大宝法王“噶玛巴”。","萨迦证空上师“德松仁波切”。","了鸣和尙。","吐登达尔吉上师。","","灌顶的地点是：","美国纽约上州。","美国西雅图萨迦寺。","台湾集集大山。","香港净音佛阁。","","我最最重要的胜义口诀是：","我见证到了“实相”，也就是“眞如”，这是无法用语言及文字可以解释的，因为它超越了所有的“概念”。","","但，我可以权宜的述一述：","是一元的。","是绝对的。","我常常用“虚空”来表征，或是用“这个”、“如此这般”、“就是这样”、“法尔本然”。","“法性”及“空性”。","恒在的。","没有分别的。","人人都具足的。","不是修来的。(因为它本来就存在)","","藏人上师喜欢如此比喻：","例如“蜂蜜”，我们可以形容它，可以分析它，也可以描述它，让我们对“蜂蜜”有一种概念。然而，永远不如直接去品尝，这是直接的滋味。","","“法性眞如”也是一样的，你要亲自去看，亲自去听，亲自去尝，亲自去体会，才能明明白白、清清楚楚。","","我常用“虚空”为胜义的解释，一切的一切都是“水中月”、“镜中花”。法性眞如本来就虚空一般，如同无云晴空。","自本初以来即是“空空”。","而“烦恼”及“习气”，就如同“虚空”中的“云”或者是“雾”。","用“佛法工具”把它扫除。","“虚空”就显现了出来。","","所谓的八万四千法门，也只是工具而已，种种法门全是扫除“烦恼”、“习气”、“业”的工具。任何法门全是活用的，并非一成不变的，而且也并不是目标。","","要知道，这宇宙上下，只有一样不变，这不变异的是：","“法性”。","“眞如”。","“空性”。","亲","“实相”。","","其他都是“一合相”，什么是“一合相”？释迦牟尼佛说，人身是地、水、火、风、空的“一合相”。房子是木石钢铁水玻璃的“一合相”。车子是钢铁塑胶机械的“一合相”。","“一合相”全部是没有“自性”的。","只有“空性”、“法性”、“眞如”……，才是永远不变易的。","例如人的“身”及“心”，都会变异，而且非常无常。","这些必须去体会。","我们从这些得到了觉醒及觉悟！","","一切器世界，全是“一合相”。","",""
"048 卢胜彦的胜义口诀之四","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=440&chapter_id=c048","爱的圣弟子：","以前我的上师曾告诉我：","要达到至高的成就秘密境域，有一条水流湍急的大河，而这条河是任何人均无法摆渡过河的，如同“弱水”，连一根羽毛也无法乘载。","","在河边有一棵巨大无比的高树，这棵树的高度，刚好是大河的宽度。","但是，任何刀剑及斧钺均无法砍下它，如果能砍下，就可以跨在河上而渡河了。","然而，行者若有一把水晶玻璃的刀，就能够砍下这棵巨树。","巨树跨在河上，行者就可以到达至高成就的秘密国度。","","这是一个象征比喻：","无人可以横越的河－－轮回。","巨树－－我执。","水晶玻璃刀－－智慧。","这个比喻是，轮回之河是一般人无法横渡的，因为一般性的刀剑及斧钺，绝对是砍不了世俗凡夫的我执之树。","除了无上智慧的水晶玻璃剑，才能砍掉“我执”之树了。","这无上智慧的刀(水晶玻璃剑)象征着了悟空性的清净，如水晶玻璃。","","我说：","这了悟空性的清净，是为觉醒的心，觉醒的心，就是开悟。","","在禅宗常常隐喻成：","一、无缝塔。","二、无弦琴。","三、黑漆桶。","四、无根树。","五、拖死尸者。","等等等等等。","","我了悟了：","自空派－－这是特别指出“诸法空性的本质”，以分别“将一切事物均视为实际的有”，执为实有，便是执着。","他空派－－这是特别指出“光明性”及“如来藏”，不要落入空空如也的顽空之中。","","我的口诀是：","自空是佛性的本质，他空是佛性的作用，如此如此，这般这般。","前者是“中观”。","后者是“唯识”。","我告诉圣弟子，经过我对于自心的经验及领悟，这简直是太美妙了。天啊！我现在已经完全无所谓了，也一点恐惧也没有。","","我告诉大家：","我们的居所、人物、寿命、环境、时间、空间、作为、念头……。","均是变异的。","也不能持久。","但，法性眞如是永恒不变的。","","由此可知：","无我相。","无人相。","无众生相。","无寿者相。","","我们修持金刚乘的至要关键，仍然是为了“明心见性”的开悟，修行之路仍然是有变化的，而到达的圣域是不变的。这不变的是：","亲","虚空。","明觉。","","","","","","","","","",""
