"chaptername","chaptername href","chapterbody","chapterbody 2","chapterbody 3","chapterbody 4","chapterbody 5","chapterbody 7","chapterbody 8","chapterbody 9","chapterbody 10","chapterbody 11","chapterbody 12","chapterbody 13","chapterbody 14","chapterbody 15","chapterbody 16","chapterbody 17","chapterbody 18","chapterbody 19","chapterbody 20","chapterbody 21","chapterbody 22","chapterbody 23","chapterbody 24","chapterbody 25","chapterbody 26","chapterbody 27","chapterbody 28","chapterbody 29","chapterbody 30","chapterbody 31","chapterbody 32","chapterbody 33","chapterbody 34","chapterbody 35","chapterbody 36","chapterbody 37","chapterbody 38","chapterbody 39","chapterbody 40","chapterbody 41","chapterbody 42","chapterbody 43","chapterbody 44","chapterbody 45","chapterbody 46","chapterbody 47","chapterbody 48","chapterbody 49","chapterbody 50","chapterbody 51","chapterbody 52","chapterbody 53","chapterbody 54","chapterbody 55","chapterbody 56","firstcharacter","chapterbody 57","chapterbody 58","chapterbody 59","chapterbody 60","chapterbody 61","chapterbody 62","chapterbody 63","chapterbody 66","chapterbody 67","chapterbody 68"
"040 Descent of Taoist Spiritual Master Ziyang Zhenren","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=1000016&chapter_id=c040","ne day, while meditating, my hands automatically formed the “Hook Invocation Mudra” and the “Holy Sage Mudra.”","","A celestial being suddenly descended from the empty space and glided before me, and I asked in great joy, “Holy sage, who are you?”","","He replied, “I am Ziyang Zhenren (True Man of Purple Yang).”","I asked, “Does the holy sage know of the inner fire practice?”","","Ziyang Zhenren replied,","“It is the natural true fire inside one’s body. By practicing tu-na (inhalation and exhalation) diligently daily, the fire grows redder in the hearth and becomes as marvelous as the divine serpent.”","","I asked, “Does the holy sage know about Madhyamaka (the Middle Way)?”","","Ziyang Zhenren replied, “This school is most holy and divine. It recognizes equanimity without an iota of discrimination. Regardless of what buddha or bodhisattva one is, it just happens coincidentally after all.”","","I asked, “Does the holy sage know of the Divine Water Practice?”","","Ziyang Zhenren replied, “This is the ultimate treasure of humans. As the divine water sways in the splendid pool and merges with the inner fire, all magical and subtle dramas manifest.”","","I asked, “Does the holy sage know about non-leakage?”","","Ziyang Zhenren replied, “What is so wonderful about this method is that it redirects seed energy, but be cautious not to waste it. It is a method not to be taken lightly. Once you achieve this, everything else can be put to rest.”","","I asked, “Does the holy sage know about the importance of abiding in precepts?”","","Ziyang Zhenren replied, “I have practiced eight hundred virtuous deeds and accumulated three thousand meritorious deeds unbeknownst to others. I helped people resolve attachments and enmities. These were the vows I carried out to achieve accomplishment.”","","I asked, “Does the holy sage understand Zen?”","","Ziyang Zhenren replied, “This school fathoms truth through insight into the nature of mind. There exist infinite permutations of manifestations of the source, and a return to the source is ineffable. Great miraculous powers develop when one returns to one’s source.”","","I asked, “How does one subjugate troubles?”","","Ziyang Zhenren replied, “There is no need to subjugate troubles. True knowledge cannot be obtained forcefully. There is neither antecedence nor posterity, and at the instance of understanding this, one attains Buddhahood.”","","I asked, “What is non-meditation?”","","Ziyang Zhenren replied, “After realization, there is automatically non-meditation. Form and emptiness, light and darkness, they are the same. Does the duality of truth and falsehood truly exist? From ancient India to Caoxi (the mountain name of Huineng), the dharma propagates and flourishes.”","","I asked, “How can one abide in neither good nor evil?”","","Ziyang Zhenren replied, “Wear nothing on your mind! This mind is empty and nameless. Rest in the flow and let everything be spontaneously accomplished. Follow your nature, eat when hungry and drink when thirsty.”","","I asked, “What is Endurance in the Realization that Dharmas have No Birth?”","","Ziyang Zhenren replied, “Karmic cause and effect exists in the human and deva realms. When causes and conditions are exhausted, one returns to the source. All love and hatred are merely plays, dreams, and smoke.”","","I said, “What you have said, I also know.”","","Ziyang Zhenren said, “You know, I know, yet others do not know.” Ha ha ha!","","Ziyang Zhenren laughed aloud as he took off.","","","Garab Dorje wrote down the Dzogchen teachings in verses.","","O","●","","","","","Sheng-yen Lu","","","",""
"041 Garab Dorje - the First Human Guru in the Dzogchen Lineage","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=1000016&chapter_id=c041","s far as I know, the origin of Garab Dorje is as follows:","To pass one barrier after another towards the goal of True Mind,","A hundred years after the Buddha entered nirvana, Garab Dorje was born into the human world.","Sheng-yen Lu","Before his incarnation, Garab Dorje was Semlhag Chen, one of the five hundred devas in the Trayastrimsa Heaven, whose father was the deva Sang Jiong. While still in the deva realm, Semlhag Chen attained accomplishment in Dzogchen practice.","Garab Dorje’s mother was a nun who was also the daughter of the King of Uddiyana.","","This nun had a dream:","","A man whose body was full of light entered into her womb.","","The Five Dhyani Buddhas used a treasure vase to give her empowerment three times.","","Through the immaculate conception, the princess nun became pregnant and later gave birth to Garab Dorje.","","Ashamed, the nun threw the new born child into an ash pit. Three days later, when she went back to see the baby, he was still alive. She realized that he was an incarnation of a holy being and took him back to raise him.","","At the age of seven, Garab Dorje debated with five hundred panditas (Buddhist teachers who were skilled in the five sciences) and won, bringing great surprise to these men of great knowledge.","","Then Garab Dorje went to the Sun Light Mountain to meditate in retreat until thirty-two years old.","","Vajrapani appeared to Garab Dorje to give him empowerment, allowing him to recover the memories of Dzogchen practices from his former life. In an instant, he achieved supreme perfect enlightenment.","","Garab Dorje wrote down the Dzogchen teachings in verses.","","Then he journeyed to the Sitavana cremation ground to teach the Dzogchen practices to many practitioners.","","Manjushrimitra came to the cemetery and spent seventy-five years following Garab Dorje as his disciple and studying the most important Nyingthig (the Innermost Essence).","","Finally, Garab Dorje, amidst the trembling of ground and shining of light, transformed his body into a rainbow and merged into the all-encompassing space.","","Here are the focal points of Garab Dorje’s life:","","1. His life was linked to his former life.","2. The first human guru of Dzogchen lineage.","3. He was born through the immaculate conception.","4. He was very eloquent in debates.","5. Vajrapani opened his past life memories.","6. He attained the fruition of Buddhahood in an instant.","7. He taught in a cremation ground.","8. He transmitted his teachings to Manjushrimitra.","","●","","The panditas gave Garab Dorje the name Prajnabhava after he won the debate. His original Sanskrit name was Prahevajra.","","I wrote the following verses for Garab Dorje:","","(1)","","Descending into the human world after attaining enlightenment in heaven,","Why enter quiescence and transform into smoke?","Helping others as well as oneself is divine.","","(2)","A","But to surrender to the flow and help those who can be helped,","To end desires and attain No-birth require zeal and diligence,","This path is also formless,","","●","","A mani-pearl true sutra without words.","","",""
"042 The Manjushrimitra I Know","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=1000016&chapter_id=c042","anjushrimitra was born into a wealthy Brahmin family and he loved studying the Buddhadharma from childhood.","Abiding in the mind, fire rises naturally,","He had studied under the five hundred panditas and learned the “eight stages of Buddhadharma”","I prayed to Golden Mother of Jade Pond to bless my grandson and granddaughter.","One day, Manjushri Bodhisattva appeared to him and said, “You have learned the eight stages of Buddhadharma. Yet there is still one vehicle you have not learned.”","Manjushrimitra replied, “I am already a great pandita who has learned everything about Buddhadharma. How can there be something that I do not know?”","","Manjushri said, “Only Garab Dorje has learned all stages, so you have to learn from him.”","","Manjushrimitra said, “I refuse to believe that. I will challenge him!”","","Thus--","","At the Sitavana cremation ground, a debate took place. Unexpectedly Garab Dorje defeated Manjushrimitra.","","Manjushrimitra was ashamed and wanted to find a knife to slice off his own tongue as an apology to Garab Dorje.","","Garab Dorje said, “Cutting the tongue has no benefit but to increase your own karmic defilement. Instead of harming your wonderful buddha body, why don’t you gather all the Buddhadharma into a collection to benefit all beings.”","","Manjushrimitra then became a disciple of Garab Dorje and followed him for seventy-five years.","","One day, Garab Dorje transformed into the rainbow body to enter nirvana, and Manjushrimitra urgently supplicated to his guru for the Innermost Essence teaching.","","Garab Dorje tossed down from the empty space “The Three Statements that Strike the Essential Points” which hit Manjushrimitra upon the head. From then on, Manjushrimitra attained perfect enlightenment.","","Afterwards, Manjushrimitra sorted out Garab Dorje’s sixty-four hundred thousand Dzogchen verses into three series:","","The Mind Series - the methods of recognizing the nature of one’s own mind.","","The Space Series - the methods that enable a practitioner to remove doubts concerning the natural state.","","The Instruction Series - the methods of pith-instructions.","","Finally, Manjushrimitra went to the Sosaling cremation ground to the west of Bodhgaya. He taught there for one hundred and nine years. And he transmitted the entire teaching of Dzogchen to his disciple Shri Singha.","","Here I will tell everyone:","","Just like Garab Dorje, Manjushrimitra transformed into a body of rainbow lights and ascended into heaven.","","That was not the end of it.","","In order to help Padmasambhava, Manjushrimitra later incarnated into West India and was born inside a lotus, therefore a padmakumara. People referred to him as the “Latter Manjushrimitra” who taught dharma to Padmasambhava.","","Thus:","","A padmakumara transmitted the dharma teaching to another padmakumara.","","Here are some verses I wrote for Manjushrimitra:","","Not descending from the sky,","Nor from a heavenly abode,","The essence of humans and buddhas are the same,","","Humans and buddhas are connected,","No matter how one manifests,","M","The sun also rises from the east.","","Practicing diligently, water descends naturally.","Radiating light,","Exquisitely.","Practices give rise to the same accomplishment.","Inside the lotus is the Innate Essence,","","",""
"043 My Granddaughter Lu Jun","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=1000016&chapter_id=c043","hen I returned to Seattle, as soon as I stepped into the airport and saw Lu Hong and Lu Jun there to greet me, I gave my two grandchildren a big hug.","●","Both grandson and granddaughter called out, “Ah Gong! Ah Gong!”","","Who is to say that when one becomes a monk, one will no longer have family? One still loves and cherishes one’s own grandchildren.","This is because after all, grandparents love their grandsons and granddaughters most.","","When I looked at Lu Hong who was still so small in stature, I wished him to grow bigger and taller soon.","","When I looked at Lu Jun, I was shocked!","","It turned out that Lu Jun had developed rashes on her entire body. She had been a lovely girl with fine, fair skin and rosy cheeks before, but now her entire body was covered with red, dry patches. Her head, face, hands, legs, back, and chest were speckled.","","It is said that many Asian children born in the west develop this kind of skin allergy. Some outgrow it when they are older and some will not.","I had not expected Lu Jun’s skin allergies to be this severe. A once lovely face was now covered with pockmarks.","","Had she seen any doctors? Yes!","","Doctors prescribed her antibiotics and steroids which had side effects with prolonged use.","","Doctors instructed her to avoid hot water when bathing.","","Doctors instructed her to take fewer baths to avoid drying out her skin.","","Doctors instructed her to wear special clothing at night to prevent scratching her itchy skin during sleep which would lead to broken skin and infections, further aggravating the condition.","","(Regarding fewer baths, this is because baths cause the skin to become dry. People with skin allergies living in the continental climate zones need to apply moisturizing lotions.)","","Lu Jun has seen many doctors but her skin has not healed. It was indeed terrible.","","Also the doctors dictated what she could and could not eat. With a restricted diet, Lu Jun’s face became slim and long. When I saw her, I was distressed and felt badly for her!","","Lu Hong and Lu Jun stayed overnight at our house one evening. Taking advantage of this opportunity, I asked both of them to come and kneel before the shrine. I placed my hand on Lu Hong and Lu Jun to give them a mo-ding.","","I prayed:","","Lu Hong - quickly grow taller and bigger! Lu Jun’s skin - quickly get better!","","I prayed to Golden Mother of Jade Pond to bless my grandson and granddaughter.","","The two of them obediently joined their palms in a presentable manner.","","I also used the Four Vertical-Five Horizontal Seal to empower a cup of Golden Mother of Jade Pond holy water to give to Lu Jun to drink.","","A week later, a miracle happened!","","The red patches on her face disappeared, and the red patches on her neck disappeared. The red patches on her entire body also faded. What remained were only traces of the red swellings.","","It will take some time before the traces of erythema become completely invisible.","","This was already a very good result!","","","I prayed to Golden Mother of Jade Pond:","","W","On Sunday, June 16th 2013, which was Father’s Day, Lu Jun wrote on the card for her grandfather, “Thank you Ah Gong for blessing me! Thank you Golden Mother!”","","","","Sheng-yen Lu","May the dharma power flow through my hands and instill itself into the body-mind of all my disciples, so they will have good health, joy, and success in cultivation!","Pain that had been present for fifteen years disappeared and he was cured after the acupuncture treatment.","","",""
"044 Acupuncture in a Dream","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=1000016&chapter_id=c044","harma brother Hong, a student from Edmonton, Canada, came with his wife to the Ling Shen Ching Tze Temple in Redmond to see me.","","He had had back pain for fifteen years and seen numerous Chinese and Western medical doctors who provided temporary relief but were unable to cure him.","","He read in books that years ago Grand Master Lu had suffered a brain splitting syndrome which resulted in the four great elements in his body scattering. To cure this illness, Grand Master Lu flew from Taiwan to Korea to visit the many large and small temples and Buddhist pagodas there to make prostrations and circumambulations.","Grand Master Lu circumambulated the Many Jewels Buddha Pagoda.","","He made prostrations to the Vaidurya Light Medicine Buddha, a large Buddha statue.","","He paid homage to the Sunlight Bodhisattva, Moonlight Bodhisattva, Medicine King Bodhisattva, Medicine Supreme Bodhisattva, and the twelve Yaksha Generals….","","On his return trip to Seoul, Grand Master saw the Medicine Buddha and his retinue appearing and he was greatly moved, knowing that his brain splitting syndrome and the scattering of his four great elements would definitely be cured.","","Later, Grand Master indeed recovered from his illness!","","Hence, dharma brother Hong felt that there were great merits in paying homage to buddhas in temples and circumambulations around stupas and pagodas.","","Dharma brother Hong flew from Canada to Japan. He also wanted to emulate Grand Master Lu by visiting the many temples and pagodas in Japan, making prostrations and circumambulations.","","Similarly he made prostrations at a Medicine Buddha Hall in a temple.","","That night, he dreamt of Grand Master Lu descending slowly from the sky and inserting needles in his back.","","His entire back was covered with acupuncture needles. Then Grand Master Lu pulled out the needles one by one.","","The next day when he woke up, his back hurt just the same. He did not get well right away.","","But, the pain diminished day by day.","","Several days later, the back pain was completely gone!","","Pain that had been present for fifteen years disappeared and he was cured after the acupuncture treatment.","","This was a miracle!","","Dharma brother Hong believed that Grand Master Lu had used the method of acupuncture to heal him!","","I would like to explain here:","","I am neither a traditional Chinese doctor nor an acupuncturist, and I do not know anything about acupuncture.","","Licensure to practice traditional Chinese medicine requires passing an examination.","","Practicing acupuncture also requires one to pass an examination.","","Both require licensure and are not to be attempted recklessly. But, in the dream state, where bizarre things happen, one can practice acupuncture without a license.","","Also, why was Grand Master Lu, who does not know acupuncture, able to insert needles to treat someone in a dream?","","The answer is very simple. I say:","","As long as I am in the heavenly realm, when the three heavenly beings - Sun Virtue Exalted One, Moon Virtue Exalted One, and the Heavenly Medicine Exalted One - merge with Grand Master Lu, I become a holy heavenly healer and can naturally apply acupuncture treatment to dharma brother Hong’s back.","But, I could only insert thousands of acupuncture needles in dreams. It is not illegal to do that in dreams.","","(Hahaha!)","D","","People generally find these events or miracles very mysterious and inconceivable. In fact, these events are not dreams but reality.","●","He happened to run into me, and he asked me to give him a mo-ding blessing.","","","","Sheng-yen Lu","",""
"045 A Master Bonesetter","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=1000016&chapter_id=c045","n elderly student was getting out of bed abruptly one morning, and his legs suddenly gave way and he fell flat on the floor.","The doctor asked, “Who set this for you?”","As he fell, he reflexively stretched out his arms to protect himself, and “ka-cha” a bone cracked. He cried out loudly in pain.","Sheng-yen Lu","His family came quickly and called an ambulance to take him to the hospital.","The doctor said, “You have sustained a fracture. Other than that, everything else is fine.”","","After moving pieces of the bone back into their correct position, the doctor then put a cast around his arm which was stretched upward, as if he were greeting someone.","","The doctor said, “When the cast is removed, you will be healed!” The doctor said, “Elderly people should stay in bed for several minutes after waking up, waiting until they are fully awake before getting out of bed.”","","The elderly may not be completely alert when they first wake up in the morning. If they get out of bed too abruptly, they may lose control of their legs and easily fall.","","Situations where falls can happen include:","","Getting out of bed,","Missing a step,","Slipping in the bathroom.","The doctors advised him:","","Get out of bed slowly. It is fine to stay in bed if you do not feel like getting out of bed right away.","","When walking, pay attention to where there are steps.","","When climbing stairs, grasp the handrail and take note of the steps and be sure to look where your foot will land especially the last step. Do not engage in conversations or greetings when climbing up or down stairs. It is easy to fall when distracted.","","Bathrooms can be hazardous locations for injuries because floors may be wet.","","One is prone to falling when climbing in and out of bathtubs. Soapsuds are slippery.","","Also, avoid walking on mossy ground or rocks covered in moss or stepping across ditches etc….","","After placement of the cast, the elderly student’s arm continued to hurt badly. In fact, the pain got worse day by day.","","He went back to the hospital to get an X-ray and it was discovered that his bones had not been set correctly. There was a slight misalignment. Also, there was a small piece of broken bone that had not set during the first reduction.","","The doctor said, “We must remove the cast and reset the bones.”","","Before going to the hospital again, the elderly student came to the Lei Tsang Temple to pray that the procedure would be smooth and successful.","","He happened to run into me, and he asked me to give him a mo-ding blessing.","","I laid my right hand on his right hand, and I also touched his cast while chanting a mantra.","","That night, Grand Master Lu appeared to the elderly student in a dream.","","Grand Master Lu said, “Let me set your bones for you.”","","Grand Master Lu grabbed the arm of the elderly student and, as if he were playing with it, he rotated it like a gyroscope. Then there was a sound of “ka-cha,” and the bone seemed to have been reset.","","During the dream, the arm did not hurt. It was very strange.","","","This time the orthopedic doctor opened his eyes widely in great surprise.","","A","The elderly student went at the appointed time to the hospital to have the cast removed. Before the adjustment, another X-ray was taken.","","","","●","“The bone is set properly, and the small piece of fractured bone has also gone!”","The elderly student said, “Grand Master Lu.”","","",""
"046 Forgetfulness","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=1000016&chapter_id=c046","ere is a joke:","This time it was different. She dreamt of the “eight waters of merit” cleansing her brain, and also many copies of sutras, tantras, and treatises being installed into her brain, as well as me placing all my written books into her mind.","A man suffering from forgetfulness went to see a specialist.","She has supreme memory and can recall everything she reads now!","The doctor asked, “What kind of things do you forget?”","The patient replied, “Every time I buy something I forget to pay.”","","The doctor immediately called out to the nurse, “Come quickly. Ask him to pay his medical fees first!”","","The doctor then asked, “What else do you forget?”","","The patient replied, “Here and there, I forget everything. Doctor, how do you treat this?”","","The doctor replied, “The best method to treat forgetfulness is to forget that you have a problem.”","","I have here one example:","","A middle aged female student suffered from forgetfulness.","","She forgot to take her medicine.","She forgot to close the door.","She forgot her glasses.","She forgot to turn off the stove. She forgot her purse.","She forgot her umbrella.","She forgot the numbers to the safe.","Etc….","","She studied Buddhism and had read many scriptures. But, it was as if she had never studied or read at all. As soon as she finished reading, she forgot everything and could not recall even one sentence. This brought her great pain.","","She forgot how to chant mantras.","She forgot how to form mudras.","She forgot how to perform visualization.","She forgot almost all steps in the liturgy.","","When attending dharma teachings, she was present and heard the teaching at the time but soon after, it was all forgotten.","","If you asked her, “What did Grand Master talk about yesterday?”","","She would reply, “I have completely forgotten. My mind is blank.”","","Later, she asked me to give her a mo-ding. I complied and gave her mo-ding many times, but she was still forgetful.","","I drew a talisman for her, but she continued to be forgetful.","","I energized water for her to drink, but it was futile.","","She chanted the Akasagarbha Memory Improvement Mantra syllable by syllable and day after day, to no avail.","","I was also at my wit’s end, becoming almost neurotic and blank in my mind.","","One day the Venerable Ananda descended without any invocation.","","","The Venerable Ananda said to me, “Visualize me residing above your crown when you bless her.”","","H","I suddenly had an inspiration. The Venerable Ananda is known for his extraordinary memory. Since Ananda does not forget anything he has heard, he must have a solution.","","","","Heavens!","I gave this student another mo-ding.","The past, present, and future all emerged one by one.","","",""
"047 I Swallowed Three Eggs","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=1000016&chapter_id=c047","ne night, in a dream, I saw three students kowtowing to me. Immediately afterwards, each offered me a soft boiled egg.","","I asked, “Why are these eggs so strange, without any egg shells?” The three students said, “These eggs are without egg shells.”","","I asked, “How did you get them?”","The three replied, “We have no idea, but they have grown inside us.”","","I swallowed the three eggs.","","Then I woke up from this strange dream.","","The next day, three students indeed traveled from a country far away seeking mo-ding.","","I asked, “What is the matter?”","","The three students said, “We each have a tumor in our intestines. The doctors wanted to perform surgeries on us. We have come especially to request a mo-ding, and we will then travel back home to have the surgery and have the three tumors resected.”","","I said, “You are all fine now!”","","The three asked, “Why are we all fine now?”","","I replied, “Last night I dreamt I’d swallowed three eggs. I believe the eggs I swallowed were your tumors. If you do not believe this, go back to the hospital for an examination. If your tumors are indeed gone, they have been eaten by me!”","","“Is this true?”","","“It is true.”","","Later those three students went for a check-up and discovered that the cancerous intestinal tumors had indeed disappeared!","","Someone asked, “Three tumors have suddenly vanished. By swallowing the three eggs, won’t Grand Master Lu be taking over their karma? Will three tumors grow in Grand Master Lu’s intestines now?”","","I replied, “It won’t harm me.”","","“Why?”","","I replied, “I chewed those three eggs before swallowing them. They have been digested and eliminated from my body.”","","It was a very strange thing. Those three eggs turned out to be three tumors.","","●","","In another incident, I dreamt I was gnawing on some bark.","","It was very rough bark. But, I managed to bite and chew off the bark of an entire tree.","","When I woke up, I realized it was another strange dream.","","I saw a student who sought me out for mo-ding. He lifted up his shirt and trousers to show me his skin.","","Oh heavens!","","His skin was mottled with speckles, even the area covered by his trousers. There was not a spot of normal skin.","I said to him, “You will be healed!”","","He replied, “I have had this for thirty years, and I have tried all kinds of medicines. Is it possible for me to get well?”","O","","I said, “You will heal in three days.”","Indeed, three days later, without taking any medicine, he became well. This was because Grand Master Lu had eaten his skin affliction.","●","","","","“If you are sick or have pain, you have to see the doctor first. You should do that before coming to ask me for a blessing!”","Sheng-yen Lu",""
"048 My Hands Can Relieve Pains","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=1000016&chapter_id=c048","ase No.1","","Chen Chuanfang came to the Rainbow Temple to attend a fire offering ceremony. Her knees hurt so badly that it was hard for her to walk.","","She sought Grand Master Lu for a blessing. I tapped my hand upon her two kneecaps. Her knees stopped hurting.","A month later, she came again to Seattle for a dharma ceremony. She said, “My knees had hurt for many years. But after Grand Master tapped them, the pain disappeared.”","","She said, “Grand Master Lu’s hands are pain killers!”","","Case No. 2","","The elder sister of Reverend Lily came to attend the group practice of Amitayus Sadhana on the day of my birthday.","","Suddenly her back and two knees began to spasm. It was so painful that she had to squat and could not get up.","","She was going to call a taxi to take her home to rest. Reverend Lily saw this and asked me to give her a blessing.","","I tapped my hand once on her back and once on each kneecap. Before the Amitayus Sadhana group practice started, her back pain was gone, and the pain in her knees was also gone. She suddenly was able to stay behind to participate in the group practice.","","She said, “Grand Master Lu’s hands are pain killers!”","","Case No. 3","","Mr. Yan Cheng woke up one day with a stiff neck. His neck hurt badly and he could not even turn it.","","He tried the Salonpas pain relieving patch to no avail. He tried the Tibetan pain relieving patch to no avail.","","He took analgesics and anti-inflammatory pills to no avail.","","A month later, the neck was still hurting and he had also developed a rash due to sensitivity to the medicine patches.","","Mr. Yan Cheng came to the Lei Tsang Temple to ask me for a blessing. I used my hand to tap his neck.","","Two days later, the pain was completely gone. Even the red rash was gone.","","Mr. Yan Cheng said, “Grand Master Lu’s hands are pain killers!”","","Case No. 4","","A Mr. Jing Xiong traveled from afar to Seattle. He developed a tooth ache while on the airplane.","","As soon as he got off the plane he went to the hospital for an examination. It turned out that he had gum inflammation.","","Half of his face was swollen, and he cried out in pain. After taking pain killers and anti-inflammatory pills given by the doctor, he did not get well right away. He came to ask me to give him a blessing.","","I tapped once on each cheek. A miracle happened.","","The inflammation stopped immediately, and the pain was gone! Mr. Jing Xiong said, “Grand Master Lu’s hands are pain killers!”","","Case No. 5","","A woman by the name of Mei Qi developed a sharp pain in her chest before a dharma ceremony at the Rainbow Temple. Her face turned ashen and she broke out in a cold sweat. She sought me to bless her.","I formed the Sword Finger Mudra and pointed it at her heart area from a distance. Energy was discharged into her heart for just a moment.","","Her face turned rosy and she stopped perspiring. The sharp pain was also gone.","C","","She said, “Grand Master Lu’s hands are pain killers!”","I said, “If you are sick or have pain, you have to see the doctor first. You should do that before coming to ask me for a blessing!”","●","","","","I do not worry about how much more I can write, because to live is to continue writing.","Sheng-yen Lu",""
"049 The Kalachakra Precepts","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=1000016&chapter_id=c049","n 2000, during the Kalachakra Dharma Ceremony in Hong Kong, Master Lianhan gave a discourse on the Kalachakra precepts.","Making comments that cause someone with faith to lose faith.","At the Kalachakra Dharma Ceremony in London (June 23, 2013), I re-stated the Kalachakra precepts.","Avoid diatribes and evil actions.","1. Refrain from fourteen actions which constitute a root downfall:","Having contempt for the precepts.","Scorning or deriding the Root Guru.","Faulting our vajra brothers and sisters.","Giving up love for sentient beings.","Giving up bodhicitta, both bodhicitta in aspiration and bodhicitta in action.","Slandering scriptures.","Slandering mantras.","Revealing confidential teachings to those who are unripe.","Abusing our five aggregates.","Rejecting voidness.","Being friends with malevolent people.","Deterring the faith of practitioners.","Not keeping our own vows.","Deriding women.","","2. Observe the eighteen root bodhisattva vows and avoid doing the following:","","Praising oneself or belittling others.","Not teaching the Dharma or giving material aid.","Not forgiving those who repent.","Abandoning the Mahayana.","Stealing things belonging to the Buddha, Dharma, and Sangha. Abandoning the Buddhadharma.","Stealing the robes of ordained ones.","Committing any of the five extremely unpardonable sins.","Holding distorted views.","Destroying instead of repairing.","Explaining emptiness to those who are not prepared for this understanding.","Turning people away from the path towards enlightenment","Causing others to abandon the precepts.","Deriding the Hinayana.","Falsely claiming that one has realized profound emptiness.","Accepting ill-gotten money or gifts.","Deriding disciplinary rules.","Abandoning the vows to benefit others.","","3. Observe the twenty-five codes of conduct:","","Avoid the five destructive actions of: killing, stealing, sexual misconduct, false speech, and taking intoxicants.","","Avoid the five auxiliary destructive actions of: gambling, earning profits by misconduct, reading books and graphics that spread heresy, worshipping ancestors or ghosts and spirits using the method of sacrificing a life, and consumption of impure meat.","","Avoid the five types of murder: killing men, killing women, killing children, killing cattle, and destroying representations of Buddha’s body, speech, or mind (such as temples, stupas, and statues).","","Avoid the five types of negative actions: harming a buddha or teacher, harming members of the sangha, harming family and friends, harming a leader or host, and harming those who trust us.","","Avoid the five longings of: sights, sounds, fragrances, tastes, and tactile sensations (eyes craving beauty, ears craving melodious sounds, nose craving nice fragrances, tongue craving good taste, and body craving sensual pleasures).","","","Employing unqualified mudras.","Not seeking the means to develop “concentration.”","I","4. Guard oneself from the following coarse sins:","Creating disputes during dharma ceremonies.","Staying seven days at the house of a Hinayana practitioner.","Explaining Tantrayana to people who do not believe in the Buddhadharma.","During practice, one fails to attain or approach attaining “merging with deity.”","Teaching Highest Yoga Tantra to those who are not the right vessels.","Posing oneself as a yogin who practices qi.","","","Praise women."
