"chaptername","chaptername href","chapterbody","chapterbody 2","chapterbody 3","chapterbody 4","chapterbody 5","chapterbody 6","chapterbody 7","chapterbody 8","chapterbody 9","chapterbody 10","chapterbody 11","chapterbody 12","chapterbody 13","chapterbody 14","chapterbody 15","chapterbody 16","chapterbody 17","chapterbody 18","chapterbody 19","chapterbody 20","chapterbody 21","chapterbody 22","chapterbody 23","chapterbody 24","chapterbody 25","chapterbody 26","chapterbody 27","chapterbody 28","chapterbody 29","chapterbody 30","chapterbody 31","chapterbody 32","chapterbody 33","chapterbody 34","chapterbody 35","chapterbody 36","chapterbody 37","chapterbody 38","chapterbody 39","chapterbody 40","chapterbody 41","chapterbody 42","chapterbody 43","chapterbody 44","chapterbody 45","chapterbody 46","chapterbody 47","chapterbody 48","chapterbody 49","chapterbody 50","firstcharacter","chapterbody 51","chapterbody 52","chapterbody 53","chapterbody 54","chapterbody 55","chapterbody 56","chapterbody 57","chapterbody 58","chapterbody 59","chapterbody 60","chapterbody 61","chapterbody 62"
"040 止与观","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=1000314&chapter_id=c040","人问卢师尊：","「什么是止？如何止？」","我答：","身止——跏趺坐。","语止——静默。","意止——于过去，不思忆。于未来，不思将作。于现在，不作分别，心无缘平等性。","行者修止，第一口诀；专心一致。","如果杂念纷起怎办？","一、注视一物，这是「有依止」。","例如：","点一支香，注视香头的红色火光，将杂念止住，相续不断。","或观想本尊、法器、咒字…………。","这是训练止的方法。","二、无依止。","自然而住。","观自性。","一般来说，在训练止的时候，有两种现象会发生。","一种是「掉举」，妄念纷飞，完全止不了。此时要放松身心，眼下视，以休息的姿态，进入身心自然。","一种是「昏沉」，很多人修止，竟然睡着了，而且打呼，此时，身挺直，眼向上看，提起精神，振作些。","修止口诀：","气平心亦平。","气乱心亦乱。","所以修气修到气自然，心也就安定了，「心不散乱」就是成就相。","","●","","有人问卢师尊：","「什么是观？如何修？」","我答：","观是一种智慧。由智慧中去了解，眼、耳、鼻、舌、身、意，到一切法，全无自性。","我非我。","念非念。","一切诸法，非实有。","如梦如幻，连梦幻亦是假名，实不可得也。","想想人的一生。","生老病死，百年大梦。","一切无所得。","于是：","无胜劣。","无分别。","无执着。","任运坦然而住。","认定，这娑婆世界只是一场游戏，幻人幻境幻事幻物。","过去的不可得。","现在的不可得。","未来的不可得。","由于如此的观察，密教行者不执着一切，可以宽坦而住了。","我认为：","观空义。","明空义。","有","空性义。","也就是身体空、语言空、意念空，这是大空之相。","","","","","","","","若有升起妄念时，以「呸！」的一字，把妄念遗除之。","",""
"041 莲生活佛卢胜彦的法语(一)","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=1000314&chapter_id=c041","：","「卢师尊，你的真佛宗未来趋势如何？」","答：","「我不思现在，我不思未来，没有什么趋势不趋势。」","问：","「你写解脱道口诀，真正的口诀是什么？」","答：","「解脱只是个假名，知道不必解脱，才是真实解脱。」","问：","「我们不明白？」","答：","「因为一切法皆幻。」","问：","「我们觉得处处受束缚，你怎么说，一切法皆幻？」","答：","「束缚的是你自己束缚自己，因为你有贪念才受束缚，若无贪念，何受束缚？明白无所得，则无束缚。」","问：","「谁是大善知识？」","答：","「卢师尊。」","问：","「这不是自我吹嘘吗？」","答：","「非也！只要到达一切澄明的境界者，皆可称卢师尊。卢师尊不是一个人，例如：毘卢遮那佛是卢师尊，佛眼佛母是卢师尊，阿弥陀佛是卢师尊，莲花童子是卢师尊。………………」","问：","「这是什么理论？」","答：","「胜义理论，因为没有卢师尊，才变成全部是卢师尊。」","问：","「对卢师尊恭敬信仰重要吗？」","答：","「我们对卢师尊道心坚固，才可以上师相应法相应。否则，不能相应。」","问：","「如果依止别的上师呢？」","答：","「那是缘份。依止其他的大善知识亦可，但，勿依邪门歪道。」","问：","「如何观察邪门歪道？」","答：","「观察便知。真正的上师，平等无分别，早已舍弃世间八法，消除了贪瞋痴。」","问：","「如果有人依止卢师尊，后来又去依止他人，你认为如何？」","答：","「自然。但，也是因缘不具足。」","问：","「卢师尊是佛陀时代舍利弗尊者的转世，卢师尊记得否？」","答：","「记得。我当时尊崇佛陀及文殊菩萨。佛陀当然不必说，而文殊菩萨有不可思议功德。」","","","问","","","","","","","","","","","",""
"042 莲生活佛卢胜彦的法语(二)","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=1000314&chapter_id=c042","：","「文殊菩萨有何大功德？」","答：","「佛陀曾告诉舍利弗，文殊菩萨的功德，就算一劫，也说不完的。」","问：","「说一下如何？」","答：","「佛陀说，无量十万俱胝那由他佛陀涅盘，都是文殊菩萨令他们证得无上菩提的。」","问：","「还有呢？」","答：","「文殊菩萨的威神之力，无有边际，他曾加持魔王波旬，使魔王变成佛陀，坐狮子座，并且说佛法，这是非常稀奇的事。魔王波旬，被他变成佛陀，所以他的威神之力，叹未曾有。」","问：","「果然是大威神力，还有呢？」","答：","「给孤独园连降七天雨，淹大水，所有比丘，均无食物可吃。能入三摩地的比丘，全入了定。不能入三摩地的比丘，饿到不能动。幸有文殊菩萨，以一钵到远方乞食，这一钵的饭菜，取之不尽，令五百比丘，皆饱足，这小小钵的食物，足够让一国的人吃，还有剩。」","问：","「这是大神变，还有呢？」","答：","「文殊菩萨的智慧第一，无人能及，舍利弗也是智能第一，但，只是文殊菩萨的一毛孔而已。」","问：","「可以不可以举一例子？」","答：","「有人问文殊菩萨，你何时成佛？文殊菩萨答，文殊本身就是菩提，菩提也就是文殊，文殊也就是空性。」","问：","「何以文殊菩萨如此说？」","答：","「文殊菩萨是不生、不行、不二，才会如此说。」","注：","不生——故遍满。","不行——行一切利益，等同不行。","不二——文殊是佛，佛即文殊。","（这些是胜义）","问：","「文殊菩萨如何遍满十方三世一切法界？」","答：","「有一回结夏安居。大迦叶问文殊，何处结夏安居？文殊答阿阇世王后处。大迦叶大怒，召集所有比丘，要将文殊菩萨赶出僧团。佛陀告诉大迦叶看虚空，而文殊菩萨出现在十方三世一切法界之中，皆有文殊菩萨。佛陀问大迦叶，你如何将文殊赶出僧团，要赶出僧团的是哪一位？」","问：","「佛陀讲三解脱，为何文殊菩萨不说三解脱？」","答：","「佛陀的三解脱，是如来的善巧方便，为了饶益众生的。文殊菩萨的胜义是无所畏惧者是不用解脱的，有畏惧的人才要解脱。」","问：","「解脱道口诀一书也是方便？」","答：「正是。正是。」","","","","","","","问","","","","","","","","","","","",""
"043 莲生活佛卢胜彦的法语(三)","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=1000314&chapter_id=c043","：","「卢师尊，晚上睡觉，有梦否？」","答：","「有梦。我能出入梦的境界，我在梦中度化众生，在梦中修行持咒，在梦中饶益众生。」","问：","「卢师尊能入弟子梦中？」","答：","「能在弟子梦中传授咒语，也能在弟子梦中解答释疑，更能在弟子梦中，替弟子治病，这些都是非常稀有的。」","问：","「这是如何辧到的？」","答：","「密修梦观。」","注：","入梦——入弟子梦中。","出梦——出弟子梦中。","明梦——一切清清楚楚。","转梦——将业障梦转清净梦。","修梦——梦中能修法。","见梦——梦中能见道，梦中见佛陀。","问：","「如何能知，是不是魔所幻化？」","答:","「在梦中见到上师，但念三句『上师咒』，若是魔所化，自然不见。同理，在梦中见到本尊，但念三句『本尊咒』，若是魔所化，自然不见。」","问：","「卢师尊的密法，是莲华生大士所传授是吗？」","答：","「是的。是的。」","问：","「如何传授？」","答：","「昔日，卢师尊是赤松德贞王，与莲华生大士、寂护大师三人同建桑耶寺。莲师以伏藏的方式，将一切密法，伏藏于赤松德贞王的脑海之中。」","问：","「这是无形的，而有形的传承是？」","答：","「我皈依的上师甚多，主要是了鸣和尚、萨迦证空上师、十六世大宝法王噶玛巴、吐登达吉上师等等。」","注：","了鸣和尚——南投集集大山。","萨迦证空上师——美国西雅图绿湖。","十六世大宝法王噶玛巴——美国纽约上州。","吐登达吉上师——香港荃湾芙蓉山。","另：","普方上师——台湾台北社子。","问：","「莲华生大士，也是莲花童子？」","答：","「当然是，大士出世，是在达赖郭啸海上的一朵莲花上。是莲花化生，也即是莲花童子。同时大士是阿弥陀佛的身，观世音菩萨的口，释迦牟尼佛的意，三者合一的化现。」","问：","「卢师尊又是何化现？」","答：","「是毘卢遮那佛、佛眼佛母、阿弥陀佛、莲花童子的化现。」","问","","","","","","","","","","","",""
"044 莲生活佛卢胜彦的法语(四)","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=1000314&chapter_id=c044","：","「修上师相应法，是否往生西方净土？」","答：","「当然往生西方净土。阿弥陀佛化现莲花童子，莲花童子化现卢师尊。卢师尊是阿弥陀佛化现之故。」","问：","「修密教，一般有四大灌顶，即瓶灌、密灌、无上密灌、大圆满灌，卢师尊有何看法？」","答：","「我认为依灌顶次第修持最稳当。」","注：","我认为：","瓶灌包含资粮道的修行，加行道的修行，上师本尊的修行。","密灌指气脉明点的修行。","慧灌指无上密部的修行。","大圆满灌指究竟的修行。","问：","「你在这本书，解脱道口诀，如何不述说，无上密部的修行？」","答：","「无上密部，是有根器及堪能者才能修持。例如：须已见道（空性），须无漏法成就。这是即身成佛、即生成佛、化虹成佛的修行，不是很容易修，莲华生大士说，这是毒蛇的口中取珠。」","问：","「可以告之一二吗？」","答：","「首先要观察明妃，是否是『相应母』。分外观、内观、脉观。最忌用『非相应母』。」","问：","「修法方面？」","答：","「大致上是：三种观想，四种善巧，五种『身、脉、气、明点、空乐』。修行方法及功德成就。」","注：","三种观想。","（本尊观、密处观、大乐观）","四种善巧。","（降、提、持、散）","五种瑜伽。","（身金刚、脉金刚、气金刚、明点金刚、空乐金刚）","双修技法。","（六十四、十六、四）（不传）","功德生起。","（大乐、光明、空性）","成就化虹成佛等。","问：","「这种修行，鬼神知否？」","答：","「我说，若将床化莲花，双身在花蕊，莲花合起，成为含苞之莲花，鬼神则不知也，须结界修法。」","问：","「明妃如何修？」","答：","「须观察男行者是否堪能？一样有三种观、四善巧及功德生起。」","问：","「如果假双修之名，而行淫，如何观破？」","答：「请教卢师尊，即可观破。」","","问","","","","","","","","","","","",""
"045 莲生活佛卢胜彦的法语(五)","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=1000314&chapter_id=c045","：","「选择本尊，用何作标准？」","答：","「密教行者自己认为投缘的。」","问：","「可以依自己的个性吗？」","答：","「当然可以。」","注：","慈悲的——观世音菩萨。","智慧的——文殊菩萨。","法力的——金刚手菩萨。","（这只是小例子）","问：","「观世音菩萨有多少化身？」","答：","「两臂、四臂、八臂、十八臂、千手千眼，菩萨的化身无法计数，甚至绿度母、白度母均是，广大无边。」","问：","「如果这么多，又如何选本尊？」","答：","「确实选不出，就去请教卢师尊吧！」","问：","「什么是寂静尊？什么是愤怒尊？什么是寂怒尊？」","答：","「寂静尊即文尊，显示禅定的相。愤怒尊即武尊，显示降伏四魔，有愤怒之相。寂怒尊，是半文半武，二者兼有之相。」","问：","「何者重要？」","答：","「都重要。」","注：","五佛化为五大金刚。","八大菩萨化为八大金刚明王。","又：","咕噜咕咧佛母，又寂静又愤怒。","金刚亥母，又寂静又愤怒。","问：","「诸尊都有不同的个性，是用来调伏不同个性的人吗？」","答：","「是的。是的。但大家要明白，并不是有慈悲的，就没有智慧，有智慧的就不慈悲。又，愤怒尊一样有慈悲，一样有智慧，所以说一法相应，法法相应。」","问：","「阿弥陀佛与无量光佛、无量寿佛（长寿佛），有何差别？」","答：","「并无差别。三者是一，一化为三，只是因世人的需求，才分化。其他诸尊，也是一样的。」","问：","「卢师尊讲授的金刚法，以哪两尊最完整？」","答：","「喜金刚与时轮金刚。」","问：","「为何如此」","答：","问","「我讲授『道果』最完整，故喜金刚完整。时轮金刚由吐登达吉上师传承给我，加上贡唐仓活佛教授之故。」","","","","","","","","","","",""
"046 莲生活佛卢胜彦的法语(六)","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=1000314&chapter_id=c046","：","「我们修法，是先修本尊？还是先修护法金刚？」","答：","「先修本尊，再修护法金刚。」","问：","「为什么？」","答：","「护法金刚明王，大部份全是本尊所化现之故。本尊相应了，金刚明王自能相应。」","问：","「金刚手菩萨的本地？」","答：","「大势至菩萨。」","问：","「大威德金刚的本地？」","答：","「文殊菩萨。」","问：","「大轮金刚的本地？」","答：","「弥勒菩萨。」","问：","「马头金刚的本地？」","答：","「观世音菩萨。」","问：","「大幻化网金刚的本地？」","答：","「阿达尔玛佛（本初佛）。」","问：","「时轮金刚的本地？」","答：","「释迦牟尼佛。」（佛陀化现在南印度吉祥米聚塔）","注：","五方佛有五大金刚明王，八大菩萨有八大金刚明王，各个菩萨都有明王。金刚明王，原是佛菩萨的心转化。","问：","「秽积金刚？」","答：","「释迦牟尼佛。」","问：","「不动明王？」","答：","「大日如来所化。」","问：","「护法金刚明王的要义？」","答：","「具有大威神力，能够制服诸魔，能消灭地、水、火、风的一切灾难，保护行者修行的安宁，也能破除降头，破除诸多鬼的来犯，一切邪祟全部消除。………」","问：","「真佛宗也有护法吗？据说有二大护法？」","答：","「摩利支天及大力金刚。」","问","问：","「摩利支天是何所化现？」","「大日如来。」（在大日前疾走）","问：","「大力金刚呢？」","答：","「莲花童子。」（包括地藏、大力、金母等的合一化现）","","","答：","",""
"047 莲生活佛卢胜彦的法语(七)","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=1000314&chapter_id=c047","：","「学佛首重发菩提心，什么是发菩提心？」","答：","「菩提心也就是利益众生的心，大菩提心是把众生视如自己。」","注：","慈——给人快乐。","悲——拔除众等的痛苦。","喜——普施十方众生，欢喜去做。","舍——心佛众生，三无差别，平等舍。","问：","「为什么发菩提心为先？」","答：","「如是因，如是果。发心是因，成佛是果。」","问：","「发菩提心，大小有分别吗？」","答：","「有。」","注：","声闻——发心自己成就后，再来度他人。（自利）","缘觉——自己先成就。故称独觉。（自利）","菩萨——发心度尽众生之后，自己才成佛。（他利）","佛——无人我之相，佛众生平等。（自他平等）","问：","「所谓诸恶莫作，众善奉行，自净其意，是诸佛教，是何义？」","答：","「诸恶莫作是守戒。众善奉行是菩提心。自净其意是修行。这都是佛陀的教化。」","问：","「卢师尊有胜义的说法吗？」","答：","「我说：","念无念。","修无修。","证无证。","我无我。","这是我的胜义。」","（无我相，无人相，无众生相，无寿者相）","问：","「我们供养本尊，以什么供品？」","答：","「花、香、灯、茶、果是五供。八供是加上如意螺、涂香、沐浴水。其实供品甚多，例如有三十七供：须弥山、东胜神洲、南赡部洲、西牛贺洲、北俱卢洲、日、月、八小洲、轮、象、马、珠、将军、玉女、主藏、宝藏、宝山、宝牛、宝树、米、大宝盖、小宝盖、花、香、灯、涂。再加嬉戏、发鬘、歌、舞。」","问：","「这么多？」","答：","「不止这些，现代人无所不供，例如：汽车、房子、珠宝、房地产、黄金、白银、表等等等等。」","问：","「请问卢师尊，最大的供养是什么？」","答：","「心供。法供。」","问：","「心、法是什么？」","问","答：","「身清净、口清净、意清净，就是最大的供养。还有大乐的供养、光明的供养、空性的供养，均称第一。」（菩提心是大供养）","","","","","","","","","",""
"048 莲生活佛卢胜彦的法语(八)","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=1000314&chapter_id=c048","：","「密教行者修行，须不须要选择地灵？」","答：","「要。例如: 大修行者的岩洞，莲华生修行的岩洞，米勒日巴修行的岩洞，这些均有加持力。」","注：","佛陀的八大圣地。","大迦叶的岩洞。","舍利弗的岩洞。","宾头卢的岩洞。","观世音菩萨的普陀山。","文殊菩萨的五台山。","普贤菩萨的峨眉山。","地藏菩萨的九华山。","又：","美国西雅图的雷藏寺。台湾雷藏寺。","美国七星落地的彩虹雷藏寺。等等。","（这些都是有灵气的地方）","问：","「有大修行者，不须要地灵相助的吗？」","答：","「有。如果大行者，已了悟，我就是佛，住的是佛殿，眷属是菩萨众，穿的是清净天衣，所到之处，莫不是佛土。这等大行者，已无差别心，什么地方都可以。」","注：","屠宰场。","妓娼院。","罗剎州。","夜叉处。","坟场。","野兽森林。","毒障区。","等等等等。……………","（大行者皆可至）","","问：","「有人诵咒或佛号，有禁忌吗？例如在厕所、浴室等？」","答：","「众生心有分别净垢，至于圣者的心，无分别净垢。另，有些护法咒，因誓愿不同，则是有禁忌的。」","问：","「诵咒的人，要皈依上师吗？」","答：","「皈依比较好，因为有上师的加持力，功德比较大。没有皈依的人诵咒，功德小一些。」","问：","「长咒、短咒、心咒，有何功德差别？」","答：","「没有差别。时间多，就持长咒，时间少，就持心咒。」","问：","「卢师尊，你何以特别尊崇高王观世音经？」","答：","「因为内容全是佛菩萨名号。有过去佛、现在佛、未来佛。又有诸大菩萨。经有言，但持观世音菩萨之名号，功德甚大。现我持十方三世一切佛菩萨名号，功德也一样大。」","问：","「卢师尊最喜欢什么咒？」","问","答：","「六字大明咒、大悲咒、文殊咒、尊胜咒、大白伞盖咒、七佛灭罪真言、另，莲花童子咒……………。」","","","","","","","","","",""
"049 莲生活佛卢胜彦的法语(九)","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=1000314&chapter_id=c049","：","「卢师尊！你的宗教观？」","答：","「平等！平等！例如：我把耶稣基督，视为我的咕噜，祂的教法之中，是有佛法。」","注：","在登山宝训中，把五饼二鱼，变化得人人都可以吃饱，这种大神变，在佛教中也有。","耶稣说：","左手做的善事，不要让右手知道。这在佛陀的教法中有，是「不思善」。（三轮体空）","耶稣说：","有人偷你的外衣，你连内衣也给他。这是视众生如同自己。","（无缘大慈，同体大悲）","耶稣说：","有人打你右脸，连左脸也给他打。","这是「无我」瑜伽。","耶稣展现过很多的神迹，例如走在海面上。这个神迹是教导祂的弟子深信诚求，不得对咕噜生疑心。","问：","「除了耶稣之外，对其他宗教呢？」","答：","「平等尊重。我是在异中求同。我对印度教的大梵天、遍净天、大自在天，普同尊重。」","问：","「回教呢？」","答：","「尊重。」","问：","「卢师尊！你对瑶池金母为何如此的崇拜？","答：","「瑶池金母是大金仙，祂转变我的一生。开我天眼，引导我走向学佛之路，祂是我的大上师，是珍宝。我这一生，全是祂所赐予，祂是我的第一尊崇。」","问：","「显教与密教，你的看法如何？」","答：","「圆融。如手背、手心。」","问：","「如果显密兼修如何？」","答：","「显密兼修，万修万人去！」","问：","「卢师尊，你的本尊是瑶池金母、阿弥陀佛、地藏菩萨，为什么？」","答：","「瑶池金母——第一尊崇，改变我的一生。","阿弥陀佛——愿力最大，四十八愿度众生。","地藏菩萨——誓愿最深。地狱不空不成佛。」","问：","「卢师尊，目前你如何修行？」","答：","「修中观生清净心，观一切法如梦如幻全然不取不舍。不住于相而修六度万行。」","问：","「你入三昧地否？」","答：","「一行三昧、一念三昧、一相三昧、无念三昧、无相三昧、无住三昧。","我学无我、无生、无无生、无灭、空、无念。」（解脱道的真谛）","问","","","","","","","","","","","",""
