"chaptername","chaptername href","chapterbody","chapterbody 2","chapterbody 3","chapterbody 4","chapterbody 5","chapterbody 6","chapterbody 7","chapterbody 8","chapterbody 9","chapterbody 10","chapterbody 11","chapterbody 12","chapterbody 13","chapterbody 14","chapterbody 15","chapterbody 16","chapterbody 17","chapterbody 18","chapterbody 19","chapterbody 20","chapterbody 21","chapterbody 22","chapterbody 23","chapterbody 24","chapterbody 25","chapterbody 26","chapterbody 27","chapterbody 28","chapterbody 29","chapterbody 30","chapterbody 31","chapterbody 32","chapterbody 33","chapterbody 34","chapterbody 35","chapterbody 36","chapterbody 37","chapterbody 38","chapterbody 39","chapterbody 40","chapterbody 41","chapterbody 42","chapterbody 43","chapterbody 45","chapterbody 49","chapterbody 51","firstcharacter","chapterbody 53","chapterbody 54","chapterbody 55"
"033 How Pure Light Emerges","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=1000566&chapter_id=c033","randmaster Lu says: Cultivating inner fire is, of course, a method to cause pure light to appear, since inner fire is the combination of light and heat.","","Cultivating light drops is another method, since this practice opens the five chakras. Pure light then emerges. For example, when the heart chakra opens, a primordial pure light will emerge and naturally shine from the chakra.","","Another method of causing pure light to appear is to cultivate Sleeping-in-Light Practice. One falls asleep while visualizing the light of one's light drops in the five chakras, and sleeps in the midst of this light.","","For example:","Heart chakra—blue light drops.","Throat chakra—blue light drops.","Brow chakra—red light drops.","Secret chakra—black light drops.","","","","If one sleeps in the midst of light, one will not suddenly wake up during the night.","Will not be deluded.","Will not forget or lose bodhicitta.","Will not suffer insomnia.","Will not be tired.","Will not have nightmares.","(The most important key cultivation formula of the Sleeping-in-Light Practice is to visualize the syllables in the chakras radiating pure light, and sleeping in pure-light samadhi.)","","In the Sleeping-in-Light Practice—","Practitioner is able to transform into the personal deity.","Practitioner can manifest in the palace of the personal deity.","Practitioner can transform into an infinite number of practitioner's personal deity and transform an infinite number of practitioner's personal deity back into one.","","Also in dreams—","Practitioner can travel to any pure land.","Practitioner can transform any sentient being into practitioner's retinue.","Practitioner can enter samadhi.","These all occur in the midst of light. In other words, the world transforms into light, all sentient beings transform into light, and the personal deity transforms into light. Everything transforms into light and abides in the midst of light.","●","Grandmaster Lu says:","Primordial pure light—emerges during Sleeping-in-Light Practice or during annihilation. It is the true and original light. (Extremely important)","Primordial enlightenment light—emerges when one is completely enlightened in all dharmas. It is a natural and impartial light and the light of emptiness. It can be produced during the daytime when one cultivates, at night when one is sleeping, or when one is dying. (Key cultivation formula: it appears in the four states of emptiness)","Primordial attainment light—emerges upon attainment of the unification of the mother pure light and child pure light.","","I explain the key cultivation formulas as follows:","Visualize oneself transforming into the personal deity. A four-petaled lotus appears in the heart of the personal deity. Syllables on the petals respectively emit light.","In the center of the lotus, there is a 'hum' syllable emitting blue light. On the front petal, there is a 'ah' syllable emitting white light. On the right petal, there is a 'lu' syllable emitting yellow light. On the back petal, there is a 'da' syllable emitting red light. On the left petal, there is a 'la' syllable emitting green light. (complete attainment of the four levels of emptiness)","The light emitted by these five syllables is differentiated as follows: The wisdom light of ultimate reality (Hum). The wisdom light of the Great Perfect Mirror (Ah). The wisdom light of equanimity (Lu). The wisdom light of discriminatory awareness (Da). The wisdom light of accomplishing all (La).","","Concerning the pure light practice, there are many key cultivation formulas. I have outlined the most important ones. For more details, one must seek verbal transmission.","","","G","","",""
"034 Key Cultivation Formula for Bardo Deliverance Pith Teachings on the Path of Liberation","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=1000566&chapter_id=c034","randmaster Lu says: The bardo is an intermediate state. A being in the bardo is commonly called a spirit.","Although I am not yet dead, I frequently cultivate the Bardo Consciousness Transference Practice. Every person will die. Therefore, practicing for the transition of death is extremely important.","","Firstly, in the process of dying, at the first moment of death, if one is able to maintain the bright light of consciousness, one accomplishes the bright Dharma body [dharmakaya]. If one is unable to maintain the bright light of consciousness, but relies on the power of the self-development stage to attain the illusory body of the personal deity, one accomplishes the bright reward body [sambhogakaya]. If one is unable to attain either the bright Dharma body or the reward body, one's last choice is to cultivate an illusory emanation body through the womb. This is the accomplishment of a bright emanation body [nirmanakaya]. (This is the difference between the three bodies of dharmakaya, sambhogakaya, and nirmanakaya)","","●","","Eight signs of impending death:","Earth dissolving into water—physical body cannot move, one cannot support oneself, the feeling of a landslide, the earth splitting, heaviness, and being torn apart.","Water dissolving into fire—sweat and saliva dry up.","Fire dissolving into wind—one's body becomes cold, loss of bodily warmth.","Wind dissolving into consciousness—one's outbreaths exceed one's inbreaths, breathing stops.","Consciousness dissolving into Appearance—bright and clear moonlight appears in a cloudless sky.","Appearance dissolving into Increase—red-yellow light appears like the sun rising in a cloudless sky. Increase dissolving into","Attainment—dusk-like darkness appears in a cloudless sky.","Disappearance of illusory states—","","●","","I say: Those who attain the rainbow light will not need to experience the bardo. Those who attain the Formless Realm will also not experience the bardo. Those who attain the Form Realm and the Desire Realm must experience the bardo.","","●","","The bardo spirit has six characteristics:","","●","","Phenomena of a bardo spirit entering a womb:","When a bardo spirit sees males and females engage in sexual activity.","When sexual desire arises in the mind of a bardo spirit.","When a bardo spirit gradually faints and loses consciousness.","Birth by transformation, moisture-born, viviparity, oviparity, and birth in the three evil realms are all like this.","bright light appears in a clear sky at dawn, without moon, sun, dusk, or darkness. This is the true light, which is of utmost importance.","●","","Rebirth in the evil realms may occur in the following three ways:","The bardo spirit will be reborn in the animal realm if entering a cave, brush, a forest, etc.","The bardo spirit will be reborn in the realm of hungry ghosts if entering a run down shed on a dark and rainy night.","The bardo spirit will be reborn in hell if entering an iron room.","","●","","Grandmaster Lu says: Many phenomena may occur in the bardo. One must consult a great virtuous adept about them.","Unhindered travel anywhere in an instant.","Able to see spirits calculating the good and evil of the bardo spirit.","Able to see food and drink, but only able to consume the qi.","G","Can do anything, invisible to most people.","Can observe what people are doing.","No sun, no moon, no stars."
"035 My Bardo Experience","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=1000566&chapter_id=c035","(Grandmaster Lu) use Machig Labdron's 'severing practice' (Chod Practice) to practice death. I also use the Corpse Pose Practice [Shavasana]. (Please note: I have transmitted the Machig Labdron Personal Deity Practice and the Black Wrathful Dakini Practice)","In the Machig Labdron and Black Wrathful Dakini practices, the practitioner performs the practice of offering their body to the Four Holy Realms, the Six Realms, and the Ten Dharma Realms.","","The method of cultivation is as follows:","The Black Wrathful Dakini is transformed from a 'pei' syllable. The practitioner transforms the 'pei' syllable to be as enormous as Mt. Sumeru. The Black Wrathful Dakini severs practitioner's head, and cuts practitioner's body into pieces. Arrange the bones into a tripod. Place the crown of the skull (kapala) on top of the tripod. Practitioner's head, four limbs, and torso are placed inside the skull. An 'ah' syllable underneath the tripod bursts into fire. Practitioner melts, boils, and transforms into nectar. (A white-colored 'han' syllable transforms into nectar.)","The nectar is offered upward to the Four Holy Realms (Buddhas, bodhisattvas, arhats, and pratyekabuddhas), and downward to the Six Realms (Heaven, Human, Asura, Hell, Hungry Ghost, Animal).","As a result of this vast body offering, practitioner's karmic creditors, life or monetary debt collectors, karmic retribution, maras of illness, and devils will all be repaid. They will no longer create obstacles to harm the practitioner, who by this offering, is liberated.","In terms of the absolute aspect, I have already died, no-self, no afflictions, and no grasping. All the precepts I have violated are purified through this repentance.","Practitioner then continues to pray to the guru and personal deity for their great blessings, transformation into the illusory body (bardo spirit), and attainment of liberation without obstacles. (Corpse Pose Practice and Machig Labdron Practice have identical meaning and significance.)","","●","","Remember the key cultivation formula.","The light of the Dharma body.","The light of the reward body.","The light of the emanation body.","(Whether prior to taking birth or after death, one must always keep the Brilliant Light Practice in mind. In this way, one will be able to control one's rebirth.)","In my opinion, the ability to enter samadhi is of critical importance because in the equanimity of indivisible bliss and emptiness, one merges with the light.","","●","","While in the bardo, one must sever 'greed'. This includes excessive desire for:","Gold, silver, jewels, money.","Houses, cars, land.","Those one loves the most.","Those one hates the most.","Family members, friends, benefactors, and all one's relatives.","Blissful sensations arising from cultivation.","And so forth.","","●","","While in the bardo, one must have the power of meditation, because one is only able to merge with brilliant light while in samadhi. Merge with Dharma body. Merge with reward body. Merge with emanation body.","My personal experience is, whether prior to birth or after death, whether awake or dead, one must remain in samadhi at all times. In this way, one can let go, be unhindered, and attain liberation.","","","","","","","","","","","","","I","","",""
"036 Explanation By an Example","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=1000566&chapter_id=c036","lady boarded a long distance flight with her husband. During the flight, while the husband was sleeping, the lady went to use the restroom. When the husband awoke after a long sleep, he realized that his wife was away from her seat and had been gone for a very long time. The husband searched everywhere for his wife, but couldn't find her anywhere.","","The husband thought she was probably in the restroom, so he looked in all the restrooms. There was one restroom which had been locked for a long time without anyone going in or out. The husband said to the flight attendant, 'My wife is in there!'","The flight attendant asked, 'Are you sure?'","The husband replied, 'Definitely. I have looked everywhere else!'","The flight attendant tried to figure out how to open the restroom door.","When she got it open, 'Wow! It turned out that the wife had fainted and died inside!'","The captain then made an announcement asking any doctor on board to render emergency aid. Afterwards, the plane landed in Taiwan. The wife's body was then transported back to the couple's own country.","","●","","According to what I know, the lady fainted after entering the restroom. Her bardo spirit having departed from the body made every effort to return but failed. She totally panicked. Her soul was able to go through the walls and see her husband searching for her. She was following her husband by his side, but he couldn't see her.","Since then, the couple has been separated forever. The wife died, leaving her husband behind full of regret and sorrow!","","●","","This couple were my (Grandmaster Lu's) disciples. Afterwards, I was asked to perform bardo deliverance. By this example, I would like to specially teach everyone that, when a soul departs, the only thing the soul should be mindful of is the guru, the personal deity, and the Dharma protector.","At this time, one must realize that one is in the bardo, and the Vajrayana practitioner should only be mindful of the three roots. By coupling one's own power developed through cultivation with the power of the guru, the personal deity, and the Dharma protector, a body of light will manifest to guide one to the pure land.","","Practitioners must refrain from thinking of their husband, children, relatives, home, wealth, or favorite jewelry (diamonds, pearls).","If unable to let go of this mundane world, one will fall into the realm of sentient beings. If practitioner can be mindful of the guru, personal deity, or Dharma protector, and furthermore, single-mindedly recite their heart mantras, the practitioner will be delivered and liberated.","Grandmaster Lu wants everyone to know that one should not grasp at the illusory forms of the mundane world. Instead, one should stay focused and concentrate on praying for rebirth in the pure land. This is the most important key cultivation formula.","","","","","","","","","","","","","","","","","","","","","","","","","A","","",""
"037 About the Bardo Spirit","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=1000566&chapter_id=c037","fter a person dies, the bardo spirit manifests. At this time, one must save oneself (Bardo Deliverance). The bardo spirit is immaterial and therefore free from obstacles. At the onset of the bardo, most people will suddenly be lost in a dreamlike state. Their reactions will follow the environment. For this reason, Vajrayana practitioners must cultivate dreams by being awake and lucid while dreaming. They must also cultivate illusions by being aware of illusion in the midst of illusion.","","When the bardo begins, one will sometimes hear terrifying sounds such as miserable crying, roaring screams, gloomy and cold shrieking, or howling curses. (The practitioner must understand that these sounds are dreamlike and illusory. There is no need to be afraid.)","Or, one may experience being burnt by wild flames with no way to escape; drowning and unable to breathe; falling off a cliff and being smashed into pieces; stabbed to death and screaming in pain; chased and bitten by wild animals with no place to escape; ghosts demanding repayment of debts and forced into a dead end by ghosts; crushed into meat paste by boulders crashing down from a mountain; journeying through a roaring desert of howling wind...","One may also encounter being eaten by evil spirits or powerful ghosts, judgment by Lord Yama, and so forth.","","When these phenomena manifest, the Vajrayana practitioner must remember they are only dreams and illusions. They are without self-nature, totally false, and nothing to be afraid of. At this very moment, maintain meditative stability and mindfulness of the guru, the personal deity, or the Dharma protector. One may recite the mantra of the guru, the personal deity, the Dharma protector, or buddha's epithet to emit clear light. One then merges one's own clear light with the primordial clear light. This is the attainment of liberation.","","●","","As practitioners, we must understand that to initiate the bardo spirit, one must find an exit for the spirit. The bardo spirit of a Vajrayana practitioner should only exit through the crown aperture (Phowa).","Exit through the brow chakra—heaven realm.","Exit through the eyes—rebirth as a human.","Exit through the ears—non-human path (ghost).","Exit through the nostrils—rebirth as a Yaksha.","Exit through the mouth—rebirth as a hungry ghost.","Exit through the navel chakra—rebirth in the Desire Heaven.","Exit through the secret chakra—rebirth as an animal.","Exit through the anus—rebirth in hell.","","I, Grandmaster Lu, suggest that one should have capable practitioners block the eight gates of samsara with syllables. Originally, each opening should be blocked with its respective syllable, which is difficult to visualize. I therefore say that every opening can be blocked with a 'hum' syllable or clear light. However, this blocking should only be performed by one who is capable.","","","","","","","","","","","","","","","","","","","","","","","","","","A","","",""
"038 How to Discern One's Death Is Approaching","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=1000566&chapter_id=c038","randmaster Lu says that one must not commit suicide because killing oneself is equivalent to killing a buddha. Why is suicide killing a buddha? Because all sentient beings have Buddha-nature and are future buddhas. If one commits suicide, one commits the sin of killing the wisdom life of a buddha, and one will fall into hell.","Also, since one's time of death has not yet arrived, one cannot be reborn in the pure land but becomes a fierce and harmful ghost instead.","","●","","If one perceives omens of approaching death, one can take certain measures. For example: Releasing captive animals. Giving alms. Praying for the blessings of the guru and personal deity. Cultivating longevity practices.","There are many more practices one may perform to extend one's life: Reciting the profound sutras. Reciting Vajrayana mantras. Visualizing the power of the guru or of the personal deity. Prostrating before a stupa, or circumambulating stupas, temples, or sacred ground. Praising the merit of buddhas and bodhisattvas. Understanding true emptiness. Practicing the Prolonging Life by Merging with Emptiness Method. By the power of precepts, meditation, and wisdom. By the blessing of the Three Jewels, Buddha, Dharma, and Sangha.","Entering samadhi. And so forth.","","●","","Observe the signs of approaching death:","Under an immaculate, empty sky without clouds, stand with both arms stretched out to the side and look down to see one's own shadow. If one sees only one's hands or feet, this is a sign that death is approaching.","(Very mysterious) Frequently seeing those who have already died in one's dreams is an omen of approaching death. Dreaming that a deceased person is taking one on a tour of a flower garden. (All the flowers are red) Dreaming of places one has never been before. Dreaming that one is solitary and alone in an open place. Dreaming that one is riding a donkey heading south. Dreaming that one is picking red flowers. Dreaming that one is fighting a ghost. Dreaming of Lord Yama (the Lord of Death) And so forth.","","●","","Press hands against both ears, one cannot hear a thing. When opening eyes, one sees a vast expanse of white. One's temper suddenly and drastically changes. Suddenly, love transforms into hate, hate transforms into love.","A serious illness takes a sudden turn for the better, terminal lucidity. Ears lose sense of hearing. Tongue loses sense of taste. Eyes can no longer see anything. Body loses sense of touch. Loss of essence and blood. Tongue becomes dry and turns black. Collapse of the nasal alae. The four elements diminish. (These are all possible signs that death is approaching.)","","●","","For a Vajrayana practitioner, repentance and restoration of purity are the key points to avoid premature death or accidents. Perform offering to the guru, personal deity, and Dharma protector. Offer goods to the Three Jewels. Offer tormas to the Dharma protector. Cultivate the wheel of a feast offering. Diligently cultivate yoga until one attains spiritual union. One will then stay healthy and extend one's lifespan. Practitioners must also pay attention to blood pressure, blood sugar, blood lipids, cholesterol and so forth.","","","","","","","","","","","","","","","","","","","","","","","","G","","",""
"039 Key Cultivation Formulas of Opening the Crown Aperture (Phowa)","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=1000566&chapter_id=c039","randmaster Lu says: In my book, The Hevajra Tantra-Emptiness Within Great Bliss, I discussed the key cultivation formulas of Non-leakage Practice. One method of opening the crown aperture (phowa) is to lift one's qi from the sacral chakra to the crown chakra. In addition, in our cultivation of Treasure Vase Breathing, the final 'shooting breath', shooting a breath directly to the crown, is another method of opening the crown aperture (phowa).","","●","","The key cultivation formula of opening the crown aperture (phowa) is:","First, visualize the three channels and seven chakras within one's body. Next, visualize a blue 'hum' syllable in one's heart emitting light. Cultivate Treasure Vase Breathing. Lift the Lower-body Qi upwards. Fiercely recite the 'seh' syllable, the 'hum' syllable, or the 'han' syllable 21 times. (While reciting the syllable and shooting the qi up to the crown, raise both hands up high.) When one's qi rises up and collides with the crown aperture, one may visualize that the hum syllable ascends and enters directly into the heart of the guru. Practice Treasure Vase Breathing again. Recite the 'ka' syllable 21 times. Press the Upper-body Qi downwards. This is namely the 'hum' syllable descending to the heart chakra.","","●","","What's described above is: One lifts the 'hum' qi up. One presses the 'hum' qi down. This lifting qi up and pressing qi down is the method of opening the crown aperture (phowa).","As for the syllable recited while one lifts the qi, my guru mentioned the following different syllables at different times; the 'hum' syllable, the 'hei' syllable, the 'seh' syllable, the 'han' syllable, and the 'ah' syllable.","(Both hands make a fist while one raises one's hands up.) However, the syllable to be recited while one is pressing the qi down is always 'ka'. This 'ka' syllable is the 'ka' of 'Karmapa', and the 'ka' of 'Kagyu sect', which sounds like 'ka' or 'ka ah'.","","●","","When the bardo spirit exits from the crown aperture, there are three levels:","1. Rebirth of the emanation body in the pure land:","Inhale as much air as possible through both nostrils, recite the 'seh' syllable 21 times, and recite the 'seh' fiercely on the final recitation. The bardo spirit shoots out through the crown aperture and reaches the pure land. This is the rebirth of the emanation body in the pure land.","2. Rebirth of the reward body in the pure land:","First visualize Guru Vajra Holder atop the crown, inhale as much as possible through both nostrils, recite the 'seh' syllable 21 times, and as previously described, recite the 'seh' fiercely on the final recitation. The bardo spirit shoots out through the crown aperture and resides in the heart of Guru Vajra Holder. This is the rebirth of the reward body in the pure land.","3. Rebirth of the Dharma body in the pure land:","As previously described, inhale through both nostrils, recite the 'seh' syllable 21 times, and recite the 'seh' fiercely on the final recitation. The bardo spirit shoots out through the crown aperture, transforms into emptiness, and merges with emptiness. This is the rebirth of the Dharma body in the pure land.","These three types of rebirth are different due to their rebirth in the 'pure land', 'Vajra Holder', and 'emptiness'.","","","","","","","","","","","","","","","","","","","","","","","","G","","",""
"040 Cessation and Visualization","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=1000566&chapter_id=c040","omeone asked Grandmaster Lu, 'What is cessation? How is cessation accomplished?' I answered: Body cessation—meditate in the lotus position. Speech cessation—stay silent. Mind cessation—don't think of the past; don't fabricate thoughts of the future; don't discriminate, let the mind rest in uncontrived equanimity.","","When one practices cessation, the first key cultivation formula is single-minded concentration.","How does one deal with the rising of myriad thoughts?","1. Focus on an object. This is 'cessation by reliance'.","For example: Light a stick of incense, focus on the glowing red tip of the incense, stop thoughts from arising, continue in this state without interruption. Or, one may visualize the personal deity, a dharma implement, a mantra syllable... This is a method by which one trains in cessation.","2. Cessation without reliance.","Rest in naturalness.","Visualize self-nature.","Generally speaking, when training in cessation, two types of phenomena will occur. The first phenomenon is 'restlessness'. One's thoughts whirl wildly and are completely unstoppable. At this time, one must relax body and mind with eyes looking down and sitting in a restful position. One's body and mind will then enter into naturalness.","The other phenomenon is 'drowsiness'. Many people just fall asleep when practicing cessation, and may even snore. At this time, sit up straight, look up, refresh oneself, and pull oneself together.","The key cultivation formula of the cessation practice:","When one's qi is calm, the mind is also tranquil. When qi is chaotic, the mind will also be chaotic. Therefore, if one cultivates one's qi to naturalness, the mind will also rest peacefully. An 'undistracted mind' is a sign of accomplishment.","","●","","Someone asked Grandmaster Lu, 'What is visualization? How does one cultivate visualization?'","I answered:","Visualization is a kind of wisdom. Through this wisdom, one understands that the eyes, ears, nose, tongue, body, consciousness, and in fact all phenomena are totally without self-nature.","I am not I.","Thoughts are not thoughts.","All the myriad phenomena are unreal.","They are like dreams and illusions. Even so-called dreams and illusions are fake names and unattainable.","Think about the life of a human being, birth, old age, sickness, and death, a hundred-year dream. Nothing whatsoever can be gained. Therefore, there is neither victory nor evil, no discrimination, and no grasping. Be omnipresent, abiding in tranquility.","Come to the firm belief that this saha world is just a play of illusory people in an illusory environment resulting in illusory happenings and substances. Nothing in the past can be gained. Nothing in the present can be gained. Nothing in the future can be gained. Because of this observation, Vajrayana practitioners do not grasp at anything, just abide in peace.","","I believe:","Observe the meaning of emptiness.","Understand the meaning of emptiness.","Realize the meaning of emptiness.","In other words, when one's body, speech, and mind are empty, one reaches a great emptiness.","If distracted or wandering thoughts arise, one dispels them by saying 'pei'!","","","","","","","","","","","","","","","S","","",""
"041 Dharma Words of Living Buddha Lian-sheng (1)","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=1000566&chapter_id=c041","uestion: 'Grandmaster Lu, what trends do you see in the future of True Buddha School?'","Answer: 'I do not think of the present, nor do I think of the future. Trending or not trending does not exist.'","","Question: 'You wrote Pith Teachings to the Path of Liberation. What is the true and authentic key cultivation formula?'","Answer: 'Liberation is just a name. True liberation is knowing one does not need liberation.' 'We do not understand this.'","'Because all dharmas are illusory.'","'We feel bound in every way. How can you say all dharmas are illusory?'","'One is in bondage because one has tied oneself up. You are bound by your own greedy thoughts. In the absence of greedy thoughts, how are you bound? Upon understanding there is nothing to gain, you are no longer bound.'","","Question: 'Who is a person of great virtue and knowledge?'","Answer: 'Grandmaster Lu.'","Question: 'Isn't this blowing your own horn?'","Answer: 'Not at all! Anyone who reaches the state of total and complete realization can call themselves Grandmaster Lu. Grandmaster Lu is not a person. For example, Vairocana Buddha is Grandmaster Lu, Buddha Locana is Grandmaster Lu, Amitabha Buddha is Grandmaster Lu, Padmakumara is Grandmaster Lu''","'This is according to what theory?'","'The theory of absolute truth. Because there is no Grandmaster Lu, everyone is Grandmaster Lu.'","","Question: 'Is it important to have reverence for and faith in Grandmaster Lu?'","Answer: 'Only if one has firm and unshakeable faith in Grandmaster Lu, can one attain spiritual union in Guru Yoga. Otherwise, there will never be spiritual union.'","","Question: 'What if one follows another guru?'","Answer: 'That is one's affinity. It is fine for one to follow another guru as long as the guru is highly virtuous and knowledgeable. One must not, however, follow evil sects and crooked paths.'","","'How does one recognize evil sects and crooked paths?'","'By observation. A true and authentic guru practices equality without discrimination, has long detached from the eight worldly concerns, and has eradicated greed, anger, and ignorance.'","","'If one were to follow Grandmaster Lu and then later follow someone else, what would you think about it?'","'This happens naturally because of insufficient affinity.'","","'Grandmaster Lu is the reincarnation of Sariputra from the era of Shakyamuni Buddha. Does Grandmaster remember this past lifetime?'","'Yes, I do. At that time, I held Shakyamuni Buddha and Manjusri Bodhisattva in great reverence. The merit of Manjusri Bodhisattva is truly amazing and incredible, not to mention Shakyamuni Buddha.'","","","","","","","","","","","","","","","","","Q","","",""
"042 Dharma Words of Living Buddha Lian-sheng (2)","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=1000566&chapter_id=c042","uestion: 'What great merit does Manjusri Bodhisattva have?'","Answer: 'Shakyamuni Buddha told Sariputra that, even expending a kalpa, Manjusri Bodhisattva's merit couldn't be completely described.'","","Question: 'Would you describe some of it?'","Answer: 'Shakyamuni Buddha said that an infinite number of buddhas entered nirvana because Manjusri Bodhisattva enlightened them to supreme bodhi.'","","'Anything else?'","'The mighty divine power of Manjusri Bodhisattva is unlimited. Manjusri blessed the Mara, and caused the Mara to transform into the Buddha sitting on the lion throne discoursing the Buddhadharma. This is something truly extraordinary and seldom seen. His mighty divine power is therefore unparalleled.'","","'Manjusri does indeed have mighty divine power. Is there anything more?'","'Once, seven days of heavy rain flooded the Bamboo Grove. The bhikkhus had nothing to eat. Those bhikkhus who were able to enter samadhi entered samadhi. Those bhikkhus who were unable to enter samadhi starved to the point they could no longer move. Luckily, they had Manjusri Bodhisattva who traveled far away begging with a bowl for food. This bowl of food was able to satisfy the hunger of 500 bhikkhus without needing replenishment. With just this one small bowl, Manjusri was able to feed the entire country and still have leftovers.'","","'This was a great divine transformation. What else?'","'Manjusri Bodhisattva was foremost in wisdom, beyond compare. Although Sariputra also had great wisdom, his wisdom was miniscule in comparison to Manjusri Bodhisattva.'","","'Can you give us an example?'","'Someone asked Manjusri, 'when did you attain Buddhahood?' Manjusri replied 'I, Manjusri, am bodhi. Bodhi is none other than Manjusri. Manjusri is the emptiness.'","","'Why did Manjusri say this?'","'Manjusri Bodhisattva was non-arising, non-doing, and non-dual. That is why he said this.'","Note:","Non-arising—therefore omnipresent.","Non-doing—carrying out activities to benefit sentient beings is equivalent to not carrying out any activities.","Non-dual—Manjusri is buddha. Buddha is Manjusri.","(This is the absolute truth.)","","Question: 'How is Manjusri Bodhisattva omnipresent in the ten directions, three times, and all Dharma realms?'","Answer: 'One time during the summer retreat, Mahakyasapa asked Manjusri where his retreat was. Manjusri responded that it was at the place of Ajatashatru's Queen. Mahakyasapa was furious. He assembled all the bhikkhus for the purpose of banishing Manjusri from the sangha. Shakyamuni Buddha asked Mahakyasapa to look up at the sky. There were countless Manjusris throughout the ten directions, three times, and all Dharma realms. Shakyamuni asked Mahakyasapa, which Manjusri do you want to banish from the sangha?'","","'The Buddha spoke about the Three Liberations. Why did Manjusri Bodhisattva never speak about the Three Liberations?'","'The Three Liberations which the Buddha spoke of were the skillful and expedient means of the tathagata, undertaken for the benefit of sentient beings. Manjusri's absolute truth is fearless and hence does not require liberation. Only those with fear need to be liberated.'","","'Is your book Pith Teachings on the Path of Liberation an expedient","means?'","'Yes it is. Yes it is.'","","","","","","","","","","","","Q","","",""
"043 Dharma Words of Living Buddha Lian-sheng (3)","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=1000566&chapter_id=c043","uestion: 'Grandmaster Lu, do you dream while you sleep?'","Answer: 'Yes. I am able to enter and exit the dream state. While in the dream state, I deliver sentient beings, cultivate, recite mantras, and benefit sentient beings.'","","Question: 'Does Grandmaster Lu enter the dreams of his disciples?'","'I am able to, in my disciple's dream, transmit mantras, resolve doubts and problems, and cure illness, which is altogether quite miraculous.'","","'How are you able to accomplish this?'","'Secretly practicing Dream Yoga.'","Note:","Entering a dream—entering a disciple's dream.","Exiting a dream—exiting a disciple's dream.","Vivid dreams—everything is crystal clear.","Transforming dreams—changing a dream which is a karmic obstacle into a pure dream.","Cultivating in a dream—ability to cultivate in a dream.","Perceiving in dreams—able to see the Path in a dream, seeing the Buddha in a dream.","","Question: 'How can one tell it's not an illusion created by the devil?'","Answer: 'If the guru appears in one's dream and disappears immediately after one recites the Guru Mantra three times, the appearance is an illusion created by the devil. By the same principle, if one's personal deity appears in one's dream and disappears immediately after one recites the principal deity's mantra three times, the appearance is an illusion created by the devil.'","","Question: 'Is the Vajrayana transmitted by Grandmaster Lu a transmission from Guru Padmasambhava?'","Answer: 'Yes.'","","'How was this Tantric Dharma transmitted?'","'Long ago, Grandmaster Lu was King Trisong Detsen, who together with Guru Padmasambhava and Santarakshita established Samye Temple. Using the method of terma, Padmasambhava concealed the entire Vajrayana in the brain of Trisong Detsen.'","","'Terma transmission is formless. Is there also a tangible transmission?'","'I have taken refuge in many gurus. The most important are Reverend Liaoming, Guru Sakya Zhengkong, the 16th Karmapa, Guru Thubten Dargye, and others.'","Note:","Reverend Liaoming—Great Mountain Jiji in Nantou.","Guru Sakya Zhengkong—Green Lake in Seattle, USA.","16th Karmapa—New York State, USA.","Guru Thubten Dargye—Fu Yung Shan, Tsuen Wan, Hong Kong.","In addition:","Master Pufang—Shilin, Taipei, Taiwan.","","Question: 'Is Guru Padmasambhava also a Padmakumara?'","Answer: 'Yes. Guru Padmasambhava appeared in a lotus blossom floating on Danakosha Lake. He emanated on a lotus and is a Padmakumara. At the same time, Padmasambhava is the body of Amitabha Buddha, the speech of Guanyin Bodhisattva, and the mind of Shakyamuni Buddha. He is the integration of these three.'","","'How did Grandmaster Lu emanate?'","'From Vairocana Buddha, Buddha Locana, Amitabha Buddha, and Padmakumara.'","","","","","","","Q","","",""
