"chaptername","chaptername href","chapterbody","chapterbody 2","chapterbody 3","chapterbody 4","chapterbody 5","chapterbody 6","chapterbody 7","chapterbody 8","chapterbody 9","chapterbody 10","chapterbody 11","chapterbody 12","chapterbody 13","chapterbody 14","chapterbody 15","chapterbody 16","chapterbody 17","chapterbody 18","chapterbody 19","chapterbody 20","chapterbody 21","chapterbody 22","chapterbody 23","chapterbody 24","chapterbody 25","chapterbody 26","chapterbody 27","chapterbody 28","chapterbody 29","chapterbody 30","chapterbody 31","chapterbody 32","chapterbody 33","chapterbody 34","chapterbody 35","chapterbody 36","chapterbody 37","chapterbody 38","chapterbody 39","chapterbody 40","chapterbody 41","chapterbody 42","chapterbody 43","chapterbody 44","chapterbody 45","chapterbody 46","chapterbody 47","chapterbody 48","chapterbody 49","chapterbody 50","chapterbody 51","chapterbody 52","firstcharacter","chapterbody 53","chapterbody 54"
"035 传承法流的渊源","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=436&chapter_id=c035","我所知：","“大圆满九次第法”是由本初佛普贤王如来的正觉流出，首先是本初佛心印五方佛－－毘卢遮那佛、阿閦佛、阿弥陀佛、宝生佛、不空成就佛，而至于一切诸佛。","再来是五方佛也以心心相印的方式，传给了报身佛的金刚萨埵。","这种心心相印的传承，不用文字语言，如同牛乳直接进入乳瓶。","即“心印传承”。","又称“密意传承”。","后来，金刚萨埵化为：","智－－文殊师利菩萨。","悲－－观世音菩萨。","力－－金刚手菩萨。","以持明的方式，传给“天”、“龙”、“夜叉”等。","传给三十三天，五百天子的首座“胜心天子”，这位“胜心天子”得了四吉祥梦，于是由“金刚手菩萨”传“胜心天子”，“胜心天子”领悟了无尽的密续，并得灌顶。","后来“胜心天子”转世于“邬金国”，成为“极喜金刚”。","得金刚手灌顶。","得证悟。","“极喜金刚”是人间传承的第一人。","","接着：","极喜金刚传妙吉祥友。","妙吉祥友传吉祥狮子。","吉祥狮子传莲华生大士、毘卢遮那、毘玛拉米札、嘉纳苏札。","最后：","莲华生大士入藏，将大圆满九次第法，传给西藏王赤松德真与移喜措嘉，这种传承称为口耳传承。","如此，传承可分：","“心印传承”。","“持明传承”。","“口耳传承”。","“意传承”。","“伏藏传承”。","“甚深清净传承”。","在伏藏传承方面，龙钦巴尊者及晋美．林巴尊者发扬最大。","而我（莲生活佛卢胜彦）所得的传承有：","一、口耳传承（了鸣和尚）。","二、意传承（莲华生大士）。","三、甚深清净传承（诸佛）。","","在传承方面，也可加上，莲华生大士将大圆满九次第法，伏藏于赤松德真王的脑海之中，由于累次的转世，我只将手加持自己的脑，大圆满法的修部及经续部便源源流出，一直没有停止过。","我在这里要提到，其实在西藏密宗的教派之中，宁玛派是最早的，其经典的整理，即是人人熟知的“三素尔”。","宁玛派比其他三教派分散。","因为没有实际的领导人。","没有中心寺院。","没有核心组织。","而其他黄教、花教、白教，都有中心的领导人。","但，红教的“大圆满九次第法”却是诸派之首，最是珍贵。","一切诸法，皆由此流出。","","","","","","","","据","",""
"036 大圆满法的功用","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=436&chapter_id=c036","圆满法是善的，是好的。","大圆满法是快乐的，是极欢喜的。","大圆满法是至上的。","大圆满法是佛法的最高境界，是巅峰。","大圆满法是完美无缺。","大圆满法是万岁、万岁、万万岁。","至于大圆满法的功用，述之不尽，大略的功能，列之如下：","一、身体健康。","二、心灵愉悦。","三、身心和谐。","四、身心皆化。","五、身心解脱。","六、即身成佛。","七、即生成佛。","八、虹光化身。","九、身化虹光。","十、不死虹光。","","身体的健康是修行“九节佛风”、“宝瓶气”、“金刚诵”、“拙火”、“明点”、“无漏”、“金刚拳”、“坚固”、“锻炼”而来。","心灵愉悦是修行“通中脉”、“七轮打开”、“全身经脉皆通”、“证悟明心”、“见证佛性”、“心气平和”之故。","而“身体健康”、“心气平和”，就是“身心和谐”了。","由这样子的修行，“身心皆化”，“身心解脱”的境界就可达到了。","“大圆满法”有“看光法”，有“闭关法”，一生就可以成就。","“大圆满法”连身子也能成佛。","身化虹光了！","由不死虹光而成佛！","任运自在了！","我知道：","最早来中土弘法的有一位“白普仁”喇嘛。","西康诺那上师来中土弘法，而“了鸣和尚”与之结缘。","“了鸣和尚”是我红教的根本上师。","诺那上师又邀请贡噶上师来中土弘法，贡噶上师在成都、昆明、重庆、南京等地弘法，密法有普传现象。","“吐登尼玛”也在中土弘法，传法给“吐登达力”，“吐登达力”传法给“吐登达吉”，“吐登达吉”传法给“吐登其摩”。","（莲生活佛卢胜彦就是吐登其摩）","","另有：","“章嘉活佛”在中土弘法。","“甘珠活佛”在中土弘法。","我个人认为：","“大圆满法”的传授，比较有系统的是“诺那活佛”。","另外，贡噶活佛，他虽然是白教大手印的传承人，但，对于“大圆满”他也知悉。贡噶活佛身兼红白教的传承。","我个人读了“龙钦巴”著作的《大圆满法》，但他是以“上师相应法”为出发点，最后也以“上师相应法”为终结。","这是非常特殊的。","我个人如此说：","一、密法不能依书修。","二、心要口诀要上师传授。","三、要灌顶。","四、大圆满法最殊胜。","","","","","大","",""
"037 守护灵的能力太强","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=436&chapter_id=c037","经有一位小姐来找我，初见面，我有点惊叹，这位小姐长得像天人一般，是一种完美无缺的美貌。","艳光四射。","美丽无比。","妩媚动人。","她的学历、经历胜人。","家庭环境中上。","但，就是有一点小小遗憾，到了三十岁，仍然是小姑独处。","现代人，有些小姐不想嫁人，有些男人也不想结婚，但，她不是。","她祈求我摩顶加持，早一点找到白马王子。","我给予摩顶。","不成功。","第二次摩顶。","不成功。","第三次摩顶。","不成功。","......。","","她觉得有点失望，因为卢师尊的摩顶一向很灵验，为何在她的身上就是不成功？","她没有人追求吗？","不！","追求她的人，如过江之鲫。","高不成，低不就的，很多。","但，有些也是旗鼓相当的，然而每当议论婚嫁，就出现了意外。","男朋友出车祸死了。","男朋友突然摔断了腿，成了跛足。","男朋友竟然中风了。","男朋友得了肌肉萎缩症。","等等等等。","这些议及婚嫁的人，死的死，伤的伤，真的是好奇怪，好奇怪。","我自己也觉得蹊跷。","后来我问我的本尊：","“她有姻缘否？”","本尊答：","“有！”","我问：","“何以至今不婚？”","本尊答：","“她的守护灵能力太强。”","我问：","“谁是她的守护灵？”","","本尊答：","“她的第一位男朋友，已订婚，将要结婚，遭车祸身亡。这位男友死后，成为她的守护灵。男友亡魂认为是她的丈夫，凡遇其他男士欲亲近者，便想尽办法拆散！”","哇！我终于知道原因了！我问这位小姐，果然是如此。","她的第一位男友，已定期结婚，是结婚前三天，车祸身亡的。","我想办法，给这位男友诵经超度，将男友之魂，交予“转轮圣王”。","帮小姐做“结界”。","再给予摩顶加持。","这一回，那位美丽动人的小姐，终于结婚了。她结婚时，也给我送来了一张喜帖，我没有去，礼到人不到。","最近，我听说她已有身孕，心中暗暗为她高兴。","所以，只要找到那个“结”，打开，一定成功！","","曾","",""
"038 祖母是守护灵","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=436&chapter_id=c038","位年轻的女大学生，长得：","眉清。","目秀。","唇红。","齿白。","追求她的人很多，桃花不断。","她本人落落大方，因此也成了该校的风头人物，她成了该校的校花。","但她突然双腿软了。","站立不起来。","瘫了。","只有坐轮椅到学校上课。","从双腿软瘫开始，一个又一个的朋友，敬而远之。人情的冷暖自己知道，所有的人都寄以同情，但，周边的人少了。","虽然如此，她专心一致的读书，功课仍然很好，成绩很优秀。","双腿软瘫，父母带她看遍了名医，中西医均有。","","“核磁共振”扫描，脑部没有问题、骨没有问题、神经没有问题、肌肉没有问题、筋没有问题。","请乩童问事：","吃符。","吃香灰。","拿香枝回法沐浴。","又请：","推拿师。","整脊师。","按摩师。","针灸师。","穴道师。","易经师。","相命师。","跌打师。","父母就是什么方法也用尽了，这位掌上明珠一样站不起来。","什么原因？没人知道。","有人介绍我。","她父母本欲来，但遭到了自己皈依的师父冷言冷语。","“这个人不用去看他！”","“他的一切全都是假的！”","“我连提他的名字都觉得不屑！”","“假活佛！”","“怪力乱神！”","","父母的皈依师父，也算是教界有名的长老，师父不喜卢师尊，因而阻止。","经过一段很长的时间，她父母偷偷带着女大学生，上山看我。","我一摩顶。","看了掌光，见一位老婆婆双腿被树藤卷住，动弹不得。","我问本尊：","“何意？”","本尊答：","“祖母是守护灵，守护灵双腿被绑，女孩子双腿就软了。”","我建议，开祖母的棺看看。","这一开棺。","“宾果！”","真的祖母的双腿被树藤卷住，只须将树藤剪断取走即可。","就从剪断树藤那一天开始，女大学生的腿渐渐有力了。","一","最后，终于能站立。","你说，奇不奇！"
"039 皮肤过敏的痊愈","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=436&chapter_id=c039","一名女子，持着三张照片，来祈求加持照片中的男子。","我问：","“是谁？”","女子答：","“是我大哥。”","我问：","“妳大哥怎么了？”","女子答：","“我大哥全身皮肤过敏，又痒又抓，又抓又痒。目前从头至脚，无不是坑坑洞洞，不只如此，红肿、发炎、溃烂。”","我问：","“看医生了吗？”","女子答：","“打针、吃药、涂药膏、抗生素、类固醇，全用了，已全部无效。”","我仔细看三张男子的照片，一看大骇，因为从头至脚，从胸至背，从手到腿，可以说体无完肤，那种溃烂，的确令人全身发麻。","","我说：","“持〈安土地真言〉五十万遍。”","女子答：","“他已持了十万遍。”","我说：","“再继续持吧！”","我观想自己变化成本尊，用手摩抚照片中的男子，自觉法流从手流到照片上。我说：","“成了！”","女子问：","“什么事成了？”","我答：","“会有奇迹吧！”","据说－－","女子的大哥做了一个梦。","见一位穿白色衣服的女士，相貌端庄问他说：","“你全身怎么了？”","“皮肤过敏严重。”他答。","白衣女士问：","“我若帮你治好，你去皈依卢师尊！”","他答：","“这个当然。我念〈安土地真言〉已十万遍，卢师尊叫我念五十万遍，我还继续不停的念呢！”","","白衣女士拿了净瓶倒出了水，用树枝沾水，弹水到他的全身。","他在梦中，觉得水非常的清凉，皮肤觉得舒服。","又看见，很多黑色的小虫，从皮肤里爬了出来，掉落在地上，倏地不见了。","白衣女士说：","“你皮肤病会好，但，手背有一处不会好，要等念完五十万遍真言，自动就会好了。”","白衣女士走了。","他想追。","梦就醒了。","自从那一天开始，他的皮肤就干了，不痒了，皮肤渐渐褪了痕迹，约一个月，痕迹才褪尽，但，只有手背有一处，仍然不好。","他来皈依。","我说：","“白衣女士是观世音菩萨也，你去谢谢菩萨吧！”","后来，他的手背一处，也全好了！","","","有","",""
"040 紫阳真人降临","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=436&chapter_id=c040","一天，在静坐中，我的手自动结：","“召钩印”。","“圣贤印”。","一位“天人”从虚空中突然飘飘然降了下来。我大喜，忙问：","“是哪位圣贤？”","答：","“紫阳真人。”","我问：","“真人知拙火法吗？”","紫阳真人答：","“身内天然真火，炉中赫赫长红，每日勤修吐纳，神妙真是神龙。”","我问：","“真人知中观吗？”","紫阳真人答：","“此派至神至圣，平等无别分秒，不管何佛菩萨，说破只算是巧。”","我问：","“真人知神水法吗？”","","紫阳真人答：","“这是人间至宝，华池神水晃摇，拙火神水既济，游戏神通微妙。”","我问：","“真人知无漏否？”","紫阳真人答：","“妙在抽添运用，此法不宜轻弄，损之又损谨慎，得一万般皆休。”","我问：","“真人知持戒否？”","紫阳真人答：","“德行修达八百，阴功积满三千，化解人世亲冤，此乃成就本愿。”","我问：","“真人知禅否？”","紫阳真人答：","“这是性上究真宗，原来变化真无穷，归本还原不可说，现前就有大神通。”","我问：","“如何降伏烦恼？”","紫阳真人答：","“烦恼不须去降伏，真知原在不强求，无先也是无后至，悟之刹那可成佛。”","我问：","“什么是无修呢？”","","紫阳真人答：","“悟了之后自无修，色空明暗本来同，真假岂有两般样，天竺曹溪共弘隆。”","我问：","“什么是无善无恶？”","紫阳真人答：","“一切全不放在心，此心空空亦无名，任运自然随他去，随分饥餐与渴饮。”","我问：","“什么是无生法忍？”","紫阳真人答：","“果报原来在人天，若无因缘便归源，一切情仇及爱恨，是戏是梦也是烟。”","我说：","“你说的，我皆知之。”","紫阳真人说：","有","“你知，我知，他人不知。”","哈哈哈！"
"041 大圆满法的祖师－－“极喜金刚”","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=436&chapter_id=c041","我所知，“极喜金刚”的来历如下：","佛陀灭度一百年，极喜金刚下生。","极喜金刚的前生是忉利天，三十三天的天人“桑炯”的儿子。","也就是五百天子当中的“胜心天子”，在天上界已修证了“大圆满法”。","下生在邬金国的国王的公主，这位公主是一位出家的比丘尼。","这位比丘尼有梦境：","见一位全身光明的男子入胎。","五方佛用宝瓶灌顶比丘尼三次。","公主比丘尼怀胎十月生下了“极喜金刚”。","比丘尼很害羞，把小孩扔到灰土的山坑之中，三天之后，没有死。","比丘尼意识到，是圣贤下生，便养育他。","极喜金刚七岁时，便和五百位班智达辩论佛教的法义，结果极喜金刚赢了，众大善知识非常吃惊。","接着极喜金刚到“太阳光明山”闭关静修到三十二岁。","","金刚手菩萨出现，给极喜金刚灌顶，让他开启了前一世修“大圆满法”的记忆，他在刹那之间，就证得了无上正等正觉。","极喜金刚用文字记载了“大圆满法”。","在施达瓦的尸陀林中，给诸多修行人，讲授大圆满法。","这时候“妙吉祥友”到来学法，妙吉祥友用七十五年的时光，跟随极喜金刚，学习最重要的“宁提法门”（心中心）。","最后，极喜金刚，在动地放光之中，身化虹光，融入法界。","其重点是：","一、前世贯通今世。","二、人间第一位祖师。","三、出生不同。","四、辩才无碍。","五、金刚手打开前世记忆。","六、刹那刹那得证佛果。","七、尸陀林授法。","八、传法给妙吉祥友。","","●","","极喜金刚原名是“嘉饶多杰”，班智达称他“般若巴哇”（智慧自性）。","极喜金刚原名“普尉希瓦杰拉”，是国王给他取的名字。","我给“极喜金刚”写偈：","其一：","天上开悟即下凡间。","悟了何湏寂灭化烟。","但求随缘能度则度。","利物也能自利是仙。","","其二：","欲了无生是湏精进。","关关全是为了真心。","此道也是无形无相。","一颗摩尼无字真经。","","其三：","五眼三身四智。","六度万行修齐。","随缘只接群迷。","方便指归实地。","","据","我觉得历代祖师，都有奇妙之处，总之，来历均不寻常，弟子能学佛法，也是前世使然也！",""
"042 我所知道的“妙吉祥友”","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=436&chapter_id=c042","位“妙吉祥友”出生在一个富有的婆罗门家，从小好佛。","他又名“文殊师利米札”。","他的佛学是向五百大善知识学来的，学习了“八次第法”。","有一天文殊菩萨现身说：","“在佛法中，你学到八次第，还有一乘你没学到。”","妙吉祥友答：","“我已是大班智达，佛法全知，岂有不知道的？”","文殊菩萨说：","“只有极喜金刚才是全知，你要去向他学习。”","妙吉祥友说：","“我不服，我要向他挑战！”","于是－－","在“施达瓦”尸陀林，展开了辩论，想不到极喜金刚赢了妙吉祥友。","妙吉祥友很惭愧，找刀要割下自己的舌头表示谢罪。","极喜金刚说：","“割舌无益，反增罪业，伤了自己的微妙佛身，倒不如将一切佛法结集，使一切众生蒙受益处。”","妙吉祥友于是拜极喜金刚为师，随师“七十五年”。","","又有一天，极喜金刚化虹涅槃，妙吉祥友急求重要心要。","极喜金刚从虚空中抛下“三要语”，打到妙吉祥友的头，从此妙吉祥友，得到了“明心见性”的正等正觉。","此后－－","妙吉祥友，将恩师的大圆满法，整理“六百四十万偈”。","分三部：","心部－－住心法门。","界部－－勤修法门。","口部－－要诀法门。","最后，妙吉祥友，在菩提迦耶西方的“索萨州”的尸陀林弘法一百零九年，他在那里将大圆满法完整的传授给吉祥狮子（师利星哈）。","我在这里告诉大家：","妙吉祥友的涅槃同极喜金刚一样，化一道虹光，上升天界。","这件事尚未了。","妙吉祥友为了度化莲华生大士，他曾下凡一次，在西天竺，从莲花中出生，变成莲花童子。那位莲花童子，后人称他是“后妙吉祥友”，曾为莲华生大士说法。","这是：","莲花童子传法给莲花童子。","","我写偈赠妙吉祥友。","赞曰：","不是天降","不是来自天宫","但人性佛性同一数","太阳一样从东","","人佛相通","再怎么变","学法是同功","","住心火自起","勤修水自降","莲华之中有自性","放光芒","透玲珑","","","这","",""
"043 卢君","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=436&chapter_id=c043","回美国西雅图，一出机场，看见“卢弘”及“卢君”来迎，便先拥抱了两个孙子女。","孙子、孙女叫：","“阿公！阿公！”","谁说，出家人出了家，便没有家了，对于自己的孙子女照样疼爱有加。","因为毕竟：","祖父母最疼的是孙子、孙女。","我一看卢弘，个子还是小小的，便希望他快快长高长大。","我一看卢君，大骇！","原来卢君皮肤全身过敏，原本一身细皮白肉，脸红通通的可爱极了，现在全身红斑点点，连头上、脸上、手上、腿上、背上、胸前，等于全身都是斑斑点点。","据说，东方人在西方生的孩子，都有这等皮肤过敏的毛病。","有的长大自然会好。","有的不会好。","没有想到卢君的皮肤过敏会这么厉害，原本一张可爱的脸，成了满脸全是豆花。","","有没有看医生？","有啊！","医生用药，不是“抗生素”，就是“类固醇”，擦久了不好。","医生吩咐，洗澡不得用热水。","医生吩咐，少洗澡。","医生吩咐，晚上睡觉穿衣物，免得痒了，用手去抓，抓破皮，发炎，就更严重。","（关于洗澡的问题，是因为洗了之后，皮肤变干燥，大陆型的气候，本来干燥，皮肤过敏的人，要擦乳液。）","卢君看医生多回，一直都没有好，这真是糟糕透了。","又规定什么可吃，什么不可以吃。","让卢君的脸，削瘦成了长脸。","我看了：","“心疼死了！”","有一回－－","卢弘、卢君到阿公、阿嬷家过夜，趁这个机会，我把卢弘、卢君叫到坛城面前跪下，我用手给卢弘、卢君摩顶。","我祈祷：","卢弘快快长大！","卢君的皮肤快快好起来。","求瑶池金母加被孙子、孙女。","他们乖乖的合掌，有模有样。","我又用“四纵五横印”，加持了一杯瑶池金母圣水，给卢君喝。","","过了一星期－－","奇迹出现了！","脸上的红斑不见了，脖子上的红斑也不见了，全身的红斑，也消褪了，原本红肿的，现在褪得只剩下一点痕迹。","痕迹要经过一段时日才能完全不见。","这已经很好了！","在六月十六日（星期日），那天是父亲节，卢君写给阿公的卡片上说：","“谢谢阿公的加持！谢谢金母！”","我向瑶池金母祈祷：","但愿透过我的手的法力，能流注在众弟子的身心之中，人人身体健康，心灵快乐，修行成就！","","","","","","","","","我","",""
"044 梦中的针灸","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=436&chapter_id=c044","一位从加拿大“艾蒙顿”来的洪姓师兄，带着他的妻子，到西雅图雷藏寺来见我。","他说：","他的背痛十五年之久。","寻遍了中西医均无法根治。","他从书中得知，卢师尊当年，因脑分八瓣，四大分散，从台湾飞韩国，到了韩国大大小小的寺院及佛塔，拜佛及绕塔。","卢师尊绕了：","“多宝佛塔”。","礼拜了：","“药师琉璃光王佛”。（大佛）","敬礼日光菩萨、月光菩萨、药王菩萨、药上菩萨、十二药叉神将......。","在回“汉城”的途中－－","亲见“药师佛”及其眷属，心中大大感动，因而自知：","我的四大分散、脑分八瓣，一定会好。","后来，果然好了！","因此，洪师兄认为，到寺院拜佛、绕塔的功德甚大。","","洪师兄便从加拿大飞到日本。他也学卢师尊，到日本各地的寺院佛塔，拜佛绕塔。","他一样拜到：","“药师殿”。","当夜，他梦见，卢师尊从虚空冉冉而降，在他的背部插针。","整个背部插满了针灸的针。","然后再一针又一针的拔掉。","第二天醒了，背部同往常一样的痛，并没有即刻的好。","但！","那个痛却一天又一天减少。","隔了几天。","背痛完全好了！","十五年的背痛，竟然针灸后，完完全全不痛了。","真是奇迹！","洪师兄认为：","“是卢师尊以插针之术，救了他！”","我在此说明：","我本人不是中医，也不是针灸师，我完完全全不懂针灸之术。","中医是要考试的。","针灸也须要考试的。","双双都要有执照，不可以乱来。","但在梦中，原本就是光怪陆离的，梦中针灸就可以不用执照了。","","又－－","原本就不会针灸的卢胜彦，为何可以在梦中为人插针？","答案很简单。","我说：","我只要上了天上界，天上界的日德上人、月德上人、天医上人，这三位天人，与卢师尊合一，我就变成了神圣的天医，自然可以为洪师兄背后针灸了。","但，只能在梦中插上千针万针。","梦中是不犯法的。","（哈哈哈！）","这些事，这些神迹，一般人都知道是很神奇，不可思议。但，事实上，这些事实不是梦，而是真实。","","","","","","有","",""
"045 接骨师父","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=436&chapter_id=c045","一位老弟子，他早上起床起得太猛，走下床时，腿一软，整个人扑倒在地面磁砖。","扑倒时，人有直接反应，用手先去撑地，“喀嚓”一声，骨折了，痛得哇哇大叫。","家人很快来到，叫救护车，急送到大医院。","医师说：","“骨折了，其他无大碍。”","于是，把骨接直，很快的打了石膏，一条手臂挺得直直的，向上，如同向人招手一般。","医师说：","“拆了石膏，就好了！”","医师说：","年纪大的人，早上醒来，要先躺在床上几分钟，等全身的意识醒过来，再下床。","因为，往往老人刚醒，意识尚未醒，猛然下床，脚不听使唤，容易跌倒。","","跌倒的地方有：","床。","不知有台阶。","楼梯。","浴室。","医师说：","起床要慢，先赖个床也好。","走路要注意有无台阶高低。","爬楼梯要抓紧扶手，注意脚下的台阶、落脚处，尤其最后一阶，务必看清楚。爬楼梯时，勿与人讲话或打招呼，一分神就会跌倒。","浴室跌倒很多，原因是：","水滑。","浴缸高低。","打了肥皂，地滑。","一踩就滑，会脑震荡。","另外，勿走有青苔之地，勿踏有青苔之石，跨越水沟等等等等。","老弟子接石膏之后，手仍然非常痛楚，一天又一天的剧痛。","老弟子又去医院照Ｘ光。","发觉骨头没有接正，没有接直，又偏差了一些些。","另有一小块碎骨。","所以手臂仍然痛。","医师说：","必须把石膏拿掉，再重新调整。","在没有去医院之前，老弟子到雷藏寺祈求一切平安顺利。","刚好碰到我（卢师尊），便祈求摩顶、摩手加持。","我用右手，摩老弟子的右手，在石膏上摩了一遍，一面口诵咒。","当夜，卢师尊在老弟子梦中出现。","","卢师尊说：","“我替你接骨。”","卢师尊抓起老弟子的手，好像在把玩一般，把手像陀螺般的旋转了起来，接着“喀嚓”一声，好像接正了。","在梦中，手不会痛。","非常奇怪。","老弟子依约去医院拆石膏，调整骨之前，又照了Ｘ光。","这回骨科医师眼睁得大大的，非常讶异。","“骨接得好好的，碎骨也不见了！”","医师问：","“谁接的？”","老弟子答：","“卢师尊接的！”","","有","",""
"046 失忆症","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=436&chapter_id=c046","一则笑话：","有一个人得了失忆症，他去找专科医师看诊。","医师问：","“你忘了什么？”","病人答：","“每次买东西常常忘了付钱。”","医师忙叫护士：","“快来，先叫他付了诊疗费！”","（哈！哈！哈！）","又－－","医师又问：","“你又忘了什么？”","病人答：","“忘东忘西，什么都忘了。请问医师，这怎么治？”","医师答：","“医失忆症的最好方法，就是把失忆症也给忘了。”","（哈！哈！哈！）","","在我这里有一个例子：","有一个中年的女弟子，她是一个失忆的患者。","忘了吃药。","忘了关门。","忘了眼镜。","忘了火炉的火。","忘了皮包。","忘了雨伞。","忘了保险箱的号码。","等等等等。","她学佛，读了不少经典，但是，读了等于没读，连一句也记不住，旋记旋忘，令她非常的痛苦。","她忘了咒语怎么念。","她忘了手印怎么结。","她忘了观想怎么观。","反正仪轨也差不多全忘光了。","在座下听法，听的当时，她尚且知之；听后不久，全部忘得一干二净。","问她：","“昨日师尊说法说什么？”","她答：","“全忘了，脑袋空空。”","后来，她求我摩顶加持，我给她摩顶多次，她还是记不住。","画了符给她，也是记不住。","勅甘露水给她喝，枉然。","","念〈虚空藏菩萨求闻持真言〉，一字一字念，一日一日念，无效。","我自己也没有办法可想，弄得我自己也几乎神经兮兮，脑部空白。","有一天阿难尊者下降。（不请自来也）","我突然灵光一闪，阿难尊者是“多闻第一”，听过就不忘的尊者，阿难一定有办法才是。","阿难尊者告诉我：","“你观想我，我住顶，你加持。”","我给她摩顶。","这一回不一样了，她梦见“八功德水”洗她的脑，又梦见多部“经续论”装入脑中，再梦见我拿我写的书，全装入她的脑海之中。","过去，现在，未来，一一浮现。","天哪！","有","她的记忆力之好，异于常人，再多的数目字，加、减、乘、除，一一迅速回答。","她，记忆第一，过目不忘了！"
"047 我吃了三个蛋","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=436&chapter_id=c047","一天晚上，我在梦中，看见三位弟子向我叩首，随即这三位弟子，各个供养我一个“水煮蛋”。","我问：","“这蛋怎么如此奇怪，没有蛋壳？”","三位弟子说：","“这种蛋是没有蛋壳的。”","我问：","“如何得来？”","三人答：","“从吾等而生，也不知如何。”","我把这三个蛋，吃进肚子里。","三位弟子向我谢恩。","这个怪梦就如此醒了！","第二天。","真的有三位弟子从远方的他国赶了过来，他们是来祈求摩顶加持的。","我问：","“什么事？”","","三位弟子答：","“我们三位都是肠子长瘤的，医师要我们切除，特别来请求摩顶，然后再回去医院切除这三个瘤。”","我说：","“你们都没事了！”","三位问：","“为什么会没事？”","我答：","“昨夜我梦见吃了三个蛋，我相信，我吃的蛋就是你们身上的瘤。你们不信，再去医院检查，你们身上的瘤均不见了，确实被我吃了！”","“真的吗？”","“真的。”","后来三个弟子去检查，果然确实发现，肠子里的癌瘤，真的不见了！","有人问：","“三个瘤不见，而卢师尊吃了三个蛋，岂不是一种替代，卢师尊岂不是肠子会产生三颗瘤，这不是害了卢师尊吗？”","我答：","“我不会。”","“为什么？”","我答：","“三个蛋我把它咬碎，吃了下肚，消化排泄掉了。”","这真是非常奇怪的事，三个蛋居然是三个瘤。","","●","","又有一次，我梦见自己啃树皮。","这树皮长得很粗糙，但，我把整棵树的树皮啃得光光的。","梦醒后，自知又是怪梦。","见一位弟子，来求我摩顶，弟子掀起了上衣及长裤管给我瞧。","天哪！","那皮肤上长了斑斑点点，连裤管内也是，真的体无完肤。","我对他说：","“你会好！”","他答：","“已三十年了，各种药物全用过了，有可能会好吗？”","我说：","“三天就好！”","后来果然三天就好，没有吃药，因为卢师尊把他的皮肤病全吃光了。","有","",""
"048 手成了止痛剂","https://reader.tbboyeh.org/fullscreen_player.php#/?ebook_id=436&chapter_id=c048","一：","有陈传芳，参加彩虹雷藏寺的护摩法会（火供），两膝盖疼痛异常，不良于行。","求卢师尊加持。","我用手拍了她的二膝盖。","拍后就不痛了。","经过了一个月之后，她又到西雅图来参加法会，她说：“膝盖痛已有多年，经一拍之后，就止住了痛。”","她说：","“卢师尊的手是止痛剂！”","","●","","其二：","有莉莉法师的姐姐，来参加我生日那天的“长寿佛同修”。","突然间腰痛及二膝盖痛，痛得蹲在地下，爬不起来。","她准备叫车，载她回家休息。","莉莉法师见状，请我加持。","我用手拍其腰一下，二膝盖各一下。","在“长寿佛同修”前，她的腰痛就停止了，二膝盖痛也停止了，她突然之间又可以留下来同修了。","她说：","“卢师尊的手是止痛剂！”","","●","","其三：","有一位严诚先生，晚上睡觉“落枕”，脖子疼痛异常，而且不能转动。","他贴“撒隆帕斯”。","贴“西藏药贴”。","吃止痛药、消炎片。","经过了一个月，脖子没有好，痛不止，脖子又长了药疹。","严诚先生到雷藏寺找我，我用手拍了拍他的脖子。","他隔了一天，脖子的疼痛就完全好了，连红疹也消失了。","严诚先生说：","“卢师尊的手是止痛剂！”","","●","","其四：","有一位敬雄先生，从远地赴西雅图，在飞机上发生牙痛。","一下飞机赶赴医院检查牙齿，发觉是牙床发炎。","脸肿了一边，痛得哇哇叫，吃了医师给的止痛药及消炎片，却没有马上好，特别来求加持。","我拍了他的脸各一下。","奇迹－－","马上就消炎，也不痛了！","敬雄先生说：","“卢师尊的手是止痛剂！”","“有病、有痛，先看医师，而后才来求加持！”","●","","其五：","有一名女子，名美琦，在彩虹雷藏寺法会之前，心刺痛，痛得脸色发青，冷汗直流，她来求我加持。","我隔空，用“剑指印”，对着心脏部位发功，只是一刹那。","她脸容转青为红。","其","冷汗不流了。","刺痛也止了。"
